id,version,block,trial,side,rt,is_opt
32b8bb97c6d13fa4,1,1,1,right,5577,1
32b8bb97c6d13fa4,1,1,2,left,2697,1
32b8bb97c6d13fa4,1,1,3,left,3674,1
32b8bb97c6d13fa4,1,1,4,right,3963,1
32b8bb97c6d13fa4,1,1,5,left,2562,1
32b8bb97c6d13fa4,1,1,6,left,10000,0
32b8bb97c6d13fa4,1,1,7,right,4407,1
32b8bb97c6d13fa4,1,1,8,left,2227,0
32b8bb97c6d13fa4,1,1,9,left,4503,1
32b8bb97c6d13fa4,1,1,10,left,10501,0
32b8bb97c6d13fa4,1,1,11,left,8751,0
32b8bb97c6d13fa4,1,1,12,left,5474,1
32b8bb97c6d13fa4,1,1,13,right,1774,1
32b8bb97c6d13fa4,1,1,14,right,6427,1
32b8bb97c6d13fa4,1,1,15,left,2362,0
32b8bb97c6d13fa4,1,1,16,left,6912,1
32b8bb97c6d13fa4,1,1,17,left,5179,1
32b8bb97c6d13fa4,1,1,18,left,6642,1
32b8bb97c6d13fa4,1,1,19,left,7494,1
32b8bb97c6d13fa4,1,1,20,left,7015,0
32b8bb97c6d13fa4,1,1,21,left,7270,0
32b8bb97c6d13fa4,1,1,22,left,6404,1
32b8bb97c6d13fa4,1,1,23,left,7191,0
32b8bb97c6d13fa4,1,1,24,right,1542,1
32b8bb97c6d13fa4,1,1,25,left,5704,1
32b8bb97c6d13fa4,1,1,26,right,6922,1
32b8bb97c6d13fa4,1,1,27,left,3309,1
32b8bb97c6d13fa4,1,1,28,left,2911,1
32b8bb97c6d13fa4,1,1,29,left,2888,0
32b8bb97c6d13fa4,1,1,30,left,9172,0
32b8bb97c6d13fa4,1,1,31,left,9499,0
32b8bb97c6d13fa4,1,1,32,left,5639,1
32b8bb97c6d13fa4,1,1,33,right,7302,1
32b8bb97c6d13fa4,1,1,34,left,6412,1
32b8bb97c6d13fa4,1,1,35,left,5268,1
32b8bb97c6d13fa4,1,1,36,left,6761,1
32b8bb97c6d13fa4,1,1,37,left,2601,1
32b8bb97c6d13fa4,1,1,38,right,5282,1
32b8bb97c6d13fa4,1,1,39,left,6411,1
32b8bb97c6d13fa4,1,1,40,left,4144,1
32b8bb97c6d13fa4,1,2,1,right,5497,1
32b8bb97c6d13fa4,1,2,2,right,2656,1
32b8bb97c6d13fa4,1,2,3,left,5562,1
32b8bb97c6d13fa4,1,2,4,right,6715,1
32b8bb97c6d13fa4,1,2,5,left,7780,1
32b8bb97c6d13fa4,1,2,6,right,7573,1
32b8bb97c6d13fa4,1,2,7,left,2164,1
32b8bb97c6d13fa4,1,2,8,left,1941,1
32b8bb97c6d13fa4,1,2,9,left,2355,1
32b8bb97c6d13fa4,1,2,10,left,3706,1
32b8bb97c6d13fa4,1,2,11,right,3246,1
32b8bb97c6d13fa4,1,2,12,left,5910,1
32b8bb97c6d13fa4,1,2,13,right,6014,1
32b8bb97c6d13fa4,1,2,14,right,3182,1
32b8bb97c6d13fa4,1,2,15,right,4096,1
32b8bb97c6d13fa4,1,2,16,right,5020,1
32b8bb97c6d13fa4,1,2,17,left,5729,1
32b8bb97c6d13fa4,1,2,18,left,5338,1
32b8bb97c6d13fa4,1,2,19,left,1424,1
32b8bb97c6d13fa4,1,2,20,right,1560,1
32b8bb97c6d13fa4,1,2,21,left,2212,1
32b8bb97c6d13fa4,1,2,22,left,5903,1
32b8bb97c6d13fa4,1,2,23,right,6381,1
32b8bb97c6d13fa4,1,2,24,right,6158,1
32b8bb97c6d13fa4,1,2,25,right,1726,1
32b8bb97c6d13fa4,1,2,26,right,5633,1
32b8bb97c6d13fa4,1,2,27,left,5896,1
32b8bb97c6d13fa4,1,2,28,right,4870,1
32b8bb97c6d13fa4,1,2,29,left,6739,0
32b8bb97c6d13fa4,1,2,30,left,5418,0
32b8bb97c6d13fa4,1,2,31,right,4455,0
32b8bb97c6d13fa4,1,2,32,right,6914,1
32b8bb97c6d13fa4,1,2,33,left,6126,1
32b8bb97c6d13fa4,1,2,34,right,6365,1
32b8bb97c6d13fa4,1,2,35,left,6890,1
32b8bb97c6d13fa4,1,2,36,left,4710,1
32b8bb97c6d13fa4,1,2,37,left,3175,1
32b8bb97c6d13fa4,1,2,38,right,6793,1
32b8bb97c6d13fa4,1,2,39,left,4430,1
32b8bb97c6d13fa4,1,2,40,left,2856,1
32b8bb97c6d13fa4,1,3,1,left,3134,1
32b8bb97c6d13fa4,1,3,2,right,2767,1
32b8bb97c6d13fa4,1,3,3,right,3134,1
32b8bb97c6d13fa4,1,3,4,right,5702,1
32b8bb97c6d13fa4,1,3,5,right,4207,1
32b8bb97c6d13fa4,1,3,6,left,3977,1
32b8bb97c6d13fa4,1,3,7,left,3430,1
32b8bb97c6d13fa4,1,3,8,right,1934,1
32b8bb97c6d13fa4,1,3,9,left,1559,1
32b8bb97c6d13fa4,1,3,10,left,2244,1
32b8bb97c6d13fa4,1,3,11,left,6024,1
32b8bb97c6d13fa4,1,3,12,right,3938,1
32b8bb97c6d13fa4,1,3,13,left,6500,1
32b8bb97c6d13fa4,1,3,14,left,5935,1
32b8bb97c6d13fa4,1,3,15,left,1886,1
32b8bb97c6d13fa4,1,3,16,right,6373,1
32b8bb97c6d13fa4,1,3,17,right,5809,1
32b8bb97c6d13fa4,1,3,18,right,3532,1
32b8bb97c6d13fa4,1,3,19,right,4669,1
32b8bb97c6d13fa4,1,3,20,left,3087,1
32b8bb97c6d13fa4,1,3,21,right,4170,1
32b8bb97c6d13fa4,1,3,22,left,4694,1
32b8bb97c6d13fa4,1,3,23,left,6779,1
32b8bb97c6d13fa4,1,3,24,left,2713,1
32b8bb97c6d13fa4,1,3,25,left,1838,1
32b8bb97c6d13fa4,1,3,26,right,3429,1
32b8bb97c6d13fa4,1,3,27,right,3843,1
32b8bb97c6d13fa4,1,3,28,left,2140,1
32b8bb97c6d13fa4,1,3,29,left,6182,1
32b8bb97c6d13fa4,1,3,30,right,3294,1
32b8bb97c6d13fa4,1,3,31,left,5035,1
32b8bb97c6d13fa4,1,3,32,left,2108,1
32b8bb97c6d13fa4,1,3,33,right,4996,1
32b8bb97c6d13fa4,1,3,34,right,5012,1
32b8bb97c6d13fa4,1,3,35,right,4121,1
32b8bb97c6d13fa4,1,3,36,right,6262,1
32b8bb97c6d13fa4,1,3,37,right,4662,1
32b8bb97c6d13fa4,1,3,38,left,5609,1
32b8bb97c6d13fa4,1,3,39,right,4479,1
32b8bb97c6d13fa4,1,3,40,left,6913,1
