id,version,block,trial,side,rt,is_opt
34554685572bfa65,0,1,1,right,5446,0
34554685572bfa65,0,1,2,right,5864,0
34554685572bfa65,0,1,3,right,4892,0
34554685572bfa65,0,1,4,left,5479,0
34554685572bfa65,0,1,5,left,6234,0
34554685572bfa65,0,1,6,right,6353,0
34554685572bfa65,0,1,7,left,6154,0
34554685572bfa65,0,1,8,left,5520,0
34554685572bfa65,0,1,9,right,5761,0
34554685572bfa65,0,1,10,right,5206,0
34554685572bfa65,0,1,11,right,6049,0
34554685572bfa65,0,1,12,left,6714,0
34554685572bfa65,0,1,13,left,6393,0
34554685572bfa65,0,1,14,left,4548,1
34554685572bfa65,0,1,15,right,5952,0
34554685572bfa65,0,1,16,right,6161,0
34554685572bfa65,0,1,17,left,6097,0
34554685572bfa65,0,1,18,left,6410,0
34554685572bfa65,0,1,19,left,5728,0
34554685572bfa65,0,1,20,left,6272,0
34554685572bfa65,0,1,21,right,4782,0
34554685572bfa65,0,1,22,right,6073,0
34554685572bfa65,0,1,23,right,5624,0
34554685572bfa65,0,1,24,left,5351,0
34554685572bfa65,0,1,25,left,5679,0
34554685572bfa65,0,1,26,left,4628,0
34554685572bfa65,0,1,27,left,2920,1
34554685572bfa65,0,1,28,left,5454,0
34554685572bfa65,0,1,29,right,6956,0
34554685572bfa65,0,1,30,right,4613,0
34554685572bfa65,0,1,31,left,6346,0
34554685572bfa65,0,1,32,left,5888,0
34554685572bfa65,0,1,33,left,4283,0
34554685572bfa65,0,1,34,left,5928,0
34554685572bfa65,0,1,35,left,5904,0
34554685572bfa65,0,1,36,right,6361,0
34554685572bfa65,0,1,37,right,5350,0
34554685572bfa65,0,1,38,right,5431,0
34554685572bfa65,0,1,39,left,6322,0
34554685572bfa65,0,1,40,right,5865,0
34554685572bfa65,0,2,1,right,9483,0
34554685572bfa65,0,2,2,right,6290,0
34554685572bfa65,0,2,3,right,3369,1
34554685572bfa65,0,2,4,right,3024,1
34554685572bfa65,0,2,5,right,5383,0
34554685572bfa65,0,2,6,right,5054,0
34554685572bfa65,0,2,7,right,5391,0
34554685572bfa65,0,2,8,left,5945,0
34554685572bfa65,0,2,9,left,5977,0
34554685572bfa65,0,2,10,left,5945,0
34554685572bfa65,0,2,11,left,5680,0
34554685572bfa65,0,2,12,left,3273,1
34554685572bfa65,0,2,13,right,6612,0
34554685572bfa65,0,2,14,left,5696,0
34554685572bfa65,0,2,15,right,5945,0
34554685572bfa65,0,2,16,right,4621,0
34554685572bfa65,0,2,17,right,5302,0
34554685572bfa65,0,2,18,left,5158,0
34554685572bfa65,0,2,19,left,2374,1
34554685572bfa65,0,2,20,left,5399,0
34554685572bfa65,0,2,21,left,6306,0
34554685572bfa65,0,2,22,left,6507,0
34554685572bfa65,0,2,23,left,5086,0
34554685572bfa65,0,2,24,left,6025,0
34554685572bfa65,0,2,25,right,5880,0
34554685572bfa65,0,2,26,right,5680,0
34554685572bfa65,0,2,27,left,6081,0
34554685572bfa65,0,2,28,right,5552,0
34554685572bfa65,0,2,29,left,6763,0
34554685572bfa65,0,2,30,left,5222,0
34554685572bfa65,0,2,31,left,3400,1
34554685572bfa65,0,2,32,left,4059,1
34554685572bfa65,0,2,33,left,6185,0
34554685572bfa65,0,2,34,left,4732,0
34554685572bfa65,0,2,35,left,3626,1
34554685572bfa65,0,2,36,left,6128,0
34554685572bfa65,0,2,37,left,2647,1
34554685572bfa65,0,2,38,left,5318,0
34554685572bfa65,0,2,39,right,6458,0
34554685572bfa65,0,2,40,right,5408,0
34554685572bfa65,0,3,1,left,5134,0
34554685572bfa65,0,3,2,left,7076,0
34554685572bfa65,0,3,3,left,5801,0
34554685572bfa65,0,3,4,left,6700,0
34554685572bfa65,0,3,5,left,7589,0
34554685572bfa65,0,3,6,left,4003,1
34554685572bfa65,0,3,7,right,5840,0
34554685572bfa65,0,3,8,left,6249,0
34554685572bfa65,0,3,9,right,5238,0
34554685572bfa65,0,3,10,right,6049,0
34554685572bfa65,0,3,11,left,6136,0
34554685572bfa65,0,3,12,right,6273,0
34554685572bfa65,0,3,13,right,7533,0
34554685572bfa65,0,3,14,right,6265,0
34554685572bfa65,0,3,15,left,6441,0
34554685572bfa65,0,3,16,right,6843,0
34554685572bfa65,0,3,17,left,5681,0
34554685572bfa65,0,3,18,right,5166,0
34554685572bfa65,0,3,19,right,5255,0
34554685572bfa65,0,3,20,right,6530,0
34554685572bfa65,0,3,21,left,5447,0
34554685572bfa65,0,3,22,right,5598,0
34554685572bfa65,0,3,23,left,7757,0
34554685572bfa65,0,3,24,left,5704,0
34554685572bfa65,0,3,25,left,5559,0
34554685572bfa65,0,3,26,right,5472,0
34554685572bfa65,0,3,27,left,5199,0
34554685572bfa65,0,3,28,left,6048,0
34554685572bfa65,0,3,29,right,5544,0
34554685572bfa65,0,3,30,right,7276,0
34554685572bfa65,0,3,31,left,5808,0
34554685572bfa65,0,3,32,right,5358,0
34554685572bfa65,0,3,33,right,5544,0
34554685572bfa65,0,3,34,right,6442,0
34554685572bfa65,0,3,35,left,5551,0
34554685572bfa65,0,3,36,left,5904,0
34554685572bfa65,0,3,37,left,6049,0
34554685572bfa65,0,3,38,left,4540,0
34554685572bfa65,0,3,39,right,5487,0
34554685572bfa65,0,3,40,right,5545,0
