id,version,block,trial,side,rt,is_opt
36d30399227b2bb6,0,1,1,left,4505,1
36d30399227b2bb6,0,1,2,left,2541,1
36d30399227b2bb6,0,1,3,left,3090,1
36d30399227b2bb6,0,1,4,right,3491,1
36d30399227b2bb6,0,1,5,right,3979,1
36d30399227b2bb6,0,1,6,right,2416,1
36d30399227b2bb6,0,1,7,left,2985,1
36d30399227b2bb6,0,1,8,right,3698,1
36d30399227b2bb6,0,1,9,left,3853,1
36d30399227b2bb6,0,1,10,right,3402,1
36d30399227b2bb6,0,1,11,right,3920,1
36d30399227b2bb6,0,1,12,right,3327,1
36d30399227b2bb6,0,1,13,left,7045,0
36d30399227b2bb6,0,1,14,left,3401,1
36d30399227b2bb6,0,1,15,left,3400,1
36d30399227b2bb6,0,1,16,right,3779,1
36d30399227b2bb6,0,1,17,left,2230,1
36d30399227b2bb6,0,1,18,left,2779,1
36d30399227b2bb6,0,1,19,right,3748,1
36d30399227b2bb6,0,1,20,right,5809,0
36d30399227b2bb6,0,1,21,left,2807,1
36d30399227b2bb6,0,1,22,left,3364,1
36d30399227b2bb6,0,1,23,left,2431,1
36d30399227b2bb6,0,1,24,left,3349,1
36d30399227b2bb6,0,1,25,right,2912,1
36d30399227b2bb6,0,1,26,left,2622,1
36d30399227b2bb6,0,1,27,left,2231,1
36d30399227b2bb6,0,1,28,right,3220,1
36d30399227b2bb6,0,1,29,right,2489,1
36d30399227b2bb6,0,1,30,right,4497,1
36d30399227b2bb6,0,1,31,right,3148,1
36d30399227b2bb6,0,1,32,left,2511,1
36d30399227b2bb6,0,1,33,right,2941,1
36d30399227b2bb6,0,1,34,right,3052,1
36d30399227b2bb6,0,1,35,right,3482,1
36d30399227b2bb6,0,1,36,right,2712,1
36d30399227b2bb6,0,1,37,left,3120,1
36d30399227b2bb6,0,1,38,right,2823,1
36d30399227b2bb6,0,1,39,left,2674,1
36d30399227b2bb6,0,1,40,left,2844,1
36d30399227b2bb6,0,2,1,left,3734,1
36d30399227b2bb6,0,2,2,left,3290,1
36d30399227b2bb6,0,2,3,left,5816,0
36d30399227b2bb6,0,2,4,right,3615,1
36d30399227b2bb6,0,2,5,right,3438,1
36d30399227b2bb6,0,2,6,left,3674,1
36d30399227b2bb6,0,2,7,left,6873,0
36d30399227b2bb6,0,2,8,left,3745,1
36d30399227b2bb6,0,2,9,right,4608,1
36d30399227b2bb6,0,2,10,right,3267,1
36d30399227b2bb6,0,2,11,right,4660,1
36d30399227b2bb6,0,2,12,right,5600,0
36d30399227b2bb6,0,2,13,left,3652,1
36d30399227b2bb6,0,2,14,right,2734,1
36d30399227b2bb6,0,2,15,left,4867,0
36d30399227b2bb6,0,2,16,left,3779,1
36d30399227b2bb6,0,2,17,right,3112,1
36d30399227b2bb6,0,2,18,left,3571,1
36d30399227b2bb6,0,2,19,right,2703,1
36d30399227b2bb6,0,2,20,right,3334,1
36d30399227b2bb6,0,2,21,right,3259,1
36d30399227b2bb6,0,2,22,right,3319,1
36d30399227b2bb6,0,2,23,left,3856,1
36d30399227b2bb6,0,2,24,left,2207,1
36d30399227b2bb6,0,2,25,right,2742,1
36d30399227b2bb6,0,2,26,left,2869,1
36d30399227b2bb6,0,2,27,right,3253,1
36d30399227b2bb6,0,2,28,left,2141,1
36d30399227b2bb6,0,2,29,left,3765,1
36d30399227b2bb6,0,2,30,right,2681,1
36d30399227b2bb6,0,2,31,left,3460,1
36d30399227b2bb6,0,2,32,left,3097,1
36d30399227b2bb6,0,2,33,left,3104,1
36d30399227b2bb6,0,2,34,left,3408,1
36d30399227b2bb6,0,2,35,right,2822,1
36d30399227b2bb6,0,2,36,left,3520,1
36d30399227b2bb6,0,2,37,right,3237,1
36d30399227b2bb6,0,2,38,right,2815,1
36d30399227b2bb6,0,2,39,left,2178,1
36d30399227b2bb6,0,2,40,left,3060,1
36d30399227b2bb6,0,3,1,right,4267,1
36d30399227b2bb6,0,3,2,right,3118,1
36d30399227b2bb6,0,3,3,right,2289,1
36d30399227b2bb6,0,3,4,left,2393,1
36d30399227b2bb6,0,3,5,right,2268,1
36d30399227b2bb6,0,3,6,left,8121,0
36d30399227b2bb6,0,3,7,right,4979,0
36d30399227b2bb6,0,3,8,right,4778,1
36d30399227b2bb6,0,3,9,right,4527,0
36d30399227b2bb6,0,3,10,right,3111,1
36d30399227b2bb6,0,3,11,left,5593,0
36d30399227b2bb6,0,3,12,right,6164,0
36d30399227b2bb6,0,3,13,left,5712,0
36d30399227b2bb6,0,3,14,left,6549,0
36d30399227b2bb6,0,3,15,left,3022,1
36d30399227b2bb6,0,3,16,left,3142,1
36d30399227b2bb6,0,3,17,right,2993,1
36d30399227b2bb6,0,3,18,right,7106,0
36d30399227b2bb6,0,3,19,right,4801,0
36d30399227b2bb6,0,3,20,right,3490,1
36d30399227b2bb6,0,3,21,right,6683,0
36d30399227b2bb6,0,3,22,left,6157,1
36d30399227b2bb6,0,3,23,right,3341,1
36d30399227b2bb6,0,3,24,right,6423,0
36d30399227b2bb6,0,3,25,left,7150,0
36d30399227b2bb6,0,3,26,right,6579,0
36d30399227b2bb6,0,3,27,left,3557,1
36d30399227b2bb6,0,3,28,right,5534,0
36d30399227b2bb6,0,3,29,right,4275,1
36d30399227b2bb6,0,3,30,left,3208,1
36d30399227b2bb6,0,3,31,right,2267,1
36d30399227b2bb6,0,3,32,right,4068,1
36d30399227b2bb6,0,3,33,right,6157,1
36d30399227b2bb6,0,3,34,left,3741,1
36d30399227b2bb6,0,3,35,left,2792,1
36d30399227b2bb6,0,3,36,right,3090,1
36d30399227b2bb6,0,3,37,left,4216,1
36d30399227b2bb6,0,3,38,right,2844,1
36d30399227b2bb6,0,3,39,left,3326,1
36d30399227b2bb6,0,3,40,left,3882,1
