id,version,block,trial,side,rt,is_opt
87b994a44eeb8e18,1,1,1,left,4533,1
87b994a44eeb8e18,1,1,2,left,1795,1
87b994a44eeb8e18,1,1,3,right,4721,1
87b994a44eeb8e18,1,1,4,right,3729,1
87b994a44eeb8e18,1,1,5,right,2337,1
87b994a44eeb8e18,1,1,6,left,1255,1
87b994a44eeb8e18,1,1,7,left,4294,1
87b994a44eeb8e18,1,1,8,right,5318,1
87b994a44eeb8e18,1,1,9,left,1083,1
87b994a44eeb8e18,1,1,10,left,2044,1
87b994a44eeb8e18,1,1,11,right,2143,1
87b994a44eeb8e18,1,1,12,right,4378,1
87b994a44eeb8e18,1,1,13,right,4961,1
87b994a44eeb8e18,1,1,14,left,5290,1
87b994a44eeb8e18,1,1,15,right,5185,1
87b994a44eeb8e18,1,1,16,left,5947,1
87b994a44eeb8e18,1,1,17,right,4554,1
87b994a44eeb8e18,1,1,18,right,4701,1
87b994a44eeb8e18,1,1,19,left,2959,1
87b994a44eeb8e18,1,1,20,left,5164,1
87b994a44eeb8e18,1,1,21,left,1760,1
87b994a44eeb8e18,1,1,22,right,4374,1
87b994a44eeb8e18,1,1,23,left,1920,1
87b994a44eeb8e18,1,1,24,left,1769,1
87b994a44eeb8e18,1,1,25,right,4959,1
87b994a44eeb8e18,1,1,26,right,5084,1
87b994a44eeb8e18,1,1,27,right,4740,1
87b994a44eeb8e18,1,1,28,left,2489,1
87b994a44eeb8e18,1,1,29,right,4923,1
87b994a44eeb8e18,1,1,30,left,2694,1
87b994a44eeb8e18,1,1,31,left,2063,1
87b994a44eeb8e18,1,1,32,right,1472,1
87b994a44eeb8e18,1,1,33,left,2363,1
87b994a44eeb8e18,1,1,34,right,2248,1
87b994a44eeb8e18,1,1,35,left,3478,1
87b994a44eeb8e18,1,1,36,right,3458,1
87b994a44eeb8e18,1,1,37,left,3016,1
87b994a44eeb8e18,1,1,38,right,5135,1
87b994a44eeb8e18,1,1,39,right,2422,1
87b994a44eeb8e18,1,1,40,left,1242,1
87b994a44eeb8e18,1,2,1,left,1010,1
87b994a44eeb8e18,1,2,2,right,1658,1
87b994a44eeb8e18,1,2,3,right,1532,1
87b994a44eeb8e18,1,2,4,left,3182,1
87b994a44eeb8e18,1,2,5,left,4720,1
87b994a44eeb8e18,1,2,6,right,3720,1
87b994a44eeb8e18,1,2,7,right,2782,1
87b994a44eeb8e18,1,2,8,right,5370,1
87b994a44eeb8e18,1,2,9,left,5030,1
87b994a44eeb8e18,1,2,10,right,2015,1
87b994a44eeb8e18,1,2,11,left,5323,1
87b994a44eeb8e18,1,2,12,right,4207,1
87b994a44eeb8e18,1,2,13,right,3790,1
87b994a44eeb8e18,1,2,14,left,5326,1
87b994a44eeb8e18,1,2,15,right,2878,1
87b994a44eeb8e18,1,2,16,left,4920,1
87b994a44eeb8e18,1,2,17,left,1774,1
87b994a44eeb8e18,1,2,18,right,3368,1
87b994a44eeb8e18,1,2,19,left,2336,1
87b994a44eeb8e18,1,2,20,right,2911,1
87b994a44eeb8e18,1,2,21,left,3864,1
87b994a44eeb8e18,1,2,22,right,2389,1
87b994a44eeb8e18,1,2,23,right,4744,1
87b994a44eeb8e18,1,2,24,left,3710,1
87b994a44eeb8e18,1,2,25,left,1670,1
87b994a44eeb8e18,1,2,26,right,4061,1
87b994a44eeb8e18,1,2,27,right,3868,1
87b994a44eeb8e18,1,2,28,right,1573,1
87b994a44eeb8e18,1,2,29,left,1339,1
87b994a44eeb8e18,1,2,30,right,2755,1
87b994a44eeb8e18,1,2,31,left,891,1
87b994a44eeb8e18,1,2,32,left,3396,1
87b994a44eeb8e18,1,2,33,left,5399,1
87b994a44eeb8e18,1,2,34,right,4206,1
87b994a44eeb8e18,1,2,35,left,2507,1
87b994a44eeb8e18,1,2,36,right,4931,1
87b994a44eeb8e18,1,2,37,left,3549,1
87b994a44eeb8e18,1,2,38,right,3467,1
87b994a44eeb8e18,1,2,39,left,1679,1
87b994a44eeb8e18,1,2,40,left,3456,1
87b994a44eeb8e18,1,3,1,right,4565,1
87b994a44eeb8e18,1,3,2,right,2571,1
87b994a44eeb8e18,1,3,3,left,4680,1
87b994a44eeb8e18,1,3,4,left,2771,1
87b994a44eeb8e18,1,3,5,left,4332,1
87b994a44eeb8e18,1,3,6,right,4114,1
87b994a44eeb8e18,1,3,7,right,3170,1
87b994a44eeb8e18,1,3,8,right,3714,1
87b994a44eeb8e18,1,3,9,right,4725,1
87b994a44eeb8e18,1,3,10,left,1404,1
87b994a44eeb8e18,1,3,11,left,3736,1
87b994a44eeb8e18,1,3,12,left,3488,1
87b994a44eeb8e18,1,3,13,right,4269,1
87b994a44eeb8e18,1,3,14,left,2214,1
87b994a44eeb8e18,1,3,15,right,2479,1
87b994a44eeb8e18,1,3,16,left,3933,1
87b994a44eeb8e18,1,3,17,right,1975,1
87b994a44eeb8e18,1,3,18,left,2205,1
87b994a44eeb8e18,1,3,19,left,1358,1
87b994a44eeb8e18,1,3,20,left,3971,1
87b994a44eeb8e18,1,3,21,left,3000,1
87b994a44eeb8e18,1,3,22,left,3405,1
87b994a44eeb8e18,1,3,23,right,2551,1
87b994a44eeb8e18,1,3,24,right,1588,1
87b994a44eeb8e18,1,3,25,right,2452,1
87b994a44eeb8e18,1,3,26,left,3178,1
87b994a44eeb8e18,1,3,27,left,3969,1
87b994a44eeb8e18,1,3,28,right,1580,1
87b994a44eeb8e18,1,3,29,left,3605,1
87b994a44eeb8e18,1,3,30,left,3800,1
87b994a44eeb8e18,1,3,31,right,2862,1
87b994a44eeb8e18,1,3,32,right,1697,1
87b994a44eeb8e18,1,3,33,right,4648,1
87b994a44eeb8e18,1,3,34,left,2636,1
87b994a44eeb8e18,1,3,35,right,2953,1
87b994a44eeb8e18,1,3,36,right,2211,0
87b994a44eeb8e18,1,3,37,left,845,1
87b994a44eeb8e18,1,3,38,right,1205,1
87b994a44eeb8e18,1,3,39,right,1087,1
87b994a44eeb8e18,1,3,40,right,1640,1
