id,version,block,trial,side,rt,is_opt
a3f0a7a7921085d3,1,1,1,left,7129,0
a3f0a7a7921085d3,1,1,2,left,5264,1
a3f0a7a7921085d3,1,1,3,right,5506,1
a3f0a7a7921085d3,1,1,4,left,5748,0
a3f0a7a7921085d3,1,1,5,left,4959,1
a3f0a7a7921085d3,1,1,6,left,4890,0
a3f0a7a7921085d3,1,1,7,left,6735,0
a3f0a7a7921085d3,1,1,8,right,3210,1
a3f0a7a7921085d3,1,1,9,left,2074,1
a3f0a7a7921085d3,1,1,10,right,1653,1
a3f0a7a7921085d3,1,1,11,left,5624,1
a3f0a7a7921085d3,1,1,12,right,3932,1
a3f0a7a7921085d3,1,1,13,right,5179,1
a3f0a7a7921085d3,1,1,14,right,2379,1
a3f0a7a7921085d3,1,1,15,right,4444,1
a3f0a7a7921085d3,1,1,16,left,1705,1
a3f0a7a7921085d3,1,1,17,left,3960,1
a3f0a7a7921085d3,1,1,18,left,1531,1
a3f0a7a7921085d3,1,1,19,right,2757,1
a3f0a7a7921085d3,1,1,20,left,5889,1
a3f0a7a7921085d3,1,1,21,left,2597,1
a3f0a7a7921085d3,1,1,22,left,3810,1
a3f0a7a7921085d3,1,1,23,left,6109,0
a3f0a7a7921085d3,1,1,24,right,5149,1
a3f0a7a7921085d3,1,1,25,left,5916,1
a3f0a7a7921085d3,1,1,26,right,1959,1
a3f0a7a7921085d3,1,1,27,left,3944,1
a3f0a7a7921085d3,1,1,28,left,4006,1
a3f0a7a7921085d3,1,1,29,right,2735,1
a3f0a7a7921085d3,1,1,30,left,3582,1
a3f0a7a7921085d3,1,1,31,right,2219,1
a3f0a7a7921085d3,1,1,32,left,3807,1
a3f0a7a7921085d3,1,1,33,left,1586,1
a3f0a7a7921085d3,1,1,34,left,1830,1
a3f0a7a7921085d3,1,1,35,left,3379,1
a3f0a7a7921085d3,1,1,36,right,4945,1
a3f0a7a7921085d3,1,1,37,left,2576,1
a3f0a7a7921085d3,1,1,38,right,4422,1
a3f0a7a7921085d3,1,1,39,left,1324,1
a3f0a7a7921085d3,1,1,40,right,4077,1
a3f0a7a7921085d3,1,2,1,left,3289,1
a3f0a7a7921085d3,1,2,2,right,1674,1
a3f0a7a7921085d3,1,2,3,right,4344,1
a3f0a7a7921085d3,1,2,4,left,4606,1
a3f0a7a7921085d3,1,2,5,right,4764,1
a3f0a7a7921085d3,1,2,6,right,4755,1
a3f0a7a7921085d3,1,2,7,right,2634,1
a3f0a7a7921085d3,1,2,8,left,3683,1
a3f0a7a7921085d3,1,2,9,right,4133,1
a3f0a7a7921085d3,1,2,10,right,1858,1
a3f0a7a7921085d3,1,2,11,right,3417,1
a3f0a7a7921085d3,1,2,12,right,2016,1
a3f0a7a7921085d3,1,2,13,right,2174,1
a3f0a7a7921085d3,1,2,14,right,2479,1
a3f0a7a7921085d3,1,2,15,left,3338,1
a3f0a7a7921085d3,1,2,16,left,3970,1
a3f0a7a7921085d3,1,2,17,left,6180,1
a3f0a7a7921085d3,1,2,18,left,3652,1
a3f0a7a7921085d3,1,2,19,left,4787,1
a3f0a7a7921085d3,1,2,20,right,5149,1
a3f0a7a7921085d3,1,2,21,left,5202,1
a3f0a7a7921085d3,1,2,22,left,5173,1
a3f0a7a7921085d3,1,2,23,left,2158,1
a3f0a7a7921085d3,1,2,24,left,4452,1
a3f0a7a7921085d3,1,2,25,left,4335,1
a3f0a7a7921085d3,1,2,26,left,4300,1
a3f0a7a7921085d3,1,2,27,right,2364,1
