id,version,block,trial,side,rt,is_opt
c08796211ac57dba,0,1,1,left,4708,1
c08796211ac57dba,0,1,2,left,2640,1
c08796211ac57dba,0,1,3,right,2988,1
c08796211ac57dba,0,1,4,right,2501,1
c08796211ac57dba,0,1,5,left,3182,1
c08796211ac57dba,0,1,6,right,2894,1
c08796211ac57dba,0,1,7,right,2779,1
c08796211ac57dba,0,1,8,left,3848,1
c08796211ac57dba,0,1,9,left,2562,1
c08796211ac57dba,0,1,10,left,2959,1
c08796211ac57dba,0,1,11,left,2595,1
c08796211ac57dba,0,1,12,right,4023,1
c08796211ac57dba,0,1,13,left,3030,1
c08796211ac57dba,0,1,14,right,3417,1
c08796211ac57dba,0,1,15,right,3336,1
c08796211ac57dba,0,1,16,left,2737,1
c08796211ac57dba,0,1,17,right,4100,1
c08796211ac57dba,0,1,18,left,2785,1
c08796211ac57dba,0,1,19,right,2636,1
c08796211ac57dba,0,1,20,left,4129,1
c08796211ac57dba,0,1,21,left,2257,1
c08796211ac57dba,0,1,22,left,2795,1
c08796211ac57dba,0,1,23,right,3312,1
c08796211ac57dba,0,1,24,right,2583,1
c08796211ac57dba,0,1,25,left,2666,1
c08796211ac57dba,0,1,26,left,2915,1
c08796211ac57dba,0,1,27,right,2485,1
c08796211ac57dba,0,1,28,right,2647,1
c08796211ac57dba,0,1,29,right,2598,1
c08796211ac57dba,0,1,30,right,5309,0
c08796211ac57dba,0,1,31,right,2293,1
c08796211ac57dba,0,1,32,left,2650,1
c08796211ac57dba,0,1,33,left,2517,1
c08796211ac57dba,0,1,34,right,2974,1
c08796211ac57dba,0,1,35,right,3049,1
c08796211ac57dba,0,1,36,right,3454,1
c08796211ac57dba,0,1,37,left,3164,1
c08796211ac57dba,0,1,38,right,2665,1
c08796211ac57dba,0,1,39,left,3133,1
c08796211ac57dba,0,1,40,right,2388,1
c08796211ac57dba,0,2,1,left,2461,1
c08796211ac57dba,0,2,2,right,3146,1
c08796211ac57dba,0,2,3,right,3024,1
c08796211ac57dba,0,2,4,left,2963,1
c08796211ac57dba,0,2,5,left,5010,0
c08796211ac57dba,0,2,6,left,6151,0
c08796211ac57dba,0,2,7,right,3311,1
c08796211ac57dba,0,2,8,right,3333,1
c08796211ac57dba,0,2,9,right,3210,1
c08796211ac57dba,0,2,10,right,2452,1
c08796211ac57dba,0,2,11,left,2885,1
c08796211ac57dba,0,2,12,left,3361,1
c08796211ac57dba,0,2,13,left,3164,1
c08796211ac57dba,0,2,14,right,3319,1
c08796211ac57dba,0,2,15,left,4717,1
c08796211ac57dba,0,2,16,right,3976,1
c08796211ac57dba,0,2,17,left,3399,1
c08796211ac57dba,0,2,18,left,2739,1
c08796211ac57dba,0,2,19,left,2290,1
c08796211ac57dba,0,2,20,right,2315,1
c08796211ac57dba,0,2,21,left,3665,1
c08796211ac57dba,0,2,22,right,3497,1
c08796211ac57dba,0,2,23,left,2694,1
c08796211ac57dba,0,2,24,right,2681,1
c08796211ac57dba,0,2,25,right,2361,1
c08796211ac57dba,0,2,26,right,3010,1
c08796211ac57dba,0,2,27,right,2283,1
c08796211ac57dba,0,2,28,right,3299,1
c08796211ac57dba,0,2,29,left,3497,1
c08796211ac57dba,0,2,30,left,3440,1
c08796211ac57dba,0,2,31,left,2632,1
c08796211ac57dba,0,2,32,right,3876,1
c08796211ac57dba,0,2,33,left,3120,1
c08796211ac57dba,0,2,34,left,2511,1
c08796211ac57dba,0,2,35,left,2632,1
c08796211ac57dba,0,2,36,left,3375,1
c08796211ac57dba,0,2,37,right,2732,1
c08796211ac57dba,0,2,38,left,2901,1
c08796211ac57dba,0,2,39,right,3728,1
c08796211ac57dba,0,2,40,left,3972,1
c08796211ac57dba,0,3,1,right,3232,1
c08796211ac57dba,0,3,2,right,3167,1
c08796211ac57dba,0,3,3,right,4971,1
c08796211ac57dba,0,3,4,right,3214,1
c08796211ac57dba,0,3,5,left,2557,1
c08796211ac57dba,0,3,6,left,3608,1
c08796211ac57dba,0,3,7,left,5025,1
c08796211ac57dba,0,3,8,right,2193,1
c08796211ac57dba,0,3,9,left,3135,1
c08796211ac57dba,0,3,10,left,3549,1
c08796211ac57dba,0,3,11,right,3522,1
c08796211ac57dba,0,3,12,left,4169,1
c08796211ac57dba,0,3,13,right,2994,1
c08796211ac57dba,0,3,14,left,2963,1
c08796211ac57dba,0,3,15,right,2248,1
c08796211ac57dba,0,3,16,right,3029,1
c08796211ac57dba,0,3,17,left,3809,1
c08796211ac57dba,0,3,18,right,3830,1
c08796211ac57dba,0,3,19,left,2546,1
c08796211ac57dba,0,3,20,right,3359,1
c08796211ac57dba,0,3,21,left,3009,1
c08796211ac57dba,0,3,22,left,4371,1
c08796211ac57dba,0,3,23,left,2605,1
c08796211ac57dba,0,3,24,right,2992,1
c08796211ac57dba,0,3,25,left,3590,1
c08796211ac57dba,0,3,26,left,3171,1
c08796211ac57dba,0,3,27,left,3167,1
c08796211ac57dba,0,3,28,left,3638,1
c08796211ac57dba,0,3,29,left,3109,1
c08796211ac57dba,0,3,30,right,2518,1
c08796211ac57dba,0,3,31,right,3363,1
c08796211ac57dba,0,3,32,right,3653,1
c08796211ac57dba,0,3,33,left,3760,1
c08796211ac57dba,0,3,34,right,3123,1
c08796211ac57dba,0,3,35,right,2372,1
c08796211ac57dba,0,3,36,left,3275,1
c08796211ac57dba,0,3,37,right,3588,1
c08796211ac57dba,0,3,38,right,2508,1
c08796211ac57dba,0,3,39,right,3129,1
c08796211ac57dba,0,3,40,left,2714,1
