id,version,block,trial,side,rt,is_opt
db72089ae46a978c,1,1,1,left,6073,1
db72089ae46a978c,1,1,2,right,5315,0
db72089ae46a978c,1,1,3,right,4019,1
db72089ae46a978c,1,1,4,left,3955,1
db72089ae46a978c,1,1,5,left,7796,0
db72089ae46a978c,1,1,6,left,1674,0
db72089ae46a978c,1,1,7,left,3419,0
db72089ae46a978c,1,1,8,left,6036,1
db72089ae46a978c,1,1,9,left,4292,0
db72089ae46a978c,1,1,10,left,6857,1
db72089ae46a978c,1,1,11,right,1924,0
db72089ae46a978c,1,1,12,right,1272,0
db72089ae46a978c,1,1,13,right,2030,1
db72089ae46a978c,1,1,14,right,2503,0
db72089ae46a978c,1,1,15,left,2538,0
db72089ae46a978c,1,1,16,left,6085,0
db72089ae46a978c,1,1,17,right,7944,0
db72089ae46a978c,1,1,18,left,8643,0
db72089ae46a978c,1,1,19,left,8192,0
db72089ae46a978c,1,1,20,left,2737,1
db72089ae46a978c,1,1,21,right,2681,0
db72089ae46a978c,1,1,22,right,2772,0
db72089ae46a978c,1,1,23,left,2672,0
db72089ae46a978c,1,1,24,right,5660,0
db72089ae46a978c,1,1,25,right,4888,1
db72089ae46a978c,1,1,26,left,4645,1
db72089ae46a978c,1,1,27,right,2144,0
db72089ae46a978c,1,1,28,left,5716,0
db72089ae46a978c,1,1,29,right,2359,0
db72089ae46a978c,1,1,30,left,7769,0
db72089ae46a978c,1,1,31,left,7904,0
db72089ae46a978c,1,1,32,right,1600,0
db72089ae46a978c,1,1,33,right,6411,0
db72089ae46a978c,1,1,34,left,7353,0
db72089ae46a978c,1,1,35,right,8703,0
db72089ae46a978c,1,1,36,right,5809,1
db72089ae46a978c,1,1,37,left,4537,1
db72089ae46a978c,1,1,38,left,1843,0
db72089ae46a978c,1,1,39,left,9239,0
db72089ae46a978c,1,1,40,right,2880,1
db72089ae46a978c,1,2,1,left,5595,0
db72089ae46a978c,1,2,2,right,4267,0
db72089ae46a978c,1,2,3,right,3945,0
db72089ae46a978c,1,2,4,right,8610,0
db72089ae46a978c,1,2,5,right,1243,0
db72089ae46a978c,1,2,6,right,1565,0
db72089ae46a978c,1,2,7,left,9003,0
db72089ae46a978c,1,2,8,left,5424,0
db72089ae46a978c,1,2,9,left,5800,1
db72089ae46a978c,1,2,10,right,7352,0
db72089ae46a978c,1,2,11,left,7531,0
db72089ae46a978c,1,2,12,left,3058,0
db72089ae46a978c,1,2,13,left,3721,0
db72089ae46a978c,1,2,14,left,7980,0
db72089ae46a978c,1,2,15,right,4708,0
db72089ae46a978c,1,2,16,left,5287,0
db72089ae46a978c,1,2,17,left,7487,0
db72089ae46a978c,1,2,18,left,4035,0
db72089ae46a978c,1,2,19,right,5815,1
db72089ae46a978c,1,2,20,right,1650,1
db72089ae46a978c,1,2,21,right,1699,1
db72089ae46a978c,1,2,22,left,1865,1
db72089ae46a978c,1,2,23,left,1507,1
db72089ae46a978c,1,2,24,right,5465,1
db72089ae46a978c,1,2,25,left,1129,1
db72089ae46a978c,1,2,26,left,2471,1
db72089ae46a978c,1,2,27,left,1250,1
db72089ae46a978c,1,2,28,right,1035,1
db72089ae46a978c,1,2,29,left,5686,1
db72089ae46a978c,1,2,30,left,3079,1
db72089ae46a978c,1,2,31,left,4879,1
db72089ae46a978c,1,2,32,right,5299,1
db72089ae46a978c,1,2,33,left,1891,1
db72089ae46a978c,1,2,34,left,5463,1
db72089ae46a978c,1,2,35,left,3542,1
db72089ae46a978c,1,2,36,right,2320,1
db72089ae46a978c,1,2,37,left,3006,1
db72089ae46a978c,1,2,38,right,1564,1
db72089ae46a978c,1,2,39,right,1092,1
db72089ae46a978c,1,2,40,right,1699,1
db72089ae46a978c,1,3,1,left,3798,0
db72089ae46a978c,1,3,2,left,3031,0
db72089ae46a978c,1,3,3,right,3018,0
db72089ae46a978c,1,3,4,left,5848,0
db72089ae46a978c,1,3,5,right,7312,0
db72089ae46a978c,1,3,6,right,1351,1
db72089ae46a978c,1,3,7,left,3689,1
db72089ae46a978c,1,3,8,right,1129,1
db72089ae46a978c,1,3,9,right,3501,1
db72089ae46a978c,1,3,10,left,3187,1
db72089ae46a978c,1,3,11,left,1608,1
db72089ae46a978c,1,3,12,left,3094,1
db72089ae46a978c,1,3,13,left,4066,1
db72089ae46a978c,1,3,14,right,5410,1
db72089ae46a978c,1,3,15,left,3438,1
db72089ae46a978c,1,3,16,left,3594,1
db72089ae46a978c,1,3,17,right,2630,1
db72089ae46a978c,1,3,18,left,5551,1
db72089ae46a978c,1,3,19,left,7244,1
db72089ae46a978c,1,3,20,right,4544,1
db72089ae46a978c,1,3,21,right,1692,1
db72089ae46a978c,1,3,22,left,8665,0
db72089ae46a978c,1,3,23,right,2921,1
db72089ae46a978c,1,3,24,right,2986,1
db72089ae46a978c,1,3,25,left,1422,1
db72089ae46a978c,1,3,26,right,5464,1
db72089ae46a978c,1,3,27,left,3562,1
db72089ae46a978c,1,3,28,left,5259,1
db72089ae46a978c,1,3,29,left,4130,1
db72089ae46a978c,1,3,30,right,2643,1
db72089ae46a978c,1,3,31,left,2130,1
db72089ae46a978c,1,3,32,left,3900,1
db72089ae46a978c,1,3,33,right,2343,1
db72089ae46a978c,1,3,34,right,4621,1
db72089ae46a978c,1,3,35,left,4143,1
db72089ae46a978c,1,3,36,left,6435,1
db72089ae46a978c,1,3,37,right,2643,1
db72089ae46a978c,1,3,38,right,5971,1
db72089ae46a978c,1,3,39,right,5313,1
db72089ae46a978c,1,3,40,left,5850,1
