id,version,block,trial,side,rt,is_opt
f3bd487977fd8b19,1,1,1,right,5818,1
f3bd487977fd8b19,1,1,2,left,5231,1
f3bd487977fd8b19,1,1,3,left,3587,1
f3bd487977fd8b19,1,1,4,left,5536,1
f3bd487977fd8b19,1,1,5,right,6018,1
f3bd487977fd8b19,1,1,6,left,2654,1
f3bd487977fd8b19,1,1,7,right,2207,1
f3bd487977fd8b19,1,1,8,left,5367,1
f3bd487977fd8b19,1,1,9,right,7515,1
f3bd487977fd8b19,1,1,10,right,4387,1
f3bd487977fd8b19,1,1,11,left,3004,1
f3bd487977fd8b19,1,1,12,right,3873,1
f3bd487977fd8b19,1,1,13,left,3048,1
f3bd487977fd8b19,1,1,14,right,1518,1
f3bd487977fd8b19,1,1,15,left,3703,1
f3bd487977fd8b19,1,1,16,right,3702,1
f3bd487977fd8b19,1,1,17,right,1191,1
f3bd487977fd8b19,1,1,18,left,2404,1
f3bd487977fd8b19,1,1,19,left,1439,1
f3bd487977fd8b19,1,1,20,left,1216,1
f3bd487977fd8b19,1,1,21,right,4249,1
f3bd487977fd8b19,1,1,22,left,3873,1
f3bd487977fd8b19,1,1,23,left,6405,1
f3bd487977fd8b19,1,1,24,right,4801,1
f3bd487977fd8b19,1,1,25,right,3666,1
f3bd487977fd8b19,1,1,26,right,5399,1
f3bd487977fd8b19,1,1,27,left,2658,1
f3bd487977fd8b19,1,1,28,right,2382,1
f3bd487977fd8b19,1,1,29,left,2282,1
f3bd487977fd8b19,1,1,30,left,4735,1
f3bd487977fd8b19,1,1,31,left,1935,1
f3bd487977fd8b19,1,1,32,right,5062,1
f3bd487977fd8b19,1,1,33,right,1552,1
f3bd487977fd8b19,1,1,34,right,1361,1
f3bd487977fd8b19,1,1,35,right,5446,1
f3bd487977fd8b19,1,1,36,left,3857,1
f3bd487977fd8b19,1,1,37,left,5670,1
f3bd487977fd8b19,1,1,38,right,2182,1
f3bd487977fd8b19,1,1,39,right,2957,1
f3bd487977fd8b19,1,1,40,left,2939,1
f3bd487977fd8b19,1,2,1,left,1158,1
f3bd487977fd8b19,1,2,2,left,6791,1
f3bd487977fd8b19,1,2,3,left,4580,1
f3bd487977fd8b19,1,2,4,right,4511,1
f3bd487977fd8b19,1,2,5,left,3870,1
f3bd487977fd8b19,1,2,6,left,1833,1
f3bd487977fd8b19,1,2,7,left,944,1
f3bd487977fd8b19,1,2,8,right,6862,1
f3bd487977fd8b19,1,2,9,left,2712,1
f3bd487977fd8b19,1,2,10,left,3995,1
f3bd487977fd8b19,1,2,11,right,2442,1
f3bd487977fd8b19,1,2,12,left,2351,1
f3bd487977fd8b19,1,2,13,left,2902,1
f3bd487977fd8b19,1,2,14,right,5571,1
f3bd487977fd8b19,1,2,15,left,2498,1
f3bd487977fd8b19,1,2,16,right,1542,1
f3bd487977fd8b19,1,2,17,left,2601,1
f3bd487977fd8b19,1,2,18,right,2150,1
f3bd487977fd8b19,1,2,19,right,1244,1
f3bd487977fd8b19,1,2,20,right,3061,1
f3bd487977fd8b19,1,2,21,left,6658,1
f3bd487977fd8b19,1,2,22,left,6255,1
f3bd487977fd8b19,1,2,23,left,2924,1
f3bd487977fd8b19,1,2,24,right,3464,1
f3bd487977fd8b19,1,2,25,right,3807,1
f3bd487977fd8b19,1,2,26,right,5140,1
f3bd487977fd8b19,1,2,27,left,6509,1
f3bd487977fd8b19,1,2,28,right,4656,1
f3bd487977fd8b19,1,2,29,right,3543,1
f3bd487977fd8b19,1,2,30,right,3039,1
f3bd487977fd8b19,1,2,31,left,4207,1
f3bd487977fd8b19,1,2,32,right,3577,1
f3bd487977fd8b19,1,2,33,right,1192,1
f3bd487977fd8b19,1,2,34,right,4328,1
f3bd487977fd8b19,1,2,35,left,2756,1
f3bd487977fd8b19,1,2,36,left,3296,1
f3bd487977fd8b19,1,2,37,right,5906,1
f3bd487977fd8b19,1,2,38,left,5826,1
f3bd487977fd8b19,1,2,39,right,4076,1
f3bd487977fd8b19,1,2,40,right,2443,1
f3bd487977fd8b19,1,3,1,right,6099,1
f3bd487977fd8b19,1,3,2,right,5209,1
f3bd487977fd8b19,1,3,3,left,1124,1
f3bd487977fd8b19,1,3,4,right,1563,1
f3bd487977fd8b19,1,3,5,right,3824,1
