id,version,block,trial,side,rt,is_opt
fbb1b0e6bb3504cd,0,1,1,right,2335,1
fbb1b0e6bb3504cd,0,1,2,left,8065,1
fbb1b0e6bb3504cd,0,1,3,right,6123,1
fbb1b0e6bb3504cd,0,1,4,left,3571,1
fbb1b0e6bb3504cd,0,1,5,left,6655,0
fbb1b0e6bb3504cd,0,1,6,right,3995,1
fbb1b0e6bb3504cd,0,1,7,right,4579,1
fbb1b0e6bb3504cd,0,1,8,left,15351,0
fbb1b0e6bb3504cd,0,1,9,left,6498,1
fbb1b0e6bb3504cd,0,1,10,right,7167,0
fbb1b0e6bb3504cd,0,1,11,right,7753,0
fbb1b0e6bb3504cd,0,1,12,right,3906,1
fbb1b0e6bb3504cd,0,1,13,right,3718,1
fbb1b0e6bb3504cd,0,1,14,right,16650,0
fbb1b0e6bb3504cd,0,1,15,left,6799,0
fbb1b0e6bb3504cd,0,1,16,right,5064,1
fbb1b0e6bb3504cd,0,1,17,left,7416,1
fbb1b0e6bb3504cd,0,1,18,right,3542,1
fbb1b0e6bb3504cd,0,1,19,left,5119,1
fbb1b0e6bb3504cd,0,1,20,left,4339,1
fbb1b0e6bb3504cd,0,1,21,left,7842,1
fbb1b0e6bb3504cd,0,1,22,left,8116,1
fbb1b0e6bb3504cd,0,1,23,left,3969,1
fbb1b0e6bb3504cd,0,1,24,right,4248,1
fbb1b0e6bb3504cd,0,1,25,right,3631,1
fbb1b0e6bb3504cd,0,1,26,right,8352,0
fbb1b0e6bb3504cd,0,1,27,left,4150,1
fbb1b0e6bb3504cd,0,1,28,right,4651,1
fbb1b0e6bb3504cd,0,1,29,left,4395,1
fbb1b0e6bb3504cd,0,1,30,left,3963,1
fbb1b0e6bb3504cd,0,1,31,left,15428,0
fbb1b0e6bb3504cd,0,1,32,right,3494,1
fbb1b0e6bb3504cd,0,1,33,right,3859,1
fbb1b0e6bb3504cd,0,1,34,right,4262,1
fbb1b0e6bb3504cd,0,1,35,right,9768,0
fbb1b0e6bb3504cd,0,1,36,right,5251,1
fbb1b0e6bb3504cd,0,1,37,left,9110,1
fbb1b0e6bb3504cd,0,1,38,left,3176,1
fbb1b0e6bb3504cd,0,1,39,right,4005,1
fbb1b0e6bb3504cd,0,1,40,left,3313,1
fbb1b0e6bb3504cd,0,2,1,left,3286,1
fbb1b0e6bb3504cd,0,2,2,right,3067,1
fbb1b0e6bb3504cd,0,2,3,right,3250,1
fbb1b0e6bb3504cd,0,2,4,left,3328,1
fbb1b0e6bb3504cd,0,2,5,right,3266,1
fbb1b0e6bb3504cd,0,2,6,right,5242,1
fbb1b0e6bb3504cd,0,2,7,left,4630,1
fbb1b0e6bb3504cd,0,2,8,right,3529,1
fbb1b0e6bb3504cd,0,2,9,left,3346,1
fbb1b0e6bb3504cd,0,2,10,left,4594,1
fbb1b0e6bb3504cd,0,2,11,left,2693,1
fbb1b0e6bb3504cd,0,2,12,right,6313,0
fbb1b0e6bb3504cd,0,2,13,left,4562,1
fbb1b0e6bb3504cd,0,2,14,right,3123,1
fbb1b0e6bb3504cd,0,2,15,right,5297,0
fbb1b0e6bb3504cd,0,2,16,left,3579,1
fbb1b0e6bb3504cd,0,2,17,right,3344,1
fbb1b0e6bb3504cd,0,2,18,left,6019,0
fbb1b0e6bb3504cd,0,2,19,right,3553,1
fbb1b0e6bb3504cd,0,2,20,right,2878,1
fbb1b0e6bb3504cd,0,2,21,left,3213,1
fbb1b0e6bb3504cd,0,2,22,left,2673,1
fbb1b0e6bb3504cd,0,2,23,left,4078,1
fbb1b0e6bb3504cd,0,2,24,right,3297,1
fbb1b0e6bb3504cd,0,2,25,left,7959,0
fbb1b0e6bb3504cd,0,2,26,left,8512,1
fbb1b0e6bb3504cd,0,2,27,right,3815,1
fbb1b0e6bb3504cd,0,2,28,right,3788,1
fbb1b0e6bb3504cd,0,2,29,left,4725,1
fbb1b0e6bb3504cd,0,2,30,left,4095,1
fbb1b0e6bb3504cd,0,2,31,left,2868,1
fbb1b0e6bb3504cd,0,2,32,left,5062,0
fbb1b0e6bb3504cd,0,2,33,right,6433,0
fbb1b0e6bb3504cd,0,2,34,right,6956,0
fbb1b0e6bb3504cd,0,2,35,right,6858,0
fbb1b0e6bb3504cd,0,2,36,left,7088,0
fbb1b0e6bb3504cd,0,2,37,left,6039,0
fbb1b0e6bb3504cd,0,2,38,left,7508,0
fbb1b0e6bb3504cd,0,2,39,left,6221,0
fbb1b0e6bb3504cd,0,2,40,left,6631,0
fbb1b0e6bb3504cd,0,3,1,right,5772,0
fbb1b0e6bb3504cd,0,3,2,right,7229,0
fbb1b0e6bb3504cd,0,3,3,left,7546,0
fbb1b0e6bb3504cd,0,3,4,right,6519,0
fbb1b0e6bb3504cd,0,3,5,right,7910,0
fbb1b0e6bb3504cd,0,3,6,right,3271,1
fbb1b0e6bb3504cd,0,3,7,right,4222,1
fbb1b0e6bb3504cd,0,3,8,right,3072,1
fbb1b0e6bb3504cd,0,3,9,right,6574,0
fbb1b0e6bb3504cd,0,3,10,right,6604,0
fbb1b0e6bb3504cd,0,3,11,left,7424,0
fbb1b0e6bb3504cd,0,3,12,right,6264,0
fbb1b0e6bb3504cd,0,3,13,right,6775,0
fbb1b0e6bb3504cd,0,3,14,left,7973,0
fbb1b0e6bb3504cd,0,3,15,right,5821,0
fbb1b0e6bb3504cd,0,3,16,right,7292,0
fbb1b0e6bb3504cd,0,3,17,right,6331,0
fbb1b0e6bb3504cd,0,3,18,left,6363,0
fbb1b0e6bb3504cd,0,3,19,right,5711,0
fbb1b0e6bb3504cd,0,3,20,left,7529,0
fbb1b0e6bb3504cd,0,3,21,left,7653,0
fbb1b0e6bb3504cd,0,3,22,left,6371,0
fbb1b0e6bb3504cd,0,3,23,left,6636,0
fbb1b0e6bb3504cd,0,3,24,left,8471,0
fbb1b0e6bb3504cd,0,3,25,right,6029,0
fbb1b0e6bb3504cd,0,3,26,left,5849,0
fbb1b0e6bb3504cd,0,3,27,left,6789,0
fbb1b0e6bb3504cd,0,3,28,right,6708,0
fbb1b0e6bb3504cd,0,3,29,left,6542,0
fbb1b0e6bb3504cd,0,3,30,left,5606,0
fbb1b0e6bb3504cd,0,3,31,right,6235,0
fbb1b0e6bb3504cd,0,3,32,right,5779,0
fbb1b0e6bb3504cd,0,3,33,right,7376,0
fbb1b0e6bb3504cd,0,3,34,left,5979,0
fbb1b0e6bb3504cd,0,3,35,left,7017,0
fbb1b0e6bb3504cd,0,3,36,right,5674,0
fbb1b0e6bb3504cd,0,3,37,right,5425,0
fbb1b0e6bb3504cd,0,3,38,left,7216,0
fbb1b0e6bb3504cd,0,3,39,left,6118,0
fbb1b0e6bb3504cd,0,3,40,right,6415,0
