id,block,trial,color,rt,is_opt
062b9f25d762d8d5,1,1,blue,4462,0
062b9f25d762d8d5,1,2,red,7607,1
062b9f25d762d8d5,1,3,red,17043,1
062b9f25d762d8d5,1,4,blue,6023,1
062b9f25d762d8d5,1,5,red,2838,0
062b9f25d762d8d5,1,6,blue,3949,0
062b9f25d762d8d5,1,7,blue,6282,1
062b9f25d762d8d5,1,8,blue,3816,0
062b9f25d762d8d5,1,9,blue,20726,1
062b9f25d762d8d5,1,10,red,11550,0
062b9f25d762d8d5,1,11,red,22094,0
062b9f25d762d8d5,1,12,red,12835,0
062b9f25d762d8d5,1,13,red,1900,0
062b9f25d762d8d5,1,14,red,14600,1
062b9f25d762d8d5,1,15,blue,8719,0
062b9f25d762d8d5,1,16,blue,6921,0
062b9f25d762d8d5,1,17,red,4887,0
062b9f25d762d8d5,1,18,red,3492,0
062b9f25d762d8d5,1,19,blue,16617,0
062b9f25d762d8d5,1,20,red,12202,0
062b9f25d762d8d5,1,21,blue,13921,0
062b9f25d762d8d5,1,22,blue,24790,0
062b9f25d762d8d5,1,23,blue,19028,0
062b9f25d762d8d5,1,24,blue,10941,1
062b9f25d762d8d5,1,25,blue,6298,0
062b9f25d762d8d5,1,26,blue,7976,1
062b9f25d762d8d5,1,27,red,5139,0
062b9f25d762d8d5,1,28,red,3997,1
062b9f25d762d8d5,1,29,blue,17190,0
062b9f25d762d8d5,1,30,blue,4296,0
062b9f25d762d8d5,1,31,blue,6378,0
062b9f25d762d8d5,1,32,red,10900,1
062b9f25d762d8d5,1,33,blue,13801,0
062b9f25d762d8d5,1,34,blue,6156,1
062b9f25d762d8d5,1,35,blue,7094,1
062b9f25d762d8d5,1,36,red,5895,0
062b9f25d762d8d5,1,37,red,16481,0
062b9f25d762d8d5,1,38,blue,21288,0
062b9f25d762d8d5,1,39,blue,7518,1
062b9f25d762d8d5,1,40,blue,13036,1
062b9f25d762d8d5,2,1,blue,22271,0
062b9f25d762d8d5,2,2,blue,1955,0
062b9f25d762d8d5,2,3,red,31361,0
062b9f25d762d8d5,2,4,red,2427,0
062b9f25d762d8d5,2,5,red,8613,0
062b9f25d762d8d5,2,6,red,5761,1
062b9f25d762d8d5,2,7,red,6179,1
062b9f25d762d8d5,2,8,blue,2553,1
062b9f25d762d8d5,2,9,blue,9732,1
062b9f25d762d8d5,2,10,blue,28496,0
062b9f25d762d8d5,2,11,red,19159,0
062b9f25d762d8d5,2,12,blue,24305,1
062b9f25d762d8d5,2,13,blue,11008,0
062b9f25d762d8d5,2,14,blue,3837,0
062b9f25d762d8d5,2,15,red,4862,1
062b9f25d762d8d5,2,16,blue,6029,0
062b9f25d762d8d5,2,17,blue,11370,1
062b9f25d762d8d5,2,18,blue,5343,1
062b9f25d762d8d5,2,19,blue,19724,0
062b9f25d762d8d5,2,20,blue,4247,0
062b9f25d762d8d5,2,21,blue,8423,0
062b9f25d762d8d5,2,22,blue,9809,1
062b9f25d762d8d5,2,23,red,5572,1
062b9f25d762d8d5,2,24,red,9298,1
062b9f25d762d8d5,2,25,red,18564,0
062b9f25d762d8d5,2,26,blue,9494,1
062b9f25d762d8d5,2,27,blue,13387,0
062b9f25d762d8d5,2,28,blue,10140,1
062b9f25d762d8d5,2,29,blue,3412,1
062b9f25d762d8d5,2,30,blue,10779,0
062b9f25d762d8d5,2,31,blue,2767,0
062b9f25d762d8d5,2,32,red,1638,0
062b9f25d762d8d5,2,33,blue,4231,0
062b9f25d762d8d5,2,34,red,5508,0
062b9f25d762d8d5,2,35,blue,3450,0
062b9f25d762d8d5,2,36,red,6917,1
062b9f25d762d8d5,2,37,red,2679,0
062b9f25d762d8d5,2,38,blue,5358,1
062b9f25d762d8d5,2,39,red,7919,0
062b9f25d762d8d5,2,40,blue,14617,1
062b9f25d762d8d5,3,1,blue,9711,0
062b9f25d762d8d5,3,2,blue,10625,0
062b9f25d762d8d5,3,3,blue,4910,1
062b9f25d762d8d5,3,4,blue,3758,1
062b9f25d762d8d5,3,5,red,3602,1
062b9f25d762d8d5,3,6,red,2665,0
062b9f25d762d8d5,3,7,blue,19049,1
062b9f25d762d8d5,3,8,blue,5730,0
062b9f25d762d8d5,3,9,red,14281,1
062b9f25d762d8d5,3,10,red,5186,0
062b9f25d762d8d5,3,11,red,4453,0
062b9f25d762d8d5,3,12,red,18078,0
062b9f25d762d8d5,3,13,blue,16046,1
062b9f25d762d8d5,3,14,blue,21815,0
062b9f25d762d8d5,3,15,red,15013,1
062b9f25d762d8d5,3,16,blue,11428,0
062b9f25d762d8d5,3,17,red,2781,1
062b9f25d762d8d5,3,18,red,10726,0
062b9f25d762d8d5,3,19,blue,2585,0
062b9f25d762d8d5,3,20,blue,22714,1
062b9f25d762d8d5,3,21,blue,11641,1
062b9f25d762d8d5,3,22,red,10317,1
062b9f25d762d8d5,3,23,red,4492,1
062b9f25d762d8d5,3,24,blue,8448,1
062b9f25d762d8d5,3,25,red,6470,1
062b9f25d762d8d5,3,26,blue,6053,1
062b9f25d762d8d5,3,27,blue,4690,1
062b9f25d762d8d5,3,28,blue,10804,1
062b9f25d762d8d5,3,29,blue,2356,0
062b9f25d762d8d5,3,30,blue,14036,1
062b9f25d762d8d5,3,31,red,9961,0
062b9f25d762d8d5,3,32,red,4446,0
062b9f25d762d8d5,3,33,blue,2033,0
062b9f25d762d8d5,3,34,blue,3523,1
062b9f25d762d8d5,3,35,blue,7226,0
062b9f25d762d8d5,3,36,red,9142,0
062b9f25d762d8d5,3,37,red,6478,1
062b9f25d762d8d5,3,38,red,9991,1
062b9f25d762d8d5,3,39,blue,5847,0
062b9f25d762d8d5,3,40,red,2774,1
