id,block,trial,color,rt,is_opt
0d4b80e6e9f0f9a6,1,1,blue,6375,1
0d4b80e6e9f0f9a6,1,2,red,13478,1
0d4b80e6e9f0f9a6,1,3,red,12213,0
0d4b80e6e9f0f9a6,1,4,red,1481,1
0d4b80e6e9f0f9a6,1,5,blue,22316,0
0d4b80e6e9f0f9a6,1,6,red,14816,0
0d4b80e6e9f0f9a6,1,7,red,2186,0
0d4b80e6e9f0f9a6,1,8,red,7191,0
0d4b80e6e9f0f9a6,1,9,red,10322,0
0d4b80e6e9f0f9a6,1,10,blue,4998,0
0d4b80e6e9f0f9a6,1,11,red,2041,1
0d4b80e6e9f0f9a6,1,12,red,5333,1
0d4b80e6e9f0f9a6,1,13,red,4805,0
0d4b80e6e9f0f9a6,1,14,blue,8279,1
0d4b80e6e9f0f9a6,1,15,red,3418,0
0d4b80e6e9f0f9a6,1,16,red,5116,0
0d4b80e6e9f0f9a6,1,17,red,2114,1
0d4b80e6e9f0f9a6,1,18,blue,13756,0
0d4b80e6e9f0f9a6,1,19,blue,1961,0
0d4b80e6e9f0f9a6,1,20,red,16023,0
0d4b80e6e9f0f9a6,1,21,red,3644,0
0d4b80e6e9f0f9a6,1,22,blue,6743,0
0d4b80e6e9f0f9a6,1,23,red,24007,1
0d4b80e6e9f0f9a6,1,24,blue,13838,1
0d4b80e6e9f0f9a6,1,25,blue,13870,0
0d4b80e6e9f0f9a6,1,26,red,4876,0
0d4b80e6e9f0f9a6,1,27,blue,49866,1
0d4b80e6e9f0f9a6,1,28,red,28827,0
0d4b80e6e9f0f9a6,1,29,blue,11795,0
0d4b80e6e9f0f9a6,1,30,blue,11434,0
0d4b80e6e9f0f9a6,1,31,blue,3331,0
0d4b80e6e9f0f9a6,1,32,red,19331,1
0d4b80e6e9f0f9a6,1,33,red,1794,1
0d4b80e6e9f0f9a6,1,34,red,15260,0
0d4b80e6e9f0f9a6,1,35,red,11195,0
0d4b80e6e9f0f9a6,1,36,blue,10415,0
0d4b80e6e9f0f9a6,1,37,red,2145,0
0d4b80e6e9f0f9a6,1,38,blue,10650,0
0d4b80e6e9f0f9a6,1,39,red,5294,0
0d4b80e6e9f0f9a6,1,40,blue,15848,0
0d4b80e6e9f0f9a6,2,1,red,9200,0
0d4b80e6e9f0f9a6,2,2,red,12476,0
0d4b80e6e9f0f9a6,2,3,red,4421,0
0d4b80e6e9f0f9a6,2,4,blue,2009,0
0d4b80e6e9f0f9a6,2,5,blue,1946,0
0d4b80e6e9f0f9a6,2,6,red,21869,0
0d4b80e6e9f0f9a6,2,7,red,34870,1
0d4b80e6e9f0f9a6,2,8,blue,6486,0
0d4b80e6e9f0f9a6,2,9,blue,7814,1
0d4b80e6e9f0f9a6,2,10,red,18955,0
0d4b80e6e9f0f9a6,2,11,blue,19883,1
0d4b80e6e9f0f9a6,2,12,red,5237,0
0d4b80e6e9f0f9a6,2,13,red,11314,0
0d4b80e6e9f0f9a6,2,14,red,6670,1
0d4b80e6e9f0f9a6,2,15,blue,7254,0
0d4b80e6e9f0f9a6,2,16,blue,3147,0
0d4b80e6e9f0f9a6,2,17,blue,1698,1
0d4b80e6e9f0f9a6,2,18,blue,2883,0
0d4b80e6e9f0f9a6,2,19,blue,14790,0
0d4b80e6e9f0f9a6,2,20,red,1810,0
0d4b80e6e9f0f9a6,2,21,red,4877,0
0d4b80e6e9f0f9a6,2,22,blue,6189,0
0d4b80e6e9f0f9a6,2,23,red,6790,0
0d4b80e6e9f0f9a6,2,24,blue,8720,1
0d4b80e6e9f0f9a6,2,25,red,9569,0
0d4b80e6e9f0f9a6,2,26,blue,11186,0
0d4b80e6e9f0f9a6,2,27,red,2346,1
0d4b80e6e9f0f9a6,2,28,blue,5397,0
0d4b80e6e9f0f9a6,2,29,blue,2619,1
0d4b80e6e9f0f9a6,2,30,blue,7999,0
0d4b80e6e9f0f9a6,2,31,red,13317,1
0d4b80e6e9f0f9a6,2,32,red,2682,0
0d4b80e6e9f0f9a6,2,33,red,14061,1
0d4b80e6e9f0f9a6,2,34,red,4109,0
0d4b80e6e9f0f9a6,2,35,red,1570,0
0d4b80e6e9f0f9a6,2,36,red,16351,1
0d4b80e6e9f0f9a6,2,37,blue,12517,0
0d4b80e6e9f0f9a6,2,38,red,7793,0
0d4b80e6e9f0f9a6,2,39,blue,8344,0
0d4b80e6e9f0f9a6,2,40,red,2546,1
0d4b80e6e9f0f9a6,3,1,red,2193,0
0d4b80e6e9f0f9a6,3,2,blue,19722,1
0d4b80e6e9f0f9a6,3,3,blue,3315,1
0d4b80e6e9f0f9a6,3,4,red,10305,1
0d4b80e6e9f0f9a6,3,5,red,4436,1
0d4b80e6e9f0f9a6,3,6,red,3155,0
