id,block,trial,color,rt,is_opt
1a6045f3c1898ef2,1,1,red,7117,1
1a6045f3c1898ef2,1,2,blue,12423,0
1a6045f3c1898ef2,1,3,red,2704,0
1a6045f3c1898ef2,1,4,blue,14992,0
1a6045f3c1898ef2,1,5,red,2323,0
1a6045f3c1898ef2,1,6,blue,4408,1
1a6045f3c1898ef2,1,7,red,17047,1
1a6045f3c1898ef2,1,8,blue,1674,0
1a6045f3c1898ef2,1,9,blue,14460,0
1a6045f3c1898ef2,1,10,blue,17915,0
1a6045f3c1898ef2,1,11,blue,12699,1
1a6045f3c1898ef2,1,12,blue,6189,1
1a6045f3c1898ef2,1,13,blue,16541,0
1a6045f3c1898ef2,1,14,blue,13224,1
1a6045f3c1898ef2,1,15,blue,5164,0
1a6045f3c1898ef2,1,16,red,7801,0
1a6045f3c1898ef2,1,17,blue,9065,1
1a6045f3c1898ef2,1,18,red,4230,0
1a6045f3c1898ef2,1,19,red,4915,1
1a6045f3c1898ef2,1,20,blue,6461,1
1a6045f3c1898ef2,1,21,blue,13290,0
1a6045f3c1898ef2,1,22,red,1961,1
1a6045f3c1898ef2,1,23,red,5717,1
1a6045f3c1898ef2,1,24,red,2660,1
1a6045f3c1898ef2,1,25,red,5970,0
1a6045f3c1898ef2,1,26,blue,11027,0
1a6045f3c1898ef2,1,27,red,15297,0
1a6045f3c1898ef2,1,28,blue,10259,1
1a6045f3c1898ef2,1,29,red,7941,0
1a6045f3c1898ef2,1,30,blue,11306,0
1a6045f3c1898ef2,1,31,blue,10783,0
1a6045f3c1898ef2,1,32,blue,6583,0
1a6045f3c1898ef2,1,33,blue,10906,1
1a6045f3c1898ef2,1,34,red,18347,1
1a6045f3c1898ef2,1,35,red,2874,0
1a6045f3c1898ef2,1,36,red,2646,0
1a6045f3c1898ef2,1,37,blue,5564,0
1a6045f3c1898ef2,1,38,blue,5475,1
1a6045f3c1898ef2,1,39,blue,12152,1
1a6045f3c1898ef2,1,40,red,3954,0
1a6045f3c1898ef2,2,1,red,4064,0
1a6045f3c1898ef2,2,2,blue,14909,0
1a6045f3c1898ef2,2,3,blue,2987,1
1a6045f3c1898ef2,2,4,red,5670,0
1a6045f3c1898ef2,2,5,red,5045,1
1a6045f3c1898ef2,2,6,blue,8157,0
1a6045f3c1898ef2,2,7,red,11433,0
1a6045f3c1898ef2,2,8,blue,10606,0
1a6045f3c1898ef2,2,9,red,4565,0
1a6045f3c1898ef2,2,10,red,7322,1
1a6045f3c1898ef2,2,11,red,2496,1
1a6045f3c1898ef2,2,12,blue,1762,0
1a6045f3c1898ef2,2,13,blue,6644,1
1a6045f3c1898ef2,2,14,red,7726,1
1a6045f3c1898ef2,2,15,blue,11193,1
1a6045f3c1898ef2,2,16,blue,10950,0
1a6045f3c1898ef2,2,17,blue,6457,0
1a6045f3c1898ef2,2,18,red,4151,0
1a6045f3c1898ef2,2,19,red,2430,1
1a6045f3c1898ef2,2,20,blue,1494,1
1a6045f3c1898ef2,2,21,blue,2248,1
1a6045f3c1898ef2,2,22,red,10421,1
1a6045f3c1898ef2,2,23,red,6326,0
1a6045f3c1898ef2,2,24,blue,4198,1
1a6045f3c1898ef2,2,25,red,2716,0
1a6045f3c1898ef2,2,26,red,1676,1
1a6045f3c1898ef2,2,27,blue,1743,1
1a6045f3c1898ef2,2,28,blue,4124,0
1a6045f3c1898ef2,2,29,red,9383,0
1a6045f3c1898ef2,2,30,blue,11969,0
1a6045f3c1898ef2,2,31,blue,4032,1
1a6045f3c1898ef2,2,32,red,3552,0
1a6045f3c1898ef2,2,33,red,22952,1
1a6045f3c1898ef2,2,34,blue,15264,0
1a6045f3c1898ef2,2,35,red,3905,0
1a6045f3c1898ef2,2,36,blue,6563,0
1a6045f3c1898ef2,2,37,red,7165,1
1a6045f3c1898ef2,2,38,blue,11735,1
1a6045f3c1898ef2,2,39,blue,11728,1
1a6045f3c1898ef2,2,40,red,3088,1
1a6045f3c1898ef2,3,1,red,5807,1
1a6045f3c1898ef2,3,2,blue,1550,1
1a6045f3c1898ef2,3,3,blue,5540,1
1a6045f3c1898ef2,3,4,red,2815,1
1a6045f3c1898ef2,3,5,red,3490,0
1a6045f3c1898ef2,3,6,red,1828,0
1a6045f3c1898ef2,3,7,red,4867,0
1a6045f3c1898ef2,3,8,blue,2045,0
1a6045f3c1898ef2,3,9,blue,9622,0
1a6045f3c1898ef2,3,10,blue,4895,0
1a6045f3c1898ef2,3,11,blue,12922,1
1a6045f3c1898ef2,3,12,red,2244,1
1a6045f3c1898ef2,3,13,blue,6714,1
1a6045f3c1898ef2,3,14,blue,3262,0
1a6045f3c1898ef2,3,15,red,10148,0
1a6045f3c1898ef2,3,16,blue,8261,1
1a6045f3c1898ef2,3,17,red,1809,1
1a6045f3c1898ef2,3,18,red,10961,0
1a6045f3c1898ef2,3,19,red,3002,1
1a6045f3c1898ef2,3,20,red,12254,1
1a6045f3c1898ef2,3,21,blue,2504,0
1a6045f3c1898ef2,3,22,blue,3168,0
1a6045f3c1898ef2,3,23,red,6921,0
1a6045f3c1898ef2,3,24,red,5814,1
1a6045f3c1898ef2,3,25,blue,7043,1
1a6045f3c1898ef2,3,26,blue,5208,1
1a6045f3c1898ef2,3,27,blue,12265,0
1a6045f3c1898ef2,3,28,red,4401,0
1a6045f3c1898ef2,3,29,red,12170,0
1a6045f3c1898ef2,3,30,red,5345,0
1a6045f3c1898ef2,3,31,blue,13861,0
1a6045f3c1898ef2,3,32,blue,4829,1
1a6045f3c1898ef2,3,33,red,9605,0
1a6045f3c1898ef2,3,34,blue,8629,0
1a6045f3c1898ef2,3,35,blue,2648,0
1a6045f3c1898ef2,3,36,blue,5482,1
1a6045f3c1898ef2,3,37,blue,9874,1
1a6045f3c1898ef2,3,38,blue,6112,0
1a6045f3c1898ef2,3,39,red,12284,1
1a6045f3c1898ef2,3,40,blue,14447,0
