id,block,trial,color,rt,is_opt
3c9e1ab68d22c5f2,1,1,red,10502,1
3c9e1ab68d22c5f2,1,2,blue,8318,1
3c9e1ab68d22c5f2,1,3,blue,4919,0
3c9e1ab68d22c5f2,1,4,blue,2491,1
3c9e1ab68d22c5f2,1,5,red,11649,1
3c9e1ab68d22c5f2,1,6,red,6531,0
3c9e1ab68d22c5f2,1,7,blue,2153,0
3c9e1ab68d22c5f2,1,8,red,20363,1
3c9e1ab68d22c5f2,1,9,blue,10970,0
3c9e1ab68d22c5f2,1,10,blue,4029,1
3c9e1ab68d22c5f2,1,11,red,12680,0
3c9e1ab68d22c5f2,1,12,red,7721,1
3c9e1ab68d22c5f2,1,13,blue,16688,0
3c9e1ab68d22c5f2,1,14,blue,11139,0
3c9e1ab68d22c5f2,1,15,blue,9293,0
3c9e1ab68d22c5f2,1,16,red,14367,0
3c9e1ab68d22c5f2,1,17,red,9858,0
3c9e1ab68d22c5f2,1,18,red,1763,1
3c9e1ab68d22c5f2,1,19,red,2841,1
3c9e1ab68d22c5f2,1,20,red,6161,1
3c9e1ab68d22c5f2,1,21,blue,6053,0
3c9e1ab68d22c5f2,1,22,red,4286,0
3c9e1ab68d22c5f2,1,23,red,5372,0
3c9e1ab68d22c5f2,1,24,blue,8420,1
3c9e1ab68d22c5f2,1,25,red,11441,0
3c9e1ab68d22c5f2,1,26,red,7269,1
3c9e1ab68d22c5f2,1,27,red,7806,0
3c9e1ab68d22c5f2,1,28,red,3908,1
3c9e1ab68d22c5f2,1,29,red,2496,0
3c9e1ab68d22c5f2,1,30,red,9488,0
3c9e1ab68d22c5f2,1,31,red,8205,1
3c9e1ab68d22c5f2,1,32,blue,9638,1
3c9e1ab68d22c5f2,1,33,red,5251,0
3c9e1ab68d22c5f2,1,34,red,2150,0
3c9e1ab68d22c5f2,1,35,blue,1409,1
3c9e1ab68d22c5f2,1,36,red,7579,1
3c9e1ab68d22c5f2,1,37,red,3100,0
3c9e1ab68d22c5f2,1,38,red,6069,1
3c9e1ab68d22c5f2,1,39,red,7777,1
3c9e1ab68d22c5f2,1,40,red,2743,0
3c9e1ab68d22c5f2,2,1,red,12626,1
3c9e1ab68d22c5f2,2,2,red,10447,1
3c9e1ab68d22c5f2,2,3,blue,2452,1
3c9e1ab68d22c5f2,2,4,blue,5267,0
3c9e1ab68d22c5f2,2,5,red,2531,1
3c9e1ab68d22c5f2,2,6,blue,3406,0
3c9e1ab68d22c5f2,2,7,red,5116,0
3c9e1ab68d22c5f2,2,8,red,15729,0
3c9e1ab68d22c5f2,2,9,red,8640,0
3c9e1ab68d22c5f2,2,10,red,3774,1
3c9e1ab68d22c5f2,2,11,blue,16901,0
3c9e1ab68d22c5f2,2,12,red,11504,0
3c9e1ab68d22c5f2,2,13,blue,5190,1
3c9e1ab68d22c5f2,2,14,blue,4246,1
3c9e1ab68d22c5f2,2,15,blue,7456,1
3c9e1ab68d22c5f2,2,16,red,18266,1
3c9e1ab68d22c5f2,2,17,red,18075,0
3c9e1ab68d22c5f2,2,18,blue,12191,0
3c9e1ab68d22c5f2,2,19,blue,9117,0
3c9e1ab68d22c5f2,2,20,blue,11247,0
3c9e1ab68d22c5f2,2,21,blue,3014,1
3c9e1ab68d22c5f2,2,22,blue,2100,0
3c9e1ab68d22c5f2,2,23,blue,10151,1
3c9e1ab68d22c5f2,2,24,blue,4693,1
3c9e1ab68d22c5f2,2,25,blue,2566,0
