id,block,trial,color,rt,is_opt
3f0bc9c963326e18,1,1,blue,2380,0
3f0bc9c963326e18,1,2,blue,6012,1
3f0bc9c963326e18,1,3,blue,2906,0
3f0bc9c963326e18,1,4,blue,6932,1
3f0bc9c963326e18,1,5,blue,15388,1
3f0bc9c963326e18,1,6,blue,17642,0
3f0bc9c963326e18,1,7,blue,3737,0
3f0bc9c963326e18,1,8,blue,17090,0
3f0bc9c963326e18,1,9,blue,7986,0
3f0bc9c963326e18,1,10,red,3876,0
3f0bc9c963326e18,1,11,red,1740,0
3f0bc9c963326e18,1,12,blue,3045,0
3f0bc9c963326e18,1,13,blue,9084,1
3f0bc9c963326e18,1,14,red,3471,1
3f0bc9c963326e18,1,15,red,5757,0
3f0bc9c963326e18,1,16,red,8135,1
3f0bc9c963326e18,1,17,red,8027,0
3f0bc9c963326e18,1,18,red,9657,0
3f0bc9c963326e18,1,19,blue,7715,1
3f0bc9c963326e18,1,20,blue,9150,0
3f0bc9c963326e18,1,21,red,11513,0
3f0bc9c963326e18,1,22,red,12437,1
3f0bc9c963326e18,1,23,blue,5095,1
3f0bc9c963326e18,1,24,blue,12028,1
3f0bc9c963326e18,1,25,red,4266,1
3f0bc9c963326e18,1,26,red,17841,0
3f0bc9c963326e18,1,27,blue,9242,1
3f0bc9c963326e18,1,28,blue,3836,0
3f0bc9c963326e18,1,29,blue,5689,1
3f0bc9c963326e18,1,30,blue,8566,0
3f0bc9c963326e18,1,31,blue,4816,1
3f0bc9c963326e18,1,32,blue,4354,0
3f0bc9c963326e18,1,33,blue,4949,0
3f0bc9c963326e18,1,34,blue,3403,0
3f0bc9c963326e18,1,35,blue,6749,1
3f0bc9c963326e18,1,36,blue,2195,0
3f0bc9c963326e18,1,37,blue,7124,1
3f0bc9c963326e18,1,38,blue,3018,0
3f0bc9c963326e18,1,39,blue,8778,0
3f0bc9c963326e18,1,40,blue,2132,1
3f0bc9c963326e18,2,1,blue,2978,1
3f0bc9c963326e18,2,2,blue,25215,0
3f0bc9c963326e18,2,3,blue,10839,0
3f0bc9c963326e18,2,4,blue,4448,1
3f0bc9c963326e18,2,5,red,9530,1
3f0bc9c963326e18,2,6,red,1931,1
3f0bc9c963326e18,2,7,blue,4230,1
3f0bc9c963326e18,2,8,blue,7313,1
3f0bc9c963326e18,2,9,blue,5908,1
3f0bc9c963326e18,2,10,blue,6422,1
3f0bc9c963326e18,2,11,red,3586,1
3f0bc9c963326e18,2,12,blue,5809,1
3f0bc9c963326e18,2,13,red,6201,1
3f0bc9c963326e18,2,14,blue,4508,1
3f0bc9c963326e18,2,15,red,7491,1
3f0bc9c963326e18,2,16,red,3358,1
3f0bc9c963326e18,2,17,blue,2452,1
3f0bc9c963326e18,2,18,blue,4720,1
3f0bc9c963326e18,2,19,blue,2540,1
3f0bc9c963326e18,2,20,blue,3654,1
3f0bc9c963326e18,2,21,red,5997,1
3f0bc9c963326e18,2,22,blue,2248,1
3f0bc9c963326e18,2,23,red,5424,1
3f0bc9c963326e18,2,24,red,6695,1
3f0bc9c963326e18,2,25,red,6149,1
3f0bc9c963326e18,2,26,red,3548,1
3f0bc9c963326e18,2,27,blue,3912,1
3f0bc9c963326e18,2,28,blue,5956,1
3f0bc9c963326e18,2,29,blue,1560,1
3f0bc9c963326e18,2,30,red,1704,1
3f0bc9c963326e18,2,31,blue,7860,0
3f0bc9c963326e18,2,32,blue,3655,1
3f0bc9c963326e18,2,33,red,7317,1
3f0bc9c963326e18,2,34,blue,2494,1
3f0bc9c963326e18,2,35,red,2826,1
3f0bc9c963326e18,2,36,red,2434,1
3f0bc9c963326e18,2,37,red,4322,1
3f0bc9c963326e18,2,38,blue,5840,1
3f0bc9c963326e18,2,39,red,3604,1
3f0bc9c963326e18,2,40,blue,9483,1
3f0bc9c963326e18,3,1,blue,7640,0
3f0bc9c963326e18,3,2,blue,2106,1
3f0bc9c963326e18,3,3,red,9038,1
