id,block,trial,color,rt,is_opt
6a191d779b812f4a,1,1,blue,12093,0
6a191d779b812f4a,1,2,red,1482,0
6a191d779b812f4a,1,3,red,14083,0
6a191d779b812f4a,1,4,red,1725,0
6a191d779b812f4a,1,5,blue,14135,0
6a191d779b812f4a,1,6,red,7118,1
6a191d779b812f4a,1,7,blue,3070,0
6a191d779b812f4a,1,8,blue,8972,0
6a191d779b812f4a,1,9,blue,5455,1
6a191d779b812f4a,1,10,blue,11461,1
6a191d779b812f4a,1,11,red,2444,0
6a191d779b812f4a,1,12,blue,7813,0
6a191d779b812f4a,1,13,blue,5090,1
6a191d779b812f4a,1,14,blue,5291,0
6a191d779b812f4a,1,15,red,21709,1
6a191d779b812f4a,1,16,red,4245,0
6a191d779b812f4a,1,17,red,15962,0
6a191d779b812f4a,1,18,red,12410,0
6a191d779b812f4a,1,19,red,7555,1
6a191d779b812f4a,1,20,blue,20567,0
6a191d779b812f4a,1,21,blue,21811,0
6a191d779b812f4a,1,22,red,1917,0
6a191d779b812f4a,1,23,red,9086,1
6a191d779b812f4a,1,24,blue,5659,0
6a191d779b812f4a,1,25,red,6236,0
6a191d779b812f4a,1,26,blue,6848,1
6a191d779b812f4a,1,27,red,6655,0
6a191d779b812f4a,1,28,red,9042,0
6a191d779b812f4a,1,29,red,4497,1
6a191d779b812f4a,1,30,red,4156,0
6a191d779b812f4a,1,31,red,17852,0
6a191d779b812f4a,1,32,red,18842,1
6a191d779b812f4a,1,33,red,13538,1
6a191d779b812f4a,1,34,blue,12236,0
6a191d779b812f4a,1,35,red,14426,1
6a191d779b812f4a,1,36,red,10238,0
6a191d779b812f4a,1,37,blue,22370,1
6a191d779b812f4a,1,38,blue,2532,0
6a191d779b812f4a,1,39,blue,4592,0
6a191d779b812f4a,1,40,blue,8596,1
6a191d779b812f4a,2,1,blue,2444,1
6a191d779b812f4a,2,2,blue,6990,0
6a191d779b812f4a,2,3,red,16284,0
6a191d779b812f4a,2,4,red,1154,1
6a191d779b812f4a,2,5,blue,1854,0
6a191d779b812f4a,2,6,red,11654,0
6a191d779b812f4a,2,7,red,14385,1
6a191d779b812f4a,2,8,blue,2337,0
6a191d779b812f4a,2,9,blue,8805,1
6a191d779b812f4a,2,10,blue,15751,0
6a191d779b812f4a,2,11,red,10074,0
6a191d779b812f4a,2,12,blue,11485,1
6a191d779b812f4a,2,13,blue,7190,0
6a191d779b812f4a,2,14,blue,4730,1
6a191d779b812f4a,2,15,red,4405,1
6a191d779b812f4a,2,16,blue,9721,1
6a191d779b812f4a,2,17,red,4472,1
6a191d779b812f4a,2,18,red,20366,1
6a191d779b812f4a,2,19,red,7219,1
6a191d779b812f4a,2,20,blue,13228,0
6a191d779b812f4a,2,21,red,9625,0
6a191d779b812f4a,2,22,blue,15431,1
6a191d779b812f4a,2,23,red,9163,0
6a191d779b812f4a,2,24,blue,12037,0
6a191d779b812f4a,2,25,blue,6209,1
6a191d779b812f4a,2,26,blue,22024,0
6a191d779b812f4a,2,27,red,16883,0
6a191d779b812f4a,2,28,blue,2898,0
6a191d779b812f4a,2,29,red,14393,0
6a191d779b812f4a,2,30,red,19920,0
6a191d779b812f4a,2,31,blue,15031,0
6a191d779b812f4a,2,32,red,8073,0
6a191d779b812f4a,2,33,blue,11652,0
6a191d779b812f4a,2,34,blue,9173,1
6a191d779b812f4a,2,35,red,13830,1
6a191d779b812f4a,2,36,blue,14676,0
6a191d779b812f4a,2,37,red,8934,0
6a191d779b812f4a,2,38,red,11552,0
6a191d779b812f4a,2,39,red,4154,1
6a191d779b812f4a,2,40,blue,7623,1
6a191d779b812f4a,3,1,blue,13837,0
6a191d779b812f4a,3,2,red,3282,1
6a191d779b812f4a,3,3,blue,2499,1
6a191d779b812f4a,3,4,red,14844,0
6a191d779b812f4a,3,5,blue,11248,1
6a191d779b812f4a,3,6,blue,6989,0
6a191d779b812f4a,3,7,red,16572,1
6a191d779b812f4a,3,8,red,15707,1
6a191d779b812f4a,3,9,blue,8942,1
6a191d779b812f4a,3,10,red,4686,1
6a191d779b812f4a,3,11,red,3748,0
6a191d779b812f4a,3,12,red,10735,0
6a191d779b812f4a,3,13,blue,13694,0
6a191d779b812f4a,3,14,blue,21060,1
6a191d779b812f4a,3,15,red,16669,0
6a191d779b812f4a,3,16,blue,5989,0
6a191d779b812f4a,3,17,blue,2700,1
6a191d779b812f4a,3,18,blue,1516,1
6a191d779b812f4a,3,19,blue,5129,1
6a191d779b812f4a,3,20,blue,9573,0
6a191d779b812f4a,3,21,red,12217,0
6a191d779b812f4a,3,22,blue,6005,1
6a191d779b812f4a,3,23,blue,3815,0
6a191d779b812f4a,3,24,red,3392,1
6a191d779b812f4a,3,25,red,6005,1
6a191d779b812f4a,3,26,blue,14249,1
6a191d779b812f4a,3,27,blue,9721,0
6a191d779b812f4a,3,28,blue,14856,0
6a191d779b812f4a,3,29,red,12754,0
6a191d779b812f4a,3,30,blue,9618,1
6a191d779b812f4a,3,31,blue,13309,0
6a191d779b812f4a,3,32,blue,21613,0
6a191d779b812f4a,3,33,blue,11406,0
6a191d779b812f4a,3,34,red,2977,0
6a191d779b812f4a,3,35,blue,8956,0
6a191d779b812f4a,3,36,red,5711,1
6a191d779b812f4a,3,37,red,2565,1
6a191d779b812f4a,3,38,blue,1379,1
6a191d779b812f4a,3,39,blue,2529,1
6a191d779b812f4a,3,40,blue,8390,1
