id,block,trial,color,rt,is_opt
771f510ee2f17b57,1,1,red,22280,1
771f510ee2f17b57,1,2,red,20961,1
771f510ee2f17b57,1,3,blue,11694,0
771f510ee2f17b57,1,4,red,3429,0
771f510ee2f17b57,1,5,blue,12648,0
771f510ee2f17b57,1,6,blue,21602,1
771f510ee2f17b57,1,7,red,5887,1
771f510ee2f17b57,1,8,red,7643,0
771f510ee2f17b57,1,9,blue,9073,0
771f510ee2f17b57,1,10,red,12212,1
771f510ee2f17b57,1,11,red,11088,1
771f510ee2f17b57,1,12,red,3421,0
771f510ee2f17b57,1,13,red,13521,1
771f510ee2f17b57,1,14,red,3873,0
771f510ee2f17b57,1,15,blue,9956,0
771f510ee2f17b57,1,16,blue,17193,0
771f510ee2f17b57,1,17,red,13174,0
771f510ee2f17b57,1,18,blue,11524,0
771f510ee2f17b57,1,19,red,6600,1
771f510ee2f17b57,1,20,blue,13991,1
771f510ee2f17b57,1,21,blue,9835,0
771f510ee2f17b57,1,22,red,7667,0
771f510ee2f17b57,1,23,blue,38812,0
771f510ee2f17b57,1,24,blue,2045,1
771f510ee2f17b57,1,25,red,7464,0
771f510ee2f17b57,1,26,red,19363,0
771f510ee2f17b57,1,27,blue,15415,0
771f510ee2f17b57,1,28,blue,7756,1
771f510ee2f17b57,1,29,red,16425,0
771f510ee2f17b57,1,30,blue,15091,1
771f510ee2f17b57,1,31,red,8458,1
771f510ee2f17b57,1,32,blue,20355,1
771f510ee2f17b57,1,33,red,16927,0
771f510ee2f17b57,1,34,red,16531,0
771f510ee2f17b57,1,35,red,9252,0
771f510ee2f17b57,1,36,blue,6430,0
771f510ee2f17b57,1,37,blue,10027,1
771f510ee2f17b57,1,38,blue,12466,1
771f510ee2f17b57,1,39,red,9139,1
771f510ee2f17b57,1,40,blue,11395,0
771f510ee2f17b57,2,1,red,10028,0
771f510ee2f17b57,2,2,blue,12083,0
771f510ee2f17b57,2,3,red,8847,0
771f510ee2f17b57,2,4,blue,24916,0
771f510ee2f17b57,2,5,blue,12769,0
771f510ee2f17b57,2,6,red,22694,1
771f510ee2f17b57,2,7,blue,9827,0
771f510ee2f17b57,2,8,red,5620,1
771f510ee2f17b57,2,9,red,28962,1
771f510ee2f17b57,2,10,red,11969,0
771f510ee2f17b57,2,11,blue,13748,0
771f510ee2f17b57,2,12,red,4512,0
771f510ee2f17b57,2,13,red,18925,0
771f510ee2f17b57,2,14,red,3081,0
771f510ee2f17b57,2,15,blue,9271,0
771f510ee2f17b57,2,16,blue,5749,1
771f510ee2f17b57,2,17,blue,10400,1
771f510ee2f17b57,2,18,blue,14849,0
771f510ee2f17b57,2,19,red,3065,1
771f510ee2f17b57,2,20,blue,12462,1
771f510ee2f17b57,2,21,blue,18146,1
771f510ee2f17b57,2,22,red,4681,0
771f510ee2f17b57,2,23,blue,3728,0
771f510ee2f17b57,2,24,red,3574,0
771f510ee2f17b57,2,25,blue,17595,1
771f510ee2f17b57,2,26,blue,22715,1
771f510ee2f17b57,2,27,blue,9218,0
771f510ee2f17b57,2,28,blue,15024,1
771f510ee2f17b57,2,29,red,6130,1
771f510ee2f17b57,2,30,blue,2611,0
771f510ee2f17b57,2,31,red,17459,1
771f510ee2f17b57,2,32,blue,2053,0
771f510ee2f17b57,2,33,blue,18339,1
771f510ee2f17b57,2,34,blue,3688,1
771f510ee2f17b57,2,35,red,6437,1
771f510ee2f17b57,2,36,blue,5944,0
771f510ee2f17b57,2,37,red,4763,0
771f510ee2f17b57,2,38,red,3631,0
771f510ee2f17b57,2,39,red,23265,0
771f510ee2f17b57,2,40,blue,10585,0
771f510ee2f17b57,3,1,blue,9105,1
771f510ee2f17b57,3,2,blue,3808,0
771f510ee2f17b57,3,3,blue,1722,0
771f510ee2f17b57,3,4,red,9396,1
771f510ee2f17b57,3,5,red,2951,1
771f510ee2f17b57,3,6,red,7552,0
771f510ee2f17b57,3,7,red,17062,0
771f510ee2f17b57,3,8,blue,18712,0
771f510ee2f17b57,3,9,red,10327,0
771f510ee2f17b57,3,10,red,8062,1
771f510ee2f17b57,3,11,red,9793,0
771f510ee2f17b57,3,12,blue,26718,0
771f510ee2f17b57,3,13,blue,3962,1
771f510ee2f17b57,3,14,red,11669,1
771f510ee2f17b57,3,15,blue,17556,0
771f510ee2f17b57,3,16,red,7423,0
771f510ee2f17b57,3,17,blue,2369,0
771f510ee2f17b57,3,18,red,9980,0
771f510ee2f17b57,3,19,red,10229,0
771f510ee2f17b57,3,20,blue,13747,1
771f510ee2f17b57,3,21,blue,4108,0
771f510ee2f17b57,3,22,red,6896,0
771f510ee2f17b57,3,23,red,3145,1
771f510ee2f17b57,3,24,blue,1884,0
771f510ee2f17b57,3,25,red,16294,1
771f510ee2f17b57,3,26,blue,3502,0
771f510ee2f17b57,3,27,red,8062,1
771f510ee2f17b57,3,28,red,11370,1
771f510ee2f17b57,3,29,blue,22845,1
771f510ee2f17b57,3,30,red,16586,0
771f510ee2f17b57,3,31,red,2993,0
771f510ee2f17b57,3,32,blue,7828,0
771f510ee2f17b57,3,33,red,8095,0
771f510ee2f17b57,3,34,blue,4302,1
771f510ee2f17b57,3,35,blue,6801,0
771f510ee2f17b57,3,36,blue,10746,0
771f510ee2f17b57,3,37,blue,10068,1
771f510ee2f17b57,3,38,red,2694,0
771f510ee2f17b57,3,39,red,14637,0
771f510ee2f17b57,3,40,red,10690,0
