id,block,trial,color,rt,is_opt
9dcab74d9d252c9f,1,1,red,8459,1
9dcab74d9d252c9f,1,2,red,2086,0
9dcab74d9d252c9f,1,3,blue,7262,1
9dcab74d9d252c9f,1,4,red,13491,1
9dcab74d9d252c9f,1,5,red,13387,0
9dcab74d9d252c9f,1,6,blue,2371,0
9dcab74d9d252c9f,1,7,blue,5032,0
9dcab74d9d252c9f,1,8,blue,4692,0
9dcab74d9d252c9f,1,9,blue,6108,1
9dcab74d9d252c9f,1,10,red,6603,0
9dcab74d9d252c9f,1,11,blue,5998,0
9dcab74d9d252c9f,1,12,blue,9006,1
9dcab74d9d252c9f,1,13,blue,3884,1
9dcab74d9d252c9f,1,14,red,7502,1
9dcab74d9d252c9f,1,15,blue,14270,1
9dcab74d9d252c9f,1,16,red,9645,1
9dcab74d9d252c9f,1,17,blue,2711,0
9dcab74d9d252c9f,1,18,red,6123,1
9dcab74d9d252c9f,1,19,red,8361,1
9dcab74d9d252c9f,1,20,red,3786,0
9dcab74d9d252c9f,1,21,red,10199,0
9dcab74d9d252c9f,1,22,blue,7378,0
9dcab74d9d252c9f,1,23,red,1749,0
9dcab74d9d252c9f,1,24,blue,8861,1
9dcab74d9d252c9f,1,25,red,4359,1
9dcab74d9d252c9f,1,26,red,8347,0
9dcab74d9d252c9f,1,27,blue,9460,0
9dcab74d9d252c9f,1,28,blue,1863,0
9dcab74d9d252c9f,1,29,blue,15367,1
9dcab74d9d252c9f,1,30,red,7745,1
9dcab74d9d252c9f,1,31,red,8431,0
9dcab74d9d252c9f,1,32,red,6618,0
9dcab74d9d252c9f,1,33,blue,2943,0
9dcab74d9d252c9f,1,34,blue,9035,0
9dcab74d9d252c9f,1,35,red,6666,0
9dcab74d9d252c9f,1,36,blue,4035,0
9dcab74d9d252c9f,1,37,blue,13308,1
9dcab74d9d252c9f,1,38,red,2085,0
9dcab74d9d252c9f,1,39,blue,7145,1
9dcab74d9d252c9f,1,40,blue,3422,0
9dcab74d9d252c9f,2,1,blue,9644,1
9dcab74d9d252c9f,2,2,blue,5171,1
9dcab74d9d252c9f,2,3,red,5244,1
9dcab74d9d252c9f,2,4,blue,1733,0
9dcab74d9d252c9f,2,5,blue,4881,0
9dcab74d9d252c9f,2,6,red,3402,0
9dcab74d9d252c9f,2,7,blue,7754,0
9dcab74d9d252c9f,2,8,blue,2487,0
9dcab74d9d252c9f,2,9,blue,1121,0
9dcab74d9d252c9f,2,10,red,957,1
9dcab74d9d252c9f,2,11,red,5520,1
9dcab74d9d252c9f,2,12,blue,5061,1
9dcab74d9d252c9f,2,13,blue,6648,1
9dcab74d9d252c9f,2,14,blue,1454,0
9dcab74d9d252c9f,2,15,blue,12996,1
9dcab74d9d252c9f,2,16,blue,12992,1
9dcab74d9d252c9f,2,17,red,3973,0
9dcab74d9d252c9f,2,18,blue,4269,0
9dcab74d9d252c9f,2,19,red,6800,0
9dcab74d9d252c9f,2,20,blue,2644,0
9dcab74d9d252c9f,2,21,blue,11266,1
9dcab74d9d252c9f,2,22,blue,3174,0
