id,block,trial,color,rt,is_opt
a256ef72e83a2c58,1,1,red,5349,0
a256ef72e83a2c58,1,2,red,8276,0
a256ef72e83a2c58,1,3,blue,16595,0
a256ef72e83a2c58,1,4,blue,4605,0
a256ef72e83a2c58,1,5,red,2084,0
a256ef72e83a2c58,1,6,red,4646,1
a256ef72e83a2c58,1,7,red,4033,1
a256ef72e83a2c58,1,8,red,10493,0
a256ef72e83a2c58,1,9,red,17771,1
a256ef72e83a2c58,1,10,red,12687,0
a256ef72e83a2c58,1,11,blue,12560,0
a256ef72e83a2c58,1,12,blue,1949,0
a256ef72e83a2c58,1,13,red,15146,1
a256ef72e83a2c58,1,14,blue,7738,0
a256ef72e83a2c58,1,15,red,5289,0
a256ef72e83a2c58,1,16,blue,3802,0
a256ef72e83a2c58,1,17,red,10452,0
a256ef72e83a2c58,1,18,red,4510,0
a256ef72e83a2c58,1,19,blue,6516,1
a256ef72e83a2c58,1,20,red,12233,0
a256ef72e83a2c58,1,21,blue,12806,0
a256ef72e83a2c58,1,22,blue,5409,0
a256ef72e83a2c58,1,23,blue,3675,1
a256ef72e83a2c58,1,24,red,11732,1
a256ef72e83a2c58,1,25,blue,8750,1
a256ef72e83a2c58,1,26,red,13370,0
a256ef72e83a2c58,1,27,blue,2268,1
a256ef72e83a2c58,1,28,blue,6529,0
a256ef72e83a2c58,1,29,blue,5241,1
a256ef72e83a2c58,1,30,blue,15486,0
a256ef72e83a2c58,1,31,blue,12297,0
a256ef72e83a2c58,1,32,blue,8040,1
a256ef72e83a2c58,1,33,blue,12416,1
a256ef72e83a2c58,1,34,red,13449,0
a256ef72e83a2c58,1,35,red,12207,0
a256ef72e83a2c58,1,36,red,11912,1
a256ef72e83a2c58,1,37,red,10338,1
a256ef72e83a2c58,1,38,red,4128,1
a256ef72e83a2c58,1,39,red,12201,1
a256ef72e83a2c58,1,40,red,3554,0
a256ef72e83a2c58,2,1,red,14006,1
a256ef72e83a2c58,2,2,blue,14322,1
a256ef72e83a2c58,2,3,red,16581,0
a256ef72e83a2c58,2,4,blue,7157,0
a256ef72e83a2c58,2,5,red,4741,0
a256ef72e83a2c58,2,6,red,9043,1
a256ef72e83a2c58,2,7,blue,13203,1
a256ef72e83a2c58,2,8,red,7675,1
a256ef72e83a2c58,2,9,blue,9193,0
a256ef72e83a2c58,2,10,blue,16292,0
a256ef72e83a2c58,2,11,red,11847,1
a256ef72e83a2c58,2,12,red,6036,1
a256ef72e83a2c58,2,13,blue,9900,0
a256ef72e83a2c58,2,14,red,10767,0
a256ef72e83a2c58,2,15,blue,7787,0
a256ef72e83a2c58,2,16,red,3077,0
a256ef72e83a2c58,2,17,red,11865,0
a256ef72e83a2c58,2,18,blue,11702,0
a256ef72e83a2c58,2,19,blue,3211,1
a256ef72e83a2c58,2,20,blue,10982,0
a256ef72e83a2c58,2,21,red,4173,0
a256ef72e83a2c58,2,22,blue,11365,1
a256ef72e83a2c58,2,23,blue,8971,0
a256ef72e83a2c58,2,24,blue,3346,0
a256ef72e83a2c58,2,25,blue,6219,1
a256ef72e83a2c58,2,26,red,12206,0
a256ef72e83a2c58,2,27,blue,2981,0
a256ef72e83a2c58,2,28,red,4093,0
a256ef72e83a2c58,2,29,red,12396,0
a256ef72e83a2c58,2,30,red,11448,0
a256ef72e83a2c58,2,31,red,3188,0
a256ef72e83a2c58,2,32,red,5303,0
a256ef72e83a2c58,2,33,blue,6098,0
a256ef72e83a2c58,2,34,blue,7426,0
a256ef72e83a2c58,2,35,blue,9191,0
a256ef72e83a2c58,2,36,red,8688,0
a256ef72e83a2c58,2,37,blue,9405,1
a256ef72e83a2c58,2,38,blue,10787,0
a256ef72e83a2c58,2,39,blue,8768,0
a256ef72e83a2c58,2,40,red,17992,0
a256ef72e83a2c58,3,1,blue,7994,0
a256ef72e83a2c58,3,2,blue,12320,1
a256ef72e83a2c58,3,3,red,6608,0
a256ef72e83a2c58,3,4,red,3268,0
a256ef72e83a2c58,3,5,blue,12246,0
a256ef72e83a2c58,3,6,blue,5955,1
a256ef72e83a2c58,3,7,red,5947,1
a256ef72e83a2c58,3,8,blue,2331,0
a256ef72e83a2c58,3,9,red,10924,1
a256ef72e83a2c58,3,10,red,2877,0
a256ef72e83a2c58,3,11,red,5120,0
a256ef72e83a2c58,3,12,blue,13031,1
a256ef72e83a2c58,3,13,blue,7536,1
a256ef72e83a2c58,3,14,blue,4795,0
a256ef72e83a2c58,3,15,blue,10733,0
a256ef72e83a2c58,3,16,red,3840,0
a256ef72e83a2c58,3,17,red,2337,0
a256ef72e83a2c58,3,18,blue,8683,0
a256ef72e83a2c58,3,19,red,9541,0
a256ef72e83a2c58,3,20,red,6320,1
a256ef72e83a2c58,3,21,blue,12233,0
a256ef72e83a2c58,3,22,red,5014,1
a256ef72e83a2c58,3,23,blue,3568,0
a256ef72e83a2c58,3,24,red,10382,0
a256ef72e83a2c58,3,25,red,5262,0
a256ef72e83a2c58,3,26,blue,7121,1
a256ef72e83a2c58,3,27,blue,4937,0
a256ef72e83a2c58,3,28,red,4588,1
a256ef72e83a2c58,3,29,blue,12227,0
a256ef72e83a2c58,3,30,blue,6439,1
a256ef72e83a2c58,3,31,blue,11510,1
a256ef72e83a2c58,3,32,red,3060,0
a256ef72e83a2c58,3,33,blue,2294,0
a256ef72e83a2c58,3,34,red,4094,1
a256ef72e83a2c58,3,35,red,15045,1
a256ef72e83a2c58,3,36,red,8290,0
a256ef72e83a2c58,3,37,blue,8077,0
a256ef72e83a2c58,3,38,blue,1725,0
a256ef72e83a2c58,3,39,red,3864,0
a256ef72e83a2c58,3,40,red,1494,0
