id,block,trial,color,rt,is_opt
c6bcb578a0e6d501,1,1,red,19817,0
c6bcb578a0e6d501,1,2,red,23120,1
c6bcb578a0e6d501,1,3,blue,9121,0
c6bcb578a0e6d501,1,4,blue,7152,0
c6bcb578a0e6d501,1,5,red,6558,0
c6bcb578a0e6d501,1,6,red,15475,1
c6bcb578a0e6d501,1,7,blue,14786,1
c6bcb578a0e6d501,1,8,blue,32122,1
c6bcb578a0e6d501,1,9,red,27149,0
c6bcb578a0e6d501,1,10,blue,4183,1
c6bcb578a0e6d501,1,11,red,22488,0
c6bcb578a0e6d501,1,12,blue,4497,0
c6bcb578a0e6d501,1,13,blue,37341,0
c6bcb578a0e6d501,1,14,blue,28779,0
c6bcb578a0e6d501,1,15,red,1449,0
c6bcb578a0e6d501,1,16,blue,8929,1
c6bcb578a0e6d501,1,17,blue,12649,0
c6bcb578a0e6d501,1,18,blue,71868,1
c6bcb578a0e6d501,1,19,blue,9202,0
c6bcb578a0e6d501,1,20,blue,33994,0
c6bcb578a0e6d501,1,21,red,5417,1
c6bcb578a0e6d501,1,22,blue,20726,0
c6bcb578a0e6d501,1,23,blue,65731,0
c6bcb578a0e6d501,1,24,red,7879,0
c6bcb578a0e6d501,1,25,red,50174,1
c6bcb578a0e6d501,1,26,blue,14409,1
c6bcb578a0e6d501,1,27,blue,33227,0
c6bcb578a0e6d501,1,28,red,1482,0
c6bcb578a0e6d501,1,29,red,16430,1
c6bcb578a0e6d501,1,30,blue,40262,0
c6bcb578a0e6d501,1,31,red,10609,0
c6bcb578a0e6d501,1,32,blue,106822,1
c6bcb578a0e6d501,1,33,blue,87721,1
c6bcb578a0e6d501,1,34,blue,212237,1
c6bcb578a0e6d501,1,35,red,4521,1
c6bcb578a0e6d501,1,36,red,8127,0
c6bcb578a0e6d501,1,37,blue,8712,0
c6bcb578a0e6d501,1,38,red,55084,0
c6bcb578a0e6d501,1,39,red,44722,0
c6bcb578a0e6d501,1,40,blue,37790,0
c6bcb578a0e6d501,2,1,red,9120,1
c6bcb578a0e6d501,2,2,red,25231,1
c6bcb578a0e6d501,2,3,red,22833,1
c6bcb578a0e6d501,2,4,red,6562,1
c6bcb578a0e6d501,2,5,red,13257,0
c6bcb578a0e6d501,2,6,blue,24283,1
c6bcb578a0e6d501,2,7,red,11527,1
c6bcb578a0e6d501,2,8,blue,16881,0
c6bcb578a0e6d501,2,9,blue,8085,1
c6bcb578a0e6d501,2,10,blue,2711,0
c6bcb578a0e6d501,2,11,blue,2350,0
c6bcb578a0e6d501,2,12,blue,5358,0
c6bcb578a0e6d501,2,13,blue,14360,1
c6bcb578a0e6d501,2,14,blue,23250,1
c6bcb578a0e6d501,2,15,red,15740,0
c6bcb578a0e6d501,2,16,red,29401,0
c6bcb578a0e6d501,2,17,red,11379,1
c6bcb578a0e6d501,2,18,red,18355,1
c6bcb578a0e6d501,2,19,red,7428,0
c6bcb578a0e6d501,2,20,blue,15372,1
c6bcb578a0e6d501,2,21,red,22626,0
c6bcb578a0e6d501,2,22,blue,3568,1
c6bcb578a0e6d501,2,23,blue,15539,1
c6bcb578a0e6d501,2,24,blue,31476,0
c6bcb578a0e6d501,2,25,red,8393,1
c6bcb578a0e6d501,2,26,red,2791,1
c6bcb578a0e6d501,2,27,blue,30161,1
c6bcb578a0e6d501,2,28,blue,9029,0
c6bcb578a0e6d501,2,29,blue,9021,0
c6bcb578a0e6d501,2,30,red,12522,1
c6bcb578a0e6d501,2,31,blue,25842,1
c6bcb578a0e6d501,2,32,red,1666,1
c6bcb578a0e6d501,2,33,blue,35072,1
c6bcb578a0e6d501,2,34,blue,3019,1
c6bcb578a0e6d501,2,35,blue,23692,0
c6bcb578a0e6d501,2,36,red,8753,0
c6bcb578a0e6d501,2,37,blue,17643,1
c6bcb578a0e6d501,2,38,red,6199,1
c6bcb578a0e6d501,2,39,red,29849,0
c6bcb578a0e6d501,2,40,blue,6283,1
c6bcb578a0e6d501,3,1,blue,9068,1
c6bcb578a0e6d501,3,2,red,18267,1
c6bcb578a0e6d501,3,3,blue,4938,0
c6bcb578a0e6d501,3,4,blue,2350,1
c6bcb578a0e6d501,3,5,red,1878,1
c6bcb578a0e6d501,3,6,red,4161,0
c6bcb578a0e6d501,3,7,red,28121,0
c6bcb578a0e6d501,3,8,red,10468,0
c6bcb578a0e6d501,3,9,red,4177,1
c6bcb578a0e6d501,3,10,red,6803,1
c6bcb578a0e6d501,3,11,red,13155,1
c6bcb578a0e6d501,3,12,red,12178,0
c6bcb578a0e6d501,3,13,red,2198,1
c6bcb578a0e6d501,3,14,red,24218,0
c6bcb578a0e6d501,3,15,red,3968,1
c6bcb578a0e6d501,3,16,red,1994,0
c6bcb578a0e6d501,3,17,red,24848,1
c6bcb578a0e6d501,3,18,red,7037,1
c6bcb578a0e6d501,3,19,red,5518,0
c6bcb578a0e6d501,3,20,red,5177,1
c6bcb578a0e6d501,3,21,red,15643,0
c6bcb578a0e6d501,3,22,red,8385,1
c6bcb578a0e6d501,3,23,red,10286,1
c6bcb578a0e6d501,3,24,red,4970,1
c6bcb578a0e6d501,3,25,red,9843,0
c6bcb578a0e6d501,3,26,red,15289,0
c6bcb578a0e6d501,3,27,red,10944,0
c6bcb578a0e6d501,3,28,red,8969,1
c6bcb578a0e6d501,3,29,red,14259,0
c6bcb578a0e6d501,3,30,red,1930,1
c6bcb578a0e6d501,3,31,red,2310,1
c6bcb578a0e6d501,3,32,red,9026,1
c6bcb578a0e6d501,3,33,red,14740,0
c6bcb578a0e6d501,3,34,red,2410,0
c6bcb578a0e6d501,3,35,red,3231,1
c6bcb578a0e6d501,3,36,red,2618,1
c6bcb578a0e6d501,3,37,red,17588,0
c6bcb578a0e6d501,3,38,red,6347,0
c6bcb578a0e6d501,3,39,red,9686,0
c6bcb578a0e6d501,3,40,red,8873,0
