id,block,trial,color,rt,is_opt
d0077ab6b9e5f64a,1,1,blue,7391,0
d0077ab6b9e5f64a,1,2,blue,20027,1
d0077ab6b9e5f64a,1,3,red,8146,1
d0077ab6b9e5f64a,1,4,red,6534,0
d0077ab6b9e5f64a,1,5,red,12515,1
d0077ab6b9e5f64a,1,6,blue,2311,1
d0077ab6b9e5f64a,1,7,blue,7012,1
d0077ab6b9e5f64a,1,8,red,17664,1
d0077ab6b9e5f64a,1,9,blue,4665,0
d0077ab6b9e5f64a,1,10,red,1650,1
d0077ab6b9e5f64a,1,11,blue,10022,1
d0077ab6b9e5f64a,1,12,red,9756,0
d0077ab6b9e5f64a,1,13,red,24749,1
d0077ab6b9e5f64a,1,14,red,5131,1
d0077ab6b9e5f64a,1,15,red,9065,0
d0077ab6b9e5f64a,1,16,blue,1496,0
d0077ab6b9e5f64a,1,17,red,4489,1
d0077ab6b9e5f64a,1,18,blue,8705,1
d0077ab6b9e5f64a,1,19,red,20375,0
d0077ab6b9e5f64a,1,20,blue,4826,0
d0077ab6b9e5f64a,1,21,blue,8474,1
d0077ab6b9e5f64a,1,22,blue,19553,0
d0077ab6b9e5f64a,1,23,blue,7793,0
d0077ab6b9e5f64a,1,24,blue,4841,0
d0077ab6b9e5f64a,1,25,blue,3237,1
d0077ab6b9e5f64a,1,26,red,14037,0
d0077ab6b9e5f64a,1,27,blue,20581,0
d0077ab6b9e5f64a,1,28,red,3673,0
d0077ab6b9e5f64a,1,29,red,14728,0
d0077ab6b9e5f64a,1,30,blue,5256,0
d0077ab6b9e5f64a,1,31,blue,11327,1
d0077ab6b9e5f64a,1,32,blue,2825,1
d0077ab6b9e5f64a,1,33,blue,6020,1
d0077ab6b9e5f64a,1,34,red,15016,0
d0077ab6b9e5f64a,1,35,blue,14555,1
d0077ab6b9e5f64a,1,36,red,22935,0
d0077ab6b9e5f64a,1,37,red,4542,1
d0077ab6b9e5f64a,1,38,blue,5468,0
d0077ab6b9e5f64a,1,39,blue,10320,0
d0077ab6b9e5f64a,1,40,blue,10509,0
d0077ab6b9e5f64a,2,1,blue,2725,1
d0077ab6b9e5f64a,2,2,blue,5807,1
d0077ab6b9e5f64a,2,3,red,12624,0
d0077ab6b9e5f64a,2,4,red,11241,0
d0077ab6b9e5f64a,2,5,blue,9740,0
d0077ab6b9e5f64a,2,6,red,2522,0
d0077ab6b9e5f64a,2,7,red,16942,1
d0077ab6b9e5f64a,2,8,red,18496,1
d0077ab6b9e5f64a,2,9,blue,9221,0
d0077ab6b9e5f64a,2,10,red,7888,0
d0077ab6b9e5f64a,2,11,blue,19584,0
d0077ab6b9e5f64a,2,12,blue,11600,0
d0077ab6b9e5f64a,2,13,red,23143,1
d0077ab6b9e5f64a,2,14,red,5927,0
d0077ab6b9e5f64a,2,15,blue,8752,0
d0077ab6b9e5f64a,2,16,red,14732,1
d0077ab6b9e5f64a,2,17,red,2872,0
d0077ab6b9e5f64a,2,18,red,15636,0
d0077ab6b9e5f64a,2,19,red,9686,0
d0077ab6b9e5f64a,2,20,red,13070,1
d0077ab6b9e5f64a,2,21,red,21061,0
d0077ab6b9e5f64a,2,22,red,3233,1
d0077ab6b9e5f64a,2,23,red,3193,1
d0077ab6b9e5f64a,2,24,blue,1813,0
d0077ab6b9e5f64a,2,25,blue,1561,0
d0077ab6b9e5f64a,2,26,red,5575,1
d0077ab6b9e5f64a,2,27,red,4632,0
d0077ab6b9e5f64a,2,28,red,8801,0
d0077ab6b9e5f64a,2,29,blue,2410,0
d0077ab6b9e5f64a,2,30,red,11701,0
d0077ab6b9e5f64a,2,31,blue,14332,0
d0077ab6b9e5f64a,2,32,red,22443,0
d0077ab6b9e5f64a,2,33,red,2400,1
d0077ab6b9e5f64a,2,34,red,12283,1
d0077ab6b9e5f64a,2,35,red,22953,0
d0077ab6b9e5f64a,2,36,blue,2195,1
d0077ab6b9e5f64a,2,37,red,13983,1
d0077ab6b9e5f64a,2,38,red,9672,0
d0077ab6b9e5f64a,2,39,blue,4389,1
d0077ab6b9e5f64a,2,40,red,11823,0
d0077ab6b9e5f64a,3,1,red,12563,0
d0077ab6b9e5f64a,3,2,blue,22253,1
d0077ab6b9e5f64a,3,3,blue,20838,0
d0077ab6b9e5f64a,3,4,red,7289,1
d0077ab6b9e5f64a,3,5,red,2807,1
d0077ab6b9e5f64a,3,6,red,22405,1
d0077ab6b9e5f64a,3,7,red,18707,0
d0077ab6b9e5f64a,3,8,red,3706,0
d0077ab6b9e5f64a,3,9,blue,6953,1
d0077ab6b9e5f64a,3,10,blue,11568,0
d0077ab6b9e5f64a,3,11,red,10783,1
d0077ab6b9e5f64a,3,12,blue,9623,1
d0077ab6b9e5f64a,3,13,red,2683,0
d0077ab6b9e5f64a,3,14,blue,2641,1
d0077ab6b9e5f64a,3,15,red,1321,1
d0077ab6b9e5f64a,3,16,blue,1569,1
d0077ab6b9e5f64a,3,17,blue,5598,1
d0077ab6b9e5f64a,3,18,blue,2222,1
d0077ab6b9e5f64a,3,19,blue,1663,0
d0077ab6b9e5f64a,3,20,blue,10613,0
d0077ab6b9e5f64a,3,21,red,2515,1
d0077ab6b9e5f64a,3,22,red,17298,1
d0077ab6b9e5f64a,3,23,blue,3081,1
d0077ab6b9e5f64a,3,24,red,8042,1
d0077ab6b9e5f64a,3,25,red,8098,1
d0077ab6b9e5f64a,3,26,blue,14799,1
d0077ab6b9e5f64a,3,27,red,8911,0
d0077ab6b9e5f64a,3,28,red,14568,0
d0077ab6b9e5f64a,3,29,red,20931,1
d0077ab6b9e5f64a,3,30,red,5728,0
d0077ab6b9e5f64a,3,31,blue,7898,0
d0077ab6b9e5f64a,3,32,red,11332,0
d0077ab6b9e5f64a,3,33,blue,3466,1
d0077ab6b9e5f64a,3,34,red,2574,1
d0077ab6b9e5f64a,3,35,red,1678,0
d0077ab6b9e5f64a,3,36,red,8797,1
d0077ab6b9e5f64a,3,37,blue,3643,1
d0077ab6b9e5f64a,3,38,red,3882,1
d0077ab6b9e5f64a,3,39,blue,9564,0
d0077ab6b9e5f64a,3,40,blue,28319,0
