id,block,trial,color,rt,is_opt
d297f056b8f28816,1,1,blue,9540,1
d297f056b8f28816,1,2,red,7756,1
d297f056b8f28816,1,3,blue,2665,0
d297f056b8f28816,1,4,blue,3636,1
d297f056b8f28816,1,5,red,5146,0
d297f056b8f28816,1,6,red,7665,0
d297f056b8f28816,1,7,blue,9850,1
d297f056b8f28816,1,8,red,12062,0
d297f056b8f28816,1,9,red,8932,1
d297f056b8f28816,1,10,blue,8780,1
d297f056b8f28816,1,11,blue,1831,0
d297f056b8f28816,1,12,red,7419,1
d297f056b8f28816,1,13,red,1952,0
d297f056b8f28816,1,14,blue,5062,1
d297f056b8f28816,1,15,blue,13478,0
d297f056b8f28816,1,16,blue,11946,0
d297f056b8f28816,1,17,blue,8924,0
d297f056b8f28816,1,18,blue,1917,0
d297f056b8f28816,1,19,blue,3694,0
d297f056b8f28816,1,20,blue,5711,1
d297f056b8f28816,1,21,blue,5596,1
d297f056b8f28816,1,22,blue,1187,0
d297f056b8f28816,1,23,blue,16326,0
d297f056b8f28816,1,24,blue,2576,0
d297f056b8f28816,1,25,red,7896,1
d297f056b8f28816,1,26,red,5004,1
d297f056b8f28816,1,27,blue,9531,1
d297f056b8f28816,1,28,blue,3654,1
d297f056b8f28816,1,29,blue,2054,0
d297f056b8f28816,1,30,red,5586,0
d297f056b8f28816,1,31,red,7297,0
d297f056b8f28816,1,32,blue,7966,0
d297f056b8f28816,1,33,red,5412,1
d297f056b8f28816,1,34,blue,3766,1
d297f056b8f28816,1,35,blue,3326,1
d297f056b8f28816,1,36,blue,8758,1
d297f056b8f28816,1,37,red,2708,0
d297f056b8f28816,1,38,red,5420,1
d297f056b8f28816,1,39,red,5318,1
d297f056b8f28816,1,40,red,8426,0
d297f056b8f28816,2,1,red,2530,1
d297f056b8f28816,2,2,blue,6584,1
d297f056b8f28816,2,3,blue,1608,1
d297f056b8f28816,2,4,red,13618,1
d297f056b8f28816,2,5,red,2788,0
d297f056b8f28816,2,6,blue,5028,1
d297f056b8f28816,2,7,red,12624,1
d297f056b8f28816,2,8,red,7226,1
d297f056b8f28816,2,9,red,13168,0
d297f056b8f28816,2,10,blue,11210,0
d297f056b8f28816,2,11,blue,9966,1
d297f056b8f28816,2,12,blue,8088,0
d297f056b8f28816,2,13,blue,11402,0
d297f056b8f28816,2,14,red,7412,1
d297f056b8f28816,2,15,red,1418,1
d297f056b8f28816,2,16,red,5459,0
d297f056b8f28816,2,17,blue,6810,1
d297f056b8f28816,2,18,blue,3828,0
d297f056b8f28816,2,19,red,4018,0
d297f056b8f28816,2,20,red,4293,0
d297f056b8f28816,2,21,blue,4182,0
d297f056b8f28816,2,22,red,13922,1
d297f056b8f28816,2,23,blue,1112,0
d297f056b8f28816,2,24,red,12858,0
d297f056b8f28816,2,25,red,12004,1
d297f056b8f28816,2,26,red,6522,1
d297f056b8f28816,2,27,red,2362,1
d297f056b8f28816,2,28,red,3542,1
d297f056b8f28816,2,29,blue,6968,1
d297f056b8f28816,2,30,blue,5106,1
d297f056b8f28816,2,31,red,1128,1
d297f056b8f28816,2,32,red,9752,0
d297f056b8f28816,2,33,red,11014,0
d297f056b8f28816,2,34,red,4666,0
d297f056b8f28816,2,35,red,9484,0
d297f056b8f28816,2,36,blue,10317,0
d297f056b8f28816,2,37,blue,8938,1
d297f056b8f28816,2,38,red,4890,0
d297f056b8f28816,2,39,red,7429,0
d297f056b8f28816,2,40,blue,3586,0
d297f056b8f28816,3,1,red,3271,1
d297f056b8f28816,3,2,red,4791,1
d297f056b8f28816,3,3,red,12220,1
d297f056b8f28816,3,4,red,14216,0
d297f056b8f28816,3,5,blue,2389,0
d297f056b8f28816,3,6,red,1064,0
d297f056b8f28816,3,7,blue,7338,0
d297f056b8f28816,3,8,blue,14462,0
d297f056b8f28816,3,9,red,6702,1
d297f056b8f28816,3,10,blue,4408,0
d297f056b8f28816,3,11,red,7046,1
d297f056b8f28816,3,12,blue,2534,1
d297f056b8f28816,3,13,red,2684,0
d297f056b8f28816,3,14,red,2208,0
d297f056b8f28816,3,15,red,6444,1
d297f056b8f28816,3,16,red,10990,0
d297f056b8f28816,3,17,red,11730,0
d297f056b8f28816,3,18,blue,5970,1
d297f056b8f28816,3,19,blue,8173,1
d297f056b8f28816,3,20,red,12954,1
d297f056b8f28816,3,21,red,3023,1
d297f056b8f28816,3,22,red,1161,1
d297f056b8f28816,3,23,red,6120,0
d297f056b8f28816,3,24,blue,13592,1
d297f056b8f28816,3,25,blue,5842,0
d297f056b8f28816,3,26,blue,3676,1
d297f056b8f28816,3,27,red,3760,0
d297f056b8f28816,3,28,blue,2731,0
d297f056b8f28816,3,29,blue,10018,0
d297f056b8f28816,3,30,red,5988,0
d297f056b8f28816,3,31,blue,2367,1
d297f056b8f28816,3,32,blue,11732,1
d297f056b8f28816,3,33,blue,3626,0
d297f056b8f28816,3,34,blue,9598,1
d297f056b8f28816,3,35,blue,6668,0
d297f056b8f28816,3,36,blue,10766,0
d297f056b8f28816,3,37,red,6346,0
d297f056b8f28816,3,38,blue,2336,0
d297f056b8f28816,3,39,red,9296,0
d297f056b8f28816,3,40,red,5610,0
