id,block,trial,color,rt,is_opt
12edb3c54f82001a,1,1,blue,2897,1
12edb3c54f82001a,1,2,blue,4253,1
12edb3c54f82001a,1,3,red,4682,1
12edb3c54f82001a,1,4,red,4085,1
12edb3c54f82001a,1,5,blue,3470,1
12edb3c54f82001a,1,6,red,3394,1
12edb3c54f82001a,1,7,red,2993,1
12edb3c54f82001a,1,8,red,2698,1
12edb3c54f82001a,1,9,blue,3199,1
12edb3c54f82001a,1,10,red,4910,1
12edb3c54f82001a,1,11,blue,2849,1
12edb3c54f82001a,1,12,red,6707,1
12edb3c54f82001a,1,13,blue,3769,1
12edb3c54f82001a,1,14,red,4648,1
12edb3c54f82001a,1,15,blue,3420,1
12edb3c54f82001a,1,16,red,4663,1
12edb3c54f82001a,1,17,red,5131,1
12edb3c54f82001a,1,18,red,3491,1
12edb3c54f82001a,1,19,blue,2621,1
12edb3c54f82001a,1,20,blue,3190,1
12edb3c54f82001a,1,21,red,3823,1
12edb3c54f82001a,1,22,blue,4419,1
12edb3c54f82001a,1,23,blue,3339,1
12edb3c54f82001a,1,24,red,5304,1
12edb3c54f82001a,1,25,blue,3681,1
12edb3c54f82001a,1,26,red,5154,1
12edb3c54f82001a,1,27,blue,4441,1
12edb3c54f82001a,1,28,blue,5003,1
12edb3c54f82001a,1,29,blue,2557,1
12edb3c54f82001a,1,30,red,6682,1
12edb3c54f82001a,1,31,blue,3896,1
12edb3c54f82001a,1,32,red,3420,1
12edb3c54f82001a,1,33,red,3840,1
12edb3c54f82001a,1,34,red,3854,1
12edb3c54f82001a,1,35,red,4610,1
12edb3c54f82001a,1,36,blue,3302,1
12edb3c54f82001a,1,37,red,6002,1
12edb3c54f82001a,1,38,blue,2945,1
12edb3c54f82001a,1,39,blue,4108,1
12edb3c54f82001a,1,40,blue,3951,1
12edb3c54f82001a,2,1,red,4402,1
12edb3c54f82001a,2,2,red,2700,1
12edb3c54f82001a,2,3,red,5360,1
12edb3c54f82001a,2,4,blue,3176,1
12edb3c54f82001a,2,5,blue,3285,1
12edb3c54f82001a,2,6,red,3506,1
12edb3c54f82001a,2,7,red,3493,1
12edb3c54f82001a,2,8,red,5320,1
12edb3c54f82001a,2,9,red,5565,1
12edb3c54f82001a,2,10,red,5098,1
12edb3c54f82001a,2,11,blue,6025,1
12edb3c54f82001a,2,12,red,4735,1
12edb3c54f82001a,2,13,red,3229,1
12edb3c54f82001a,2,14,blue,3561,1
12edb3c54f82001a,2,15,red,4322,1
12edb3c54f82001a,2,16,blue,6541,1
12edb3c54f82001a,2,17,blue,4657,1
12edb3c54f82001a,2,18,blue,3555,1
12edb3c54f82001a,2,19,blue,5225,1
12edb3c54f82001a,2,20,red,4940,1
12edb3c54f82001a,2,21,red,4094,1
12edb3c54f82001a,2,22,blue,9897,1
12edb3c54f82001a,2,23,blue,4013,1
12edb3c54f82001a,2,24,blue,3144,1
12edb3c54f82001a,2,25,blue,4535,1
12edb3c54f82001a,2,26,blue,4116,1
12edb3c54f82001a,2,27,blue,4117,1
12edb3c54f82001a,2,28,red,4077,1
12edb3c54f82001a,2,29,red,2835,1
12edb3c54f82001a,2,30,blue,3610,1
12edb3c54f82001a,2,31,blue,5637,1
12edb3c54f82001a,2,32,blue,6952,1
12edb3c54f82001a,2,33,red,3720,1
12edb3c54f82001a,2,34,red,5240,1
12edb3c54f82001a,2,35,blue,3722,1
12edb3c54f82001a,2,36,red,2890,1
12edb3c54f82001a,2,37,red,5810,1
12edb3c54f82001a,2,38,red,3943,1
12edb3c54f82001a,2,39,blue,4853,1
12edb3c54f82001a,2,40,blue,3674,1
12edb3c54f82001a,3,1,blue,8409,1
12edb3c54f82001a,3,2,blue,3223,1
12edb3c54f82001a,3,3,red,3301,1
12edb3c54f82001a,3,4,blue,3571,1
12edb3c54f82001a,3,5,blue,3382,1
12edb3c54f82001a,3,6,red,4814,1
12edb3c54f82001a,3,7,red,3564,1
12edb3c54f82001a,3,8,blue,3334,1
12edb3c54f82001a,3,9,blue,3658,1
12edb3c54f82001a,3,10,red,6634,1
12edb3c54f82001a,3,11,red,3334,1
12edb3c54f82001a,3,12,red,5564,1
12edb3c54f82001a,3,13,blue,3641,1
12edb3c54f82001a,3,14,blue,3183,1
12edb3c54f82001a,3,15,red,3737,1
12edb3c54f82001a,3,16,red,4268,1
12edb3c54f82001a,3,17,red,6902,1
12edb3c54f82001a,3,18,blue,6167,1
12edb3c54f82001a,3,19,blue,3958,1
12edb3c54f82001a,3,20,blue,3350,1
12edb3c54f82001a,3,21,blue,5653,1
12edb3c54f82001a,3,22,red,3650,1
12edb3c54f82001a,3,23,blue,5028,1
12edb3c54f82001a,3,24,blue,4727,1
12edb3c54f82001a,3,25,red,4654,1
12edb3c54f82001a,3,26,red,5479,1
12edb3c54f82001a,3,27,blue,7956,1
12edb3c54f82001a,3,28,red,3825,1
12edb3c54f82001a,3,29,blue,4599,1
12edb3c54f82001a,3,30,blue,5045,1
12edb3c54f82001a,3,31,red,5533,1
12edb3c54f82001a,3,32,red,7838,1
12edb3c54f82001a,3,33,red,3618,1
12edb3c54f82001a,3,34,blue,5320,1
12edb3c54f82001a,3,35,red,5209,1
12edb3c54f82001a,3,36,red,3468,1
12edb3c54f82001a,3,37,blue,4932,1
12edb3c54f82001a,3,38,red,3808,1
12edb3c54f82001a,3,39,red,4308,1
12edb3c54f82001a,3,40,blue,4194,1
