id,block,trial,color,rt,is_opt
27509208fce2c234,1,1,blue,6081,1
27509208fce2c234,1,2,red,3200,1
27509208fce2c234,1,3,blue,2839,1
27509208fce2c234,1,4,blue,5042,1
27509208fce2c234,1,5,red,2935,1
27509208fce2c234,1,6,blue,2698,1
27509208fce2c234,1,7,red,3590,1
27509208fce2c234,1,8,blue,3743,1
27509208fce2c234,1,9,red,4671,1
27509208fce2c234,1,10,blue,4743,1
27509208fce2c234,1,11,red,4847,1
27509208fce2c234,1,12,red,5373,1
27509208fce2c234,1,13,red,3590,1
27509208fce2c234,1,14,red,3585,1
27509208fce2c234,1,15,red,6114,1
27509208fce2c234,1,16,red,3036,1
27509208fce2c234,1,17,blue,3300,1
27509208fce2c234,1,18,red,5860,1
27509208fce2c234,1,19,red,3224,1
27509208fce2c234,1,20,blue,4068,1
27509208fce2c234,1,21,red,5717,1
27509208fce2c234,1,22,blue,3661,1
27509208fce2c234,1,23,blue,3961,1
27509208fce2c234,1,24,blue,3472,1
27509208fce2c234,1,25,blue,4945,1
27509208fce2c234,1,26,red,4510,1
27509208fce2c234,1,27,blue,5155,1
27509208fce2c234,1,28,red,5570,1
27509208fce2c234,1,29,blue,5735,1
27509208fce2c234,1,30,blue,2802,1
27509208fce2c234,1,31,blue,4430,1
27509208fce2c234,1,32,blue,4067,1
27509208fce2c234,1,33,red,5990,1
27509208fce2c234,1,34,blue,3717,1
27509208fce2c234,1,35,red,3648,1
27509208fce2c234,1,36,blue,5098,1
27509208fce2c234,1,37,blue,4018,1
27509208fce2c234,1,38,red,4753,1
27509208fce2c234,1,39,red,4157,1
27509208fce2c234,1,40,red,4245,1
27509208fce2c234,2,1,blue,5293,1
27509208fce2c234,2,2,blue,4415,1
27509208fce2c234,2,3,blue,3806,1
27509208fce2c234,2,4,red,3409,1
27509208fce2c234,2,5,red,3586,1
27509208fce2c234,2,6,red,4611,1
27509208fce2c234,2,7,red,3286,1
27509208fce2c234,2,8,blue,4553,1
27509208fce2c234,2,9,blue,4158,1
27509208fce2c234,2,10,blue,5149,1
27509208fce2c234,2,11,blue,5421,1
27509208fce2c234,2,12,red,3827,1
27509208fce2c234,2,13,blue,4714,1
27509208fce2c234,2,14,red,4986,1
27509208fce2c234,2,15,red,4965,1
27509208fce2c234,2,16,red,2747,1
27509208fce2c234,2,17,blue,4462,1
27509208fce2c234,2,18,red,4022,1
27509208fce2c234,2,19,red,3281,1
27509208fce2c234,2,20,red,2853,1
27509208fce2c234,2,21,red,5619,1
27509208fce2c234,2,22,red,4187,1
27509208fce2c234,2,23,blue,4648,1
27509208fce2c234,2,24,red,3704,1
27509208fce2c234,2,25,red,4745,1
27509208fce2c234,2,26,blue,4266,1
27509208fce2c234,2,27,blue,5660,1
27509208fce2c234,2,28,red,3918,1
27509208fce2c234,2,29,blue,5465,1
27509208fce2c234,2,30,blue,4489,1
27509208fce2c234,2,31,blue,4179,1
27509208fce2c234,2,32,blue,3605,1
27509208fce2c234,2,33,blue,2688,1
27509208fce2c234,2,34,red,6065,1
27509208fce2c234,2,35,red,4612,1
27509208fce2c234,2,36,blue,5035,1
27509208fce2c234,2,37,blue,3618,1
27509208fce2c234,2,38,red,5126,1
27509208fce2c234,2,39,red,5085,1
27509208fce2c234,2,40,blue,3350,1
27509208fce2c234,3,1,blue,3721,1
27509208fce2c234,3,2,red,4671,1
27509208fce2c234,3,3,red,4336,1
27509208fce2c234,3,4,red,4846,1
27509208fce2c234,3,5,red,3959,1
27509208fce2c234,3,6,blue,3120,1
27509208fce2c234,3,7,blue,3756,1
27509208fce2c234,3,8,blue,3631,1
27509208fce2c234,3,9,blue,6187,1
27509208fce2c234,3,10,red,4412,1
27509208fce2c234,3,11,blue,5023,1
27509208fce2c234,3,12,red,3710,1
27509208fce2c234,3,13,red,4353,1
27509208fce2c234,3,14,red,2945,1
27509208fce2c234,3,15,blue,5213,1
27509208fce2c234,3,16,blue,3969,1
27509208fce2c234,3,17,red,4097,1
27509208fce2c234,3,18,blue,4563,1
27509208fce2c234,3,19,red,4791,1
27509208fce2c234,3,20,blue,4278,1
27509208fce2c234,3,21,red,5049,1
27509208fce2c234,3,22,red,3146,1
27509208fce2c234,3,23,blue,4047,1
27509208fce2c234,3,24,blue,4390,1
27509208fce2c234,3,25,blue,4553,1
27509208fce2c234,3,26,blue,4098,1
27509208fce2c234,3,27,red,5214,1
27509208fce2c234,3,28,red,5489,1
27509208fce2c234,3,29,blue,3790,1
27509208fce2c234,3,30,red,6044,1
27509208fce2c234,3,31,red,4476,1
27509208fce2c234,3,32,blue,3859,1
27509208fce2c234,3,33,blue,3424,1
27509208fce2c234,3,34,red,4956,1
27509208fce2c234,3,35,blue,3874,1
27509208fce2c234,3,36,red,3927,1
27509208fce2c234,3,37,red,4889,1
27509208fce2c234,3,38,red,3503,1
27509208fce2c234,3,39,blue,5017,1
27509208fce2c234,3,40,red,15558,0
