id,block,trial,color,rt,is_opt
4f8194df99290871,1,1,red,2584,1
4f8194df99290871,1,2,blue,17336,1
4f8194df99290871,1,3,blue,6880,1
4f8194df99290871,1,4,red,3040,1
4f8194df99290871,1,5,blue,5696,1
4f8194df99290871,1,6,blue,2825,1
4f8194df99290871,1,7,red,5240,1
4f8194df99290871,1,8,blue,3544,1
4f8194df99290871,1,9,red,3304,1
4f8194df99290871,1,10,blue,2720,1
4f8194df99290871,1,11,blue,3936,1
4f8194df99290871,1,12,blue,4960,1
4f8194df99290871,1,13,blue,2544,1
4f8194df99290871,1,14,blue,14272,0
4f8194df99290871,1,15,blue,2944,1
4f8194df99290871,1,16,red,18304,1
4f8194df99290871,1,17,red,4592,1
4f8194df99290871,1,18,red,4160,1
4f8194df99290871,1,19,red,4464,1
4f8194df99290871,1,20,red,4912,1
4f8194df99290871,1,21,blue,5224,1
4f8194df99290871,1,22,red,4824,1
4f8194df99290871,1,23,red,2624,1
4f8194df99290871,1,24,blue,4088,1
4f8194df99290871,1,25,blue,3575,1
4f8194df99290871,1,26,blue,3352,1
4f8194df99290871,1,27,red,3567,1
4f8194df99290871,1,28,blue,2416,1
4f8194df99290871,1,29,red,4127,1
4f8194df99290871,1,30,blue,2264,1
4f8194df99290871,1,31,blue,4399,1
4f8194df99290871,1,32,blue,5080,1
4f8194df99290871,1,33,red,3815,1
4f8194df99290871,1,34,blue,2576,1
4f8194df99290871,1,35,blue,2800,1
4f8194df99290871,1,36,red,3000,1
4f8194df99290871,1,37,red,2400,1
4f8194df99290871,1,38,red,2904,1
4f8194df99290871,1,39,red,3216,1
4f8194df99290871,1,40,red,4704,1
4f8194df99290871,2,1,red,3792,1
4f8194df99290871,2,2,blue,2944,1
4f8194df99290871,2,3,red,2352,1
4f8194df99290871,2,4,red,4296,1
4f8194df99290871,2,5,blue,2952,1
4f8194df99290871,2,6,red,3448,1
4f8194df99290871,2,7,red,2576,1
4f8194df99290871,2,8,red,2640,1
4f8194df99290871,2,9,blue,2304,1
4f8194df99290871,2,10,blue,2816,1
4f8194df99290871,2,11,blue,2792,1
4f8194df99290871,2,12,blue,5032,1
4f8194df99290871,2,13,blue,2608,1
4f8194df99290871,2,14,blue,4112,1
4f8194df99290871,2,15,red,3312,1
4f8194df99290871,2,16,red,7512,1
4f8194df99290871,2,17,blue,4000,1
4f8194df99290871,2,18,blue,4568,1
4f8194df99290871,2,19,blue,3496,1
4f8194df99290871,2,20,red,4640,1
4f8194df99290871,2,21,red,3224,1
4f8194df99290871,2,22,red,4152,1
4f8194df99290871,2,23,red,2680,1
4f8194df99290871,2,24,blue,4768,1
4f8194df99290871,2,25,blue,5400,1
4f8194df99290871,2,26,blue,2976,1
4f8194df99290871,2,27,red,3608,1
4f8194df99290871,2,28,red,13720,1
4f8194df99290871,2,29,red,3327,1
4f8194df99290871,2,30,blue,2616,1
4f8194df99290871,2,31,blue,3000,1
4f8194df99290871,2,32,blue,2520,1
4f8194df99290871,2,33,red,5632,1
4f8194df99290871,2,34,blue,3336,1
4f8194df99290871,2,35,red,3313,1
4f8194df99290871,2,36,red,3833,1
4f8194df99290871,2,37,red,2231,1
4f8194df99290871,2,38,blue,2608,1
4f8194df99290871,2,39,blue,3240,1
4f8194df99290871,2,40,red,3864,1
4f8194df99290871,3,1,red,2848,1
4f8194df99290871,3,2,red,4392,1
4f8194df99290871,3,3,blue,3944,1
4f8194df99290871,3,4,blue,3768,1
4f8194df99290871,3,5,red,4680,1
4f8194df99290871,3,6,red,3720,1
4f8194df99290871,3,7,blue,3730,1
4f8194df99290871,3,8,blue,4984,1
4f8194df99290871,3,9,blue,3088,1
4f8194df99290871,3,10,red,2712,1
4f8194df99290871,3,11,red,3104,1
4f8194df99290871,3,12,red,2208,1
4f8194df99290871,3,13,blue,2800,1
4f8194df99290871,3,14,blue,2312,1
4f8194df99290871,3,15,red,4287,1
4f8194df99290871,3,16,blue,3985,1
4f8194df99290871,3,17,red,2889,1
4f8194df99290871,3,18,blue,3520,1
4f8194df99290871,3,19,red,2896,1
4f8194df99290871,3,20,blue,5024,1
4f8194df99290871,3,21,red,5184,1
4f8194df99290871,3,22,red,10704,1
4f8194df99290871,3,23,blue,3800,1
4f8194df99290871,3,24,blue,2640,1
4f8194df99290871,3,25,red,2256,1
4f8194df99290871,3,26,blue,2688,1
4f8194df99290871,3,27,blue,3440,1
4f8194df99290871,3,28,blue,2592,1
4f8194df99290871,3,29,blue,2640,1
4f8194df99290871,3,30,red,4048,1
4f8194df99290871,3,31,red,2368,1
4f8194df99290871,3,32,red,3904,1
4f8194df99290871,3,33,red,4296,1
4f8194df99290871,3,34,red,4359,1
4f8194df99290871,3,35,blue,3008,1
4f8194df99290871,3,36,blue,4464,1
4f8194df99290871,3,37,red,3448,1
4f8194df99290871,3,38,red,3984,1
4f8194df99290871,3,39,blue,3425,1
4f8194df99290871,3,40,blue,3616,1
