id,block,trial,color,rt,is_opt
7019ac4d032b2d73,1,1,blue,2837,1
7019ac4d032b2d73,1,2,blue,5120,1
7019ac4d032b2d73,1,3,red,5408,1
7019ac4d032b2d73,1,4,blue,4858,1
7019ac4d032b2d73,1,5,blue,2473,1
7019ac4d032b2d73,1,6,red,2813,1
7019ac4d032b2d73,1,7,blue,4042,1
7019ac4d032b2d73,1,8,red,4094,1
7019ac4d032b2d73,1,9,red,3063,1
7019ac4d032b2d73,1,10,red,3152,1
7019ac4d032b2d73,1,11,red,4268,1
7019ac4d032b2d73,1,12,blue,5084,1
7019ac4d032b2d73,1,13,red,12566,1
7019ac4d032b2d73,1,14,red,10003,0
7019ac4d032b2d73,1,15,blue,14158,0
7019ac4d032b2d73,1,16,red,5457,1
7019ac4d032b2d73,1,17,blue,3454,1
7019ac4d032b2d73,1,18,red,3031,1
7019ac4d032b2d73,1,19,red,4139,1
7019ac4d032b2d73,1,20,blue,2886,1
7019ac4d032b2d73,1,21,red,8407,1
7019ac4d032b2d73,1,22,blue,2806,1
7019ac4d032b2d73,1,23,red,15748,0
7019ac4d032b2d73,1,24,red,4010,1
7019ac4d032b2d73,1,25,red,4721,1
7019ac4d032b2d73,1,26,red,3981,1
7019ac4d032b2d73,1,27,blue,24687,0
7019ac4d032b2d73,1,28,red,2725,1
7019ac4d032b2d73,1,29,blue,3598,1
7019ac4d032b2d73,1,30,red,2513,1
7019ac4d032b2d73,1,31,blue,3209,1
7019ac4d032b2d73,1,32,blue,5153,1
7019ac4d032b2d73,1,33,red,4830,1
7019ac4d032b2d73,1,34,red,6480,1
7019ac4d032b2d73,1,35,blue,3916,1
7019ac4d032b2d73,1,36,blue,4277,1
7019ac4d032b2d73,1,37,blue,7628,1
7019ac4d032b2d73,1,38,blue,2709,1
7019ac4d032b2d73,1,39,red,2220,1
7019ac4d032b2d73,1,40,red,3536,1
7019ac4d032b2d73,1,41,red,3334,1
7019ac4d032b2d73,1,42,blue,2190,1
7019ac4d032b2d73,1,43,blue,3788,1
7019ac4d032b2d73,1,44,red,3835,1
7019ac4d032b2d73,1,45,red,3496,1
7019ac4d032b2d73,1,46,blue,3149,1
7019ac4d032b2d73,1,47,blue,2648,1
7019ac4d032b2d73,1,48,blue,4619,1
7019ac4d032b2d73,1,49,red,15939,0
7019ac4d032b2d73,1,50,blue,11700,1
7019ac4d032b2d73,1,51,blue,2382,1
7019ac4d032b2d73,1,52,red,2575,1
7019ac4d032b2d73,1,53,blue,3071,1
7019ac4d032b2d73,1,54,blue,4105,1
7019ac4d032b2d73,1,55,blue,4086,1
7019ac4d032b2d73,1,56,red,3508,1
7019ac4d032b2d73,1,57,blue,4684,1
7019ac4d032b2d73,1,58,red,3061,1
7019ac4d032b2d73,1,59,red,4996,1
7019ac4d032b2d73,1,60,red,4101,1
7019ac4d032b2d73,1,61,red,3633,1
7019ac4d032b2d73,1,62,blue,2279,1
7019ac4d032b2d73,1,63,blue,6176,1
7019ac4d032b2d73,1,64,red,4846,1
7019ac4d032b2d73,1,65,blue,4810,1
7019ac4d032b2d73,1,66,red,2596,1
7019ac4d032b2d73,1,67,red,4669,1
7019ac4d032b2d73,1,68,blue,3551,1
7019ac4d032b2d73,1,69,red,5574,1
7019ac4d032b2d73,1,70,red,3699,1
7019ac4d032b2d73,1,71,blue,3541,1
7019ac4d032b2d73,1,72,blue,2425,1
7019ac4d032b2d73,1,73,red,4122,1
7019ac4d032b2d73,1,74,blue,4824,1
7019ac4d032b2d73,1,75,red,3969,1
7019ac4d032b2d73,1,76,blue,3573,1
7019ac4d032b2d73,1,77,blue,16292,0
7019ac4d032b2d73,1,78,blue,6080,1
7019ac4d032b2d73,1,79,red,16108,1
7019ac4d032b2d73,1,80,red,12711,0
7019ac4d032b2d73,2,1,red,6657,1
7019ac4d032b2d73,2,2,blue,3248,1
7019ac4d032b2d73,2,3,red,3240,1
7019ac4d032b2d73,2,4,blue,3798,1
7019ac4d032b2d73,2,5,blue,6163,1
7019ac4d032b2d73,2,6,red,4566,1
7019ac4d032b2d73,2,7,red,4555,1
7019ac4d032b2d73,2,8,red,4429,1
7019ac4d032b2d73,2,9,red,3192,1
7019ac4d032b2d73,2,10,red,4042,1
7019ac4d032b2d73,2,11,blue,3678,1
7019ac4d032b2d73,2,12,blue,5299,1
7019ac4d032b2d73,2,13,red,13863,0
7019ac4d032b2d73,2,14,blue,3307,1
7019ac4d032b2d73,2,15,red,11381,0
7019ac4d032b2d73,2,16,red,2881,1
7019ac4d032b2d73,2,17,blue,4075,1
