id,block,trial,color,rt,is_opt
796f518144b6f4c2,1,1,red,2249,1
796f518144b6f4c2,1,2,blue,7013,0
796f518144b6f4c2,1,3,blue,8230,1
796f518144b6f4c2,1,4,red,3244,1
796f518144b6f4c2,1,5,blue,7074,1
796f518144b6f4c2,1,6,blue,4172,1
796f518144b6f4c2,1,7,red,2654,1
796f518144b6f4c2,1,8,blue,5338,1
796f518144b6f4c2,1,9,red,4405,1
796f518144b6f4c2,1,10,blue,5293,1
796f518144b6f4c2,1,11,blue,4307,1
796f518144b6f4c2,1,12,blue,5930,1
796f518144b6f4c2,1,13,blue,4700,1
796f518144b6f4c2,1,14,blue,3387,1
796f518144b6f4c2,1,15,blue,4272,1
796f518144b6f4c2,1,16,red,2350,1
796f518144b6f4c2,1,17,blue,5269,1
796f518144b6f4c2,1,18,blue,2855,1
796f518144b6f4c2,1,19,red,4084,1
796f518144b6f4c2,1,20,red,5976,1
796f518144b6f4c2,1,21,red,2898,1
796f518144b6f4c2,1,22,blue,3012,1
796f518144b6f4c2,1,23,red,2652,1
796f518144b6f4c2,1,24,blue,2139,1
796f518144b6f4c2,1,25,blue,6427,0
796f518144b6f4c2,1,26,blue,2592,1
796f518144b6f4c2,1,27,red,5272,1
796f518144b6f4c2,1,28,red,9210,0
796f518144b6f4c2,1,29,blue,7854,0
796f518144b6f4c2,1,30,red,5963,0
796f518144b6f4c2,1,31,blue,6221,0
796f518144b6f4c2,1,32,red,5045,0
796f518144b6f4c2,1,33,red,6565,0
796f518144b6f4c2,1,34,red,6728,0
796f518144b6f4c2,1,35,blue,6624,0
796f518144b6f4c2,1,36,red,9735,1
796f518144b6f4c2,1,37,red,3237,1
796f518144b6f4c2,1,38,red,4007,1
796f518144b6f4c2,1,39,red,8030,1
796f518144b6f4c2,1,40,red,4498,1
796f518144b6f4c2,2,1,blue,3637,1
796f518144b6f4c2,2,2,red,4739,1
796f518144b6f4c2,2,3,blue,6469,1
796f518144b6f4c2,2,4,red,3936,1
796f518144b6f4c2,2,5,red,3598,1
796f518144b6f4c2,2,6,red,7798,1
796f518144b6f4c2,2,7,blue,2801,1
796f518144b6f4c2,2,8,blue,4065,1
796f518144b6f4c2,2,9,red,6971,1
796f518144b6f4c2,2,10,blue,4351,1
796f518144b6f4c2,2,11,red,4510,1
796f518144b6f4c2,2,12,red,6366,1
796f518144b6f4c2,2,13,blue,2472,1
796f518144b6f4c2,2,14,blue,4965,1
796f518144b6f4c2,2,15,red,6223,1
796f518144b6f4c2,2,16,red,3845,1
796f518144b6f4c2,2,17,blue,7092,0
796f518144b6f4c2,2,18,blue,1976,1
796f518144b6f4c2,2,19,red,6007,1
796f518144b6f4c2,2,20,red,4108,1
796f518144b6f4c2,2,21,blue,5047,1
796f518144b6f4c2,2,22,blue,4073,1
796f518144b6f4c2,2,23,red,4258,1
796f518144b6f4c2,2,24,blue,3425,1
796f518144b6f4c2,2,25,blue,6307,1
796f518144b6f4c2,2,26,blue,5080,1
796f518144b6f4c2,2,27,red,4872,1
796f518144b6f4c2,2,28,red,5165,1
796f518144b6f4c2,2,29,blue,3280,1
796f518144b6f4c2,2,30,red,2858,1
796f518144b6f4c2,2,31,red,3202,1
796f518144b6f4c2,2,32,blue,4501,1
796f518144b6f4c2,2,33,blue,2813,1
796f518144b6f4c2,2,34,blue,7217,1
796f518144b6f4c2,2,35,red,4704,1
796f518144b6f4c2,2,36,red,5903,1
796f518144b6f4c2,2,37,blue,3176,1
796f518144b6f4c2,2,38,blue,4664,1
796f518144b6f4c2,2,39,blue,4519,1
796f518144b6f4c2,2,40,red,3640,1
796f518144b6f4c2,3,1,red,2200,1
796f518144b6f4c2,3,2,blue,5150,1
796f518144b6f4c2,3,3,red,6299,1
796f518144b6f4c2,3,4,blue,2599,1
796f518144b6f4c2,3,5,blue,4957,1
796f518144b6f4c2,3,6,red,4849,1
796f518144b6f4c2,3,7,blue,4526,1
796f518144b6f4c2,3,8,red,5476,1
796f518144b6f4c2,3,9,red,2765,1
796f518144b6f4c2,3,10,red,4102,1
796f518144b6f4c2,3,11,blue,3708,1
796f518144b6f4c2,3,12,red,2853,1
796f518144b6f4c2,3,13,blue,7503,1
796f518144b6f4c2,3,14,blue,3054,1
796f518144b6f4c2,3,15,red,3262,1
796f518144b6f4c2,3,16,blue,2889,1
796f518144b6f4c2,3,17,red,4228,1
796f518144b6f4c2,3,18,blue,4958,1
796f518144b6f4c2,3,19,blue,3865,1
796f518144b6f4c2,3,20,blue,5808,1
796f518144b6f4c2,3,21,red,4636,1
796f518144b6f4c2,3,22,blue,3465,1
796f518144b6f4c2,3,23,red,6486,1
796f518144b6f4c2,3,24,red,4609,1
796f518144b6f4c2,3,25,red,4950,1
796f518144b6f4c2,3,26,red,3754,1
796f518144b6f4c2,3,27,red,3531,1
796f518144b6f4c2,3,28,red,6816,0
796f518144b6f4c2,3,29,blue,3786,1
796f518144b6f4c2,3,30,red,2039,1
796f518144b6f4c2,3,31,blue,4627,1
796f518144b6f4c2,3,32,blue,2699,1
796f518144b6f4c2,3,33,red,5631,1
796f518144b6f4c2,3,34,blue,4193,1
796f518144b6f4c2,3,35,blue,3368,1
796f518144b6f4c2,3,36,blue,3959,1
796f518144b6f4c2,3,37,blue,4249,1
796f518144b6f4c2,3,38,red,4944,1
796f518144b6f4c2,3,39,red,5429,1
796f518144b6f4c2,3,40,red,2919,1
