id,block,trial,color,rt,is_opt
95c88d4fabf305ec,1,1,blue,6139,1
95c88d4fabf305ec,1,2,blue,4709,1
95c88d4fabf305ec,1,3,blue,23804,0
95c88d4fabf305ec,1,4,blue,6481,1
95c88d4fabf305ec,1,5,red,3672,1
95c88d4fabf305ec,1,6,blue,4243,1
95c88d4fabf305ec,1,7,red,3720,1
95c88d4fabf305ec,1,8,blue,3790,1
95c88d4fabf305ec,1,9,blue,16562,0
95c88d4fabf305ec,1,10,red,3680,1
95c88d4fabf305ec,1,11,red,2377,1
95c88d4fabf305ec,1,12,blue,4045,1
95c88d4fabf305ec,1,13,blue,5875,1
95c88d4fabf305ec,1,14,blue,3711,1
95c88d4fabf305ec,1,15,blue,7987,1
95c88d4fabf305ec,1,16,blue,5469,1
95c88d4fabf305ec,1,17,red,4157,1
95c88d4fabf305ec,1,18,blue,6920,1
95c88d4fabf305ec,1,19,blue,4669,1
95c88d4fabf305ec,1,20,blue,5275,1
95c88d4fabf305ec,1,21,red,5507,1
95c88d4fabf305ec,1,22,red,4461,1
95c88d4fabf305ec,1,23,red,5827,1
95c88d4fabf305ec,1,24,blue,4614,1
95c88d4fabf305ec,1,25,blue,4685,1
95c88d4fabf305ec,1,26,red,3767,1
95c88d4fabf305ec,1,27,red,3032,1
95c88d4fabf305ec,1,28,blue,3329,1
95c88d4fabf305ec,1,29,blue,4812,1
95c88d4fabf305ec,1,30,blue,2721,1
95c88d4fabf305ec,1,31,red,4135,1
95c88d4fabf305ec,1,32,blue,5083,1
95c88d4fabf305ec,1,33,red,5762,1
95c88d4fabf305ec,1,34,red,5403,1
95c88d4fabf305ec,1,35,red,3975,1
95c88d4fabf305ec,1,36,red,3033,1
95c88d4fabf305ec,1,37,red,3487,1
95c88d4fabf305ec,1,38,red,2890,1
95c88d4fabf305ec,1,39,blue,5499,1
95c88d4fabf305ec,1,40,red,5666,1
95c88d4fabf305ec,2,1,red,4357,1
95c88d4fabf305ec,2,2,red,5293,1
95c88d4fabf305ec,2,3,red,4285,1
95c88d4fabf305ec,2,4,red,3980,1
95c88d4fabf305ec,2,5,red,3138,1
95c88d4fabf305ec,2,6,red,5459,1
95c88d4fabf305ec,2,7,blue,2804,1
95c88d4fabf305ec,2,8,blue,4381,1
95c88d4fabf305ec,2,9,blue,3073,1
95c88d4fabf305ec,2,10,blue,5843,1
95c88d4fabf305ec,2,11,blue,8477,1
95c88d4fabf305ec,2,12,blue,4669,1
95c88d4fabf305ec,2,13,red,13371,1
95c88d4fabf305ec,2,14,red,3050,1
95c88d4fabf305ec,2,15,red,5339,1
95c88d4fabf305ec,2,16,blue,4885,1
95c88d4fabf305ec,2,17,red,3657,1
95c88d4fabf305ec,2,18,blue,5635,1
95c88d4fabf305ec,2,19,red,3737,1
95c88d4fabf305ec,2,20,red,2706,1
95c88d4fabf305ec,2,21,blue,5044,1
95c88d4fabf305ec,2,22,blue,5020,1
95c88d4fabf305ec,2,23,red,7982,1
95c88d4fabf305ec,2,24,blue,4740,1
95c88d4fabf305ec,2,25,blue,4182,1
95c88d4fabf305ec,2,26,blue,4661,1
95c88d4fabf305ec,2,27,blue,4278,1
95c88d4fabf305ec,2,28,blue,4844,1
95c88d4fabf305ec,2,29,red,17542,1
95c88d4fabf305ec,2,30,red,3057,1
95c88d4fabf305ec,2,31,red,5539,1
95c88d4fabf305ec,2,32,blue,4255,1
95c88d4fabf305ec,2,33,blue,11953,1
95c88d4fabf305ec,2,34,blue,5338,1
95c88d4fabf305ec,2,35,red,6602,1
95c88d4fabf305ec,2,36,red,4472,1
95c88d4fabf305ec,2,37,red,12739,1
95c88d4fabf305ec,2,38,blue,4135,1
95c88d4fabf305ec,2,39,blue,3344,1
95c88d4fabf305ec,2,40,red,22535,1
95c88d4fabf305ec,3,1,blue,5236,1
95c88d4fabf305ec,3,2,blue,3488,1
95c88d4fabf305ec,3,3,blue,13687,1
95c88d4fabf305ec,3,4,blue,5301,1
95c88d4fabf305ec,3,5,blue,3171,1
95c88d4fabf305ec,3,6,red,8239,1
95c88d4fabf305ec,3,7,blue,5900,1
95c88d4fabf305ec,3,8,red,5253,1
95c88d4fabf305ec,3,9,red,11416,1
95c88d4fabf305ec,3,10,blue,6952,1
95c88d4fabf305ec,3,11,red,7488,1
95c88d4fabf305ec,3,12,red,3600,1
95c88d4fabf305ec,3,13,red,4726,1
95c88d4fabf305ec,3,14,red,2889,1
95c88d4fabf305ec,3,15,red,4383,1
95c88d4fabf305ec,3,16,blue,5339,1
95c88d4fabf305ec,3,17,blue,5964,1
95c88d4fabf305ec,3,18,blue,5492,1
95c88d4fabf305ec,3,19,red,3968,1
95c88d4fabf305ec,3,20,red,4773,1
95c88d4fabf305ec,3,21,blue,3352,1
95c88d4fabf305ec,3,22,red,4502,1
95c88d4fabf305ec,3,23,blue,2714,1
95c88d4fabf305ec,3,24,blue,3904,1
95c88d4fabf305ec,3,25,blue,5356,1
95c88d4fabf305ec,3,26,blue,3625,1
95c88d4fabf305ec,3,27,blue,7129,1
95c88d4fabf305ec,3,28,red,4279,1
95c88d4fabf305ec,3,29,red,14361,1
95c88d4fabf305ec,3,30,red,3983,1
95c88d4fabf305ec,3,31,red,4064,1
95c88d4fabf305ec,3,32,blue,4062,1
95c88d4fabf305ec,3,33,blue,6435,1
95c88d4fabf305ec,3,34,red,4390,1
95c88d4fabf305ec,3,35,red,4678,1
95c88d4fabf305ec,3,36,blue,3904,1
95c88d4fabf305ec,3,37,red,4149,1
95c88d4fabf305ec,3,38,blue,4001,1
95c88d4fabf305ec,3,39,red,6387,1
95c88d4fabf305ec,3,40,red,3122,1
