id,block,trial,color,rt,is_opt
9f11e8c3bc762449,1,1,blue,5875,1
9f11e8c3bc762449,1,2,blue,4228,1
9f11e8c3bc762449,1,3,blue,7204,1
9f11e8c3bc762449,1,4,blue,4342,1
9f11e8c3bc762449,1,5,blue,6145,1
9f11e8c3bc762449,1,6,red,3297,1
9f11e8c3bc762449,1,7,red,5045,1
9f11e8c3bc762449,1,8,red,4164,1
9f11e8c3bc762449,1,9,blue,13397,1
9f11e8c3bc762449,1,10,blue,5019,1
9f11e8c3bc762449,1,11,blue,3289,1
9f11e8c3bc762449,1,12,blue,5886,1
9f11e8c3bc762449,1,13,red,4185,1
9f11e8c3bc762449,1,14,red,6185,1
9f11e8c3bc762449,1,15,red,4565,1
9f11e8c3bc762449,1,16,blue,4298,1
9f11e8c3bc762449,1,17,blue,2979,1
9f11e8c3bc762449,1,18,blue,8961,1
9f11e8c3bc762449,1,19,blue,3530,1
9f11e8c3bc762449,1,20,red,2450,1
9f11e8c3bc762449,1,21,red,4354,1
9f11e8c3bc762449,1,22,blue,3828,1
9f11e8c3bc762449,1,23,red,4788,1
9f11e8c3bc762449,1,24,red,3093,1
9f11e8c3bc762449,1,25,blue,7958,1
9f11e8c3bc762449,1,26,red,6881,1
9f11e8c3bc762449,1,27,blue,3615,1
9f11e8c3bc762449,1,28,blue,3159,1
9f11e8c3bc762449,1,29,red,4322,1
9f11e8c3bc762449,1,30,red,5688,1
9f11e8c3bc762449,1,31,red,2883,1
9f11e8c3bc762449,1,32,blue,5560,1
9f11e8c3bc762449,1,33,blue,3066,1
9f11e8c3bc762449,1,34,red,3066,1
9f11e8c3bc762449,1,35,blue,3913,1
9f11e8c3bc762449,1,36,red,2945,1
9f11e8c3bc762449,1,37,red,2944,1
9f11e8c3bc762449,1,38,red,4523,1
9f11e8c3bc762449,1,39,red,4993,1
9f11e8c3bc762449,1,40,red,5357,1
9f11e8c3bc762449,2,1,blue,4246,1
9f11e8c3bc762449,2,2,red,4695,1
9f11e8c3bc762449,2,3,red,4551,1
9f11e8c3bc762449,2,4,red,5708,1
9f11e8c3bc762449,2,5,red,7557,1
9f11e8c3bc762449,2,6,blue,4613,1
9f11e8c3bc762449,2,7,red,6115,1
9f11e8c3bc762449,2,8,red,19665,1
9f11e8c3bc762449,2,9,red,10065,1
9f11e8c3bc762449,2,10,blue,3613,1
9f11e8c3bc762449,2,11,blue,6360,1
9f11e8c3bc762449,2,12,blue,2609,1
9f11e8c3bc762449,2,13,blue,3749,1
9f11e8c3bc762449,2,14,red,3300,1
9f11e8c3bc762449,2,15,red,3627,1
9f11e8c3bc762449,2,16,blue,7067,1
9f11e8c3bc762449,2,17,red,2784,1
9f11e8c3bc762449,2,18,blue,5786,1
9f11e8c3bc762449,2,19,blue,5104,1
9f11e8c3bc762449,2,20,blue,3431,1
9f11e8c3bc762449,2,21,blue,5612,1
9f11e8c3bc762449,2,22,blue,4682,1
9f11e8c3bc762449,2,23,red,4708,1
9f11e8c3bc762449,2,24,red,2857,1
9f11e8c3bc762449,2,25,red,9249,1
9f11e8c3bc762449,2,26,blue,8059,1
9f11e8c3bc762449,2,27,blue,5184,1
9f11e8c3bc762449,2,28,blue,5303,1
9f11e8c3bc762449,2,29,red,8461,1
9f11e8c3bc762449,2,30,red,7386,1
9f11e8c3bc762449,2,31,red,8919,1
9f11e8c3bc762449,2,32,red,5714,1
9f11e8c3bc762449,2,33,blue,4625,1
9f11e8c3bc762449,2,34,blue,5398,1
9f11e8c3bc762449,2,35,blue,4480,1
9f11e8c3bc762449,2,36,red,5117,1
9f11e8c3bc762449,2,37,blue,4124,1
9f11e8c3bc762449,2,38,red,4271,1
9f11e8c3bc762449,2,39,red,7026,1
9f11e8c3bc762449,2,40,blue,14704,1
9f11e8c3bc762449,3,1,blue,3307,1
9f11e8c3bc762449,3,2,blue,3677,1
9f11e8c3bc762449,3,3,red,6229,1
9f11e8c3bc762449,3,4,red,4149,1
9f11e8c3bc762449,3,5,blue,11685,1
9f11e8c3bc762449,3,6,red,5742,1
9f11e8c3bc762449,3,7,red,4687,1
9f11e8c3bc762449,3,8,red,4889,1
9f11e8c3bc762449,3,9,red,4868,1
9f11e8c3bc762449,3,10,red,5330,1
9f11e8c3bc762449,3,11,blue,32429,0
9f11e8c3bc762449,3,12,blue,9802,1
9f11e8c3bc762449,3,13,red,9250,1
9f11e8c3bc762449,3,14,blue,4164,1
9f11e8c3bc762449,3,15,blue,31900,0
9f11e8c3bc762449,3,16,blue,8368,1
9f11e8c3bc762449,3,17,blue,3161,1
9f11e8c3bc762449,3,18,red,4251,1
9f11e8c3bc762449,3,19,blue,4556,1
9f11e8c3bc762449,3,20,blue,21464,1
9f11e8c3bc762449,3,21,red,4003,1
9f11e8c3bc762449,3,22,blue,4897,1
9f11e8c3bc762449,3,23,blue,9363,1
9f11e8c3bc762449,3,24,blue,11530,1
9f11e8c3bc762449,3,25,blue,26293,0
9f11e8c3bc762449,3,26,blue,7848,1
9f11e8c3bc762449,3,27,red,4396,1
9f11e8c3bc762449,3,28,red,13424,1
9f11e8c3bc762449,3,29,blue,6146,1
9f11e8c3bc762449,3,30,blue,6872,1
9f11e8c3bc762449,3,31,red,4108,1
9f11e8c3bc762449,3,32,blue,3996,1
9f11e8c3bc762449,3,33,red,5312,1
9f11e8c3bc762449,3,34,blue,5599,1
9f11e8c3bc762449,3,35,blue,5075,1
9f11e8c3bc762449,3,36,red,6735,1
9f11e8c3bc762449,3,37,red,7292,1
9f11e8c3bc762449,3,38,blue,6703,1
9f11e8c3bc762449,3,39,blue,27391,0
9f11e8c3bc762449,3,40,blue,4234,1
