id,block,trial,color,rt,is_opt
ab7b56bb8e907cbd,1,1,red,3573,1
ab7b56bb8e907cbd,1,2,blue,3340,1
ab7b56bb8e907cbd,1,3,blue,3230,1
ab7b56bb8e907cbd,1,4,red,4813,1
ab7b56bb8e907cbd,1,5,red,2199,1
ab7b56bb8e907cbd,1,6,red,8100,1
ab7b56bb8e907cbd,1,7,red,4541,1
ab7b56bb8e907cbd,1,8,blue,4143,1
ab7b56bb8e907cbd,1,9,blue,3498,1
ab7b56bb8e907cbd,1,10,blue,3210,1
ab7b56bb8e907cbd,1,11,blue,2600,1
ab7b56bb8e907cbd,1,12,red,5306,1
ab7b56bb8e907cbd,1,13,blue,5895,1
ab7b56bb8e907cbd,1,14,blue,3749,1
ab7b56bb8e907cbd,1,15,red,3262,1
ab7b56bb8e907cbd,1,16,red,2796,1
ab7b56bb8e907cbd,1,17,blue,2886,1
ab7b56bb8e907cbd,1,18,blue,3012,1
ab7b56bb8e907cbd,1,19,red,2958,1
ab7b56bb8e907cbd,1,20,blue,2640,1
ab7b56bb8e907cbd,1,21,red,3270,1
ab7b56bb8e907cbd,1,22,red,6156,1
ab7b56bb8e907cbd,1,23,blue,4333,1
ab7b56bb8e907cbd,1,24,blue,3932,1
ab7b56bb8e907cbd,1,25,blue,4651,1
ab7b56bb8e907cbd,1,26,red,4914,1
ab7b56bb8e907cbd,1,27,blue,3334,1
ab7b56bb8e907cbd,1,28,blue,5648,1
ab7b56bb8e907cbd,1,29,red,3368,1
ab7b56bb8e907cbd,1,30,red,6301,1
ab7b56bb8e907cbd,1,31,blue,3432,1
ab7b56bb8e907cbd,1,32,red,5247,1
ab7b56bb8e907cbd,1,33,red,7300,1
ab7b56bb8e907cbd,1,34,blue,3001,1
ab7b56bb8e907cbd,1,35,blue,5557,1
ab7b56bb8e907cbd,1,36,blue,3557,1
ab7b56bb8e907cbd,1,37,red,3057,1
ab7b56bb8e907cbd,1,38,red,4104,1
ab7b56bb8e907cbd,1,39,red,4022,1
ab7b56bb8e907cbd,1,40,red,3433,1
ab7b56bb8e907cbd,2,1,red,4161,1
ab7b56bb8e907cbd,2,2,blue,2278,1
ab7b56bb8e907cbd,2,3,blue,4062,1
ab7b56bb8e907cbd,2,4,red,3839,1
ab7b56bb8e907cbd,2,5,blue,4070,1
ab7b56bb8e907cbd,2,6,red,4863,1
ab7b56bb8e907cbd,2,7,red,3668,1
ab7b56bb8e907cbd,2,8,red,4225,1
ab7b56bb8e907cbd,2,9,red,4528,1
ab7b56bb8e907cbd,2,10,blue,2975,1
ab7b56bb8e907cbd,2,11,red,5371,1
ab7b56bb8e907cbd,2,12,blue,5950,1
ab7b56bb8e907cbd,2,13,blue,3661,1
ab7b56bb8e907cbd,2,14,blue,3982,1
ab7b56bb8e907cbd,2,15,red,3555,1
ab7b56bb8e907cbd,2,16,blue,3025,1
ab7b56bb8e907cbd,2,17,blue,3597,1
ab7b56bb8e907cbd,2,18,red,3702,1
ab7b56bb8e907cbd,2,19,red,4112,1
ab7b56bb8e907cbd,2,20,red,5010,1
ab7b56bb8e907cbd,2,21,red,4398,1
ab7b56bb8e907cbd,2,22,red,4888,1
ab7b56bb8e907cbd,2,23,blue,4962,1
ab7b56bb8e907cbd,2,24,red,3556,1
ab7b56bb8e907cbd,2,25,red,3848,1
ab7b56bb8e907cbd,2,26,blue,3613,1
ab7b56bb8e907cbd,2,27,blue,4758,1
ab7b56bb8e907cbd,2,28,blue,3204,1
ab7b56bb8e907cbd,2,29,blue,3821,1
ab7b56bb8e907cbd,2,30,blue,3851,1
ab7b56bb8e907cbd,2,31,red,8706,1
ab7b56bb8e907cbd,2,32,blue,3212,1
ab7b56bb8e907cbd,2,33,blue,3254,1
