id,block,trial,color,rt,is_opt
abfb9a77af5582b6,1,1,red,4723,1
abfb9a77af5582b6,1,2,blue,3154,1
abfb9a77af5582b6,1,3,red,4486,1
abfb9a77af5582b6,1,4,blue,6399,1
abfb9a77af5582b6,1,5,blue,4993,1
abfb9a77af5582b6,1,6,blue,5074,1
abfb9a77af5582b6,1,7,red,3661,1
abfb9a77af5582b6,1,8,red,5973,1
abfb9a77af5582b6,1,9,red,4363,1
abfb9a77af5582b6,1,10,red,3521,1
abfb9a77af5582b6,1,11,blue,3963,1
abfb9a77af5582b6,1,12,blue,3776,1
abfb9a77af5582b6,1,13,blue,2918,1
abfb9a77af5582b6,1,14,red,8178,1
abfb9a77af5582b6,1,15,blue,5671,1
abfb9a77af5582b6,1,16,red,4437,1
abfb9a77af5582b6,1,17,red,4338,1
abfb9a77af5582b6,1,18,blue,4191,1
abfb9a77af5582b6,1,19,red,4477,1
abfb9a77af5582b6,1,20,blue,2949,1
abfb9a77af5582b6,1,21,red,3955,1
abfb9a77af5582b6,1,22,blue,3391,1
abfb9a77af5582b6,1,23,red,3978,1
abfb9a77af5582b6,1,24,red,3243,1
abfb9a77af5582b6,1,25,blue,4436,1
abfb9a77af5582b6,1,26,blue,5342,1
abfb9a77af5582b6,1,27,blue,13463,1
abfb9a77af5582b6,1,28,blue,3912,1
abfb9a77af5582b6,1,29,red,2394,1
abfb9a77af5582b6,1,30,red,4500,1
abfb9a77af5582b6,1,31,blue,2949,1
abfb9a77af5582b6,1,32,red,6648,1
abfb9a77af5582b6,1,33,red,5317,1
abfb9a77af5582b6,1,34,blue,4647,1
abfb9a77af5582b6,1,35,red,6052,1
abfb9a77af5582b6,1,36,red,3372,1
abfb9a77af5582b6,1,37,blue,4770,1
abfb9a77af5582b6,1,38,blue,5351,1
abfb9a77af5582b6,1,39,blue,3112,1
abfb9a77af5582b6,1,40,red,6402,1
abfb9a77af5582b6,2,1,blue,2622,1
abfb9a77af5582b6,2,2,blue,2492,1
abfb9a77af5582b6,2,3,blue,5626,1
abfb9a77af5582b6,2,4,red,3888,1
abfb9a77af5582b6,2,5,blue,5651,1
abfb9a77af5582b6,2,6,blue,3944,1
abfb9a77af5582b6,2,7,blue,3152,1
abfb9a77af5582b6,2,8,blue,5750,1
abfb9a77af5582b6,2,9,blue,3961,1
abfb9a77af5582b6,2,10,red,7065,1
abfb9a77af5582b6,2,11,red,3970,1
abfb9a77af5582b6,2,12,red,4647,1
abfb9a77af5582b6,2,13,red,5725,1
abfb9a77af5582b6,2,14,blue,3382,1
abfb9a77af5582b6,2,15,blue,3781,1
abfb9a77af5582b6,2,16,blue,4019,1
abfb9a77af5582b6,2,17,blue,5105,1
abfb9a77af5582b6,2,18,blue,5104,1
abfb9a77af5582b6,2,19,red,6354,1
abfb9a77af5582b6,2,20,red,4712,1
abfb9a77af5582b6,2,21,blue,3478,1
abfb9a77af5582b6,2,22,blue,2719,1
abfb9a77af5582b6,2,23,red,3479,1
abfb9a77af5582b6,2,24,blue,4745,1
abfb9a77af5582b6,2,25,red,2457,1
abfb9a77af5582b6,2,26,red,5292,1
abfb9a77af5582b6,2,27,blue,3716,1
abfb9a77af5582b6,2,28,red,3609,1
abfb9a77af5582b6,2,29,blue,5177,1
abfb9a77af5582b6,2,30,red,2694,1
abfb9a77af5582b6,2,31,red,3895,1
abfb9a77af5582b6,2,32,red,2752,1
abfb9a77af5582b6,2,33,blue,4269,1
abfb9a77af5582b6,2,34,red,4222,1
abfb9a77af5582b6,2,35,red,4595,1
abfb9a77af5582b6,2,36,red,4873,1
abfb9a77af5582b6,2,37,red,4752,1
abfb9a77af5582b6,2,38,blue,3071,1
abfb9a77af5582b6,2,39,red,5094,1
abfb9a77af5582b6,2,40,red,2523,1
abfb9a77af5582b6,3,1,blue,3372,1
abfb9a77af5582b6,3,2,blue,3421,1
abfb9a77af5582b6,3,3,red,2531,1
abfb9a77af5582b6,3,4,red,3902,1
abfb9a77af5582b6,3,5,red,3633,1
abfb9a77af5582b6,3,6,red,3675,1
abfb9a77af5582b6,3,7,red,5714,1
abfb9a77af5582b6,3,8,blue,8075,1
abfb9a77af5582b6,3,9,red,3952,1
abfb9a77af5582b6,3,10,red,7249,1
abfb9a77af5582b6,3,11,blue,6034,1
abfb9a77af5582b6,3,12,red,4661,1
abfb9a77af5582b6,3,13,red,5462,1
abfb9a77af5582b6,3,14,red,2882,1
abfb9a77af5582b6,3,15,blue,4505,1
abfb9a77af5582b6,3,16,red,5037,1
abfb9a77af5582b6,3,17,blue,4000,1
abfb9a77af5582b6,3,18,blue,2417,1
abfb9a77af5582b6,3,19,blue,4123,1
abfb9a77af5582b6,3,20,red,4817,1
abfb9a77af5582b6,3,21,blue,5837,1
abfb9a77af5582b6,3,22,blue,5901,1
abfb9a77af5582b6,3,23,red,5911,1
abfb9a77af5582b6,3,24,blue,2791,1
abfb9a77af5582b6,3,25,red,5567,1
