id,block,trial,color,rt,is_opt
bc3928a543969840,1,1,blue,10480,0
bc3928a543969840,1,2,blue,4230,1
bc3928a543969840,1,3,blue,9786,0
bc3928a543969840,1,4,red,11717,0
bc3928a543969840,1,5,red,6160,0
bc3928a543969840,1,6,blue,10198,0
bc3928a543969840,1,7,red,6414,0
bc3928a543969840,1,8,red,8417,0
bc3928a543969840,1,9,red,8883,0
bc3928a543969840,1,10,blue,8969,0
bc3928a543969840,1,11,red,12055,0
bc3928a543969840,1,12,blue,8425,0
bc3928a543969840,1,13,red,6683,0
bc3928a543969840,1,14,blue,16812,0
bc3928a543969840,1,15,blue,5793,0
bc3928a543969840,1,16,blue,6084,0
bc3928a543969840,1,17,blue,7800,0
bc3928a543969840,1,18,blue,6834,0
bc3928a543969840,1,19,red,8123,0
bc3928a543969840,1,20,red,5977,0
bc3928a543969840,1,21,red,4618,1
bc3928a543969840,1,22,red,8181,0
bc3928a543969840,1,23,blue,16369,0
bc3928a543969840,1,24,blue,6878,0
bc3928a543969840,1,25,red,11066,0
bc3928a543969840,1,26,red,8350,0
bc3928a543969840,1,27,red,12942,0
bc3928a543969840,1,28,blue,10262,0
bc3928a543969840,1,29,blue,8167,0
bc3928a543969840,1,30,blue,9076,0
bc3928a543969840,1,31,red,8306,0
bc3928a543969840,1,32,red,10115,0
bc3928a543969840,1,33,blue,9649,0
bc3928a543969840,1,34,red,12632,0
bc3928a543969840,1,35,red,5806,0
bc3928a543969840,1,36,red,8990,0
bc3928a543969840,1,37,blue,7476,0
bc3928a543969840,1,38,red,10341,0
bc3928a543969840,1,39,blue,7555,0
bc3928a543969840,1,40,blue,6866,0
bc3928a543969840,2,1,blue,5645,1
bc3928a543969840,2,2,blue,7203,0
bc3928a543969840,2,3,red,6872,0
bc3928a543969840,2,4,blue,9651,0
bc3928a543969840,2,5,red,8342,0
bc3928a543969840,2,6,red,7122,0
bc3928a543969840,2,7,blue,8468,0
bc3928a543969840,2,8,red,7360,0
bc3928a543969840,2,9,red,6935,0
bc3928a543969840,2,10,blue,7146,0
bc3928a543969840,2,11,blue,16530,0
bc3928a543969840,2,12,blue,7538,0
bc3928a543969840,2,13,red,6768,0
bc3928a543969840,2,14,red,6125,0
bc3928a543969840,2,15,blue,6365,0
bc3928a543969840,2,16,red,6124,0
bc3928a543969840,2,17,blue,3452,1
bc3928a543969840,2,18,red,11299,1
bc3928a543969840,2,19,red,4894,0
bc3928a543969840,2,20,red,7923,0
bc3928a543969840,2,21,red,5776,0
bc3928a543969840,2,22,red,7900,0
bc3928a543969840,2,23,red,7602,0
bc3928a543969840,2,24,red,13483,0
bc3928a543969840,2,25,blue,8040,0
bc3928a543969840,2,26,blue,7273,0
bc3928a543969840,2,27,blue,5807,0
bc3928a543969840,2,28,blue,2149,1
bc3928a543969840,2,29,blue,3924,1
bc3928a543969840,2,30,blue,9490,0
bc3928a543969840,2,31,blue,8125,0
bc3928a543969840,2,32,blue,7008,0
bc3928a543969840,2,33,blue,9750,0
bc3928a543969840,2,34,red,5242,0
bc3928a543969840,2,35,blue,8805,0
bc3928a543969840,2,36,blue,8441,0
bc3928a543969840,2,37,blue,14943,0
bc3928a543969840,2,38,blue,8578,0
bc3928a543969840,2,39,red,7291,0
bc3928a543969840,2,40,blue,5768,0
bc3928a543969840,3,1,blue,7191,0
bc3928a543969840,3,2,blue,10972,0
bc3928a543969840,3,3,red,5817,0
bc3928a543969840,3,4,blue,6121,0
bc3928a543969840,3,5,red,6616,0
bc3928a543969840,3,6,red,5750,0
bc3928a543969840,3,7,blue,8394,0
bc3928a543969840,3,8,red,6307,0
bc3928a543969840,3,9,blue,6437,0
bc3928a543969840,3,10,red,6800,0
bc3928a543969840,3,11,red,8981,0
bc3928a543969840,3,12,red,7445,0
bc3928a543969840,3,13,red,4659,1
bc3928a543969840,3,14,blue,6444,0
bc3928a543969840,3,15,blue,8941,0
bc3928a543969840,3,16,blue,11285,0
bc3928a543969840,3,17,red,5262,0
bc3928a543969840,3,18,blue,28103,0
bc3928a543969840,3,19,red,7708,0
bc3928a543969840,3,20,blue,6761,0
bc3928a543969840,3,21,blue,6677,0
bc3928a543969840,3,22,red,8973,0
bc3928a543969840,3,23,red,5392,0
bc3928a543969840,3,24,red,7117,0
bc3928a543969840,3,25,blue,8116,0
bc3928a543969840,3,26,red,6946,0
bc3928a543969840,3,27,blue,7433,0
bc3928a543969840,3,28,red,6235,0
bc3928a543969840,3,29,red,7080,0
bc3928a543969840,3,30,blue,6915,0
bc3928a543969840,3,31,blue,7595,0
bc3928a543969840,3,32,red,7085,0
bc3928a543969840,3,33,red,6173,0
bc3928a543969840,3,34,red,4849,0
bc3928a543969840,3,35,red,3819,1
bc3928a543969840,3,36,blue,5456,0
bc3928a543969840,3,37,blue,3159,1
bc3928a543969840,3,38,blue,2365,1
bc3928a543969840,3,39,blue,7131,0
bc3928a543969840,3,40,blue,6075,0
