id,version,block,trial,side,rt,is_opt
07746831cffbed99,0,1,1,left,5285,0
07746831cffbed99,0,1,2,right,5424,0
07746831cffbed99,0,1,3,left,5878,0
07746831cffbed99,0,1,4,right,5611,0
07746831cffbed99,0,1,5,right,4936,0
07746831cffbed99,0,1,6,right,6764,0
07746831cffbed99,0,1,7,left,6195,0
07746831cffbed99,0,1,8,left,5675,0
07746831cffbed99,0,1,9,right,5537,0
07746831cffbed99,0,1,10,left,6082,0
07746831cffbed99,0,1,11,left,6138,0
07746831cffbed99,0,1,12,right,5846,0
07746831cffbed99,0,1,13,left,6812,0
07746831cffbed99,0,1,14,left,5025,0
07746831cffbed99,0,1,15,right,6195,0
07746831cffbed99,0,1,16,left,5309,0
07746831cffbed99,0,1,17,left,6251,0
07746831cffbed99,0,1,18,right,7254,0
07746831cffbed99,0,1,19,right,5837,0
07746831cffbed99,0,1,20,left,5187,0
07746831cffbed99,0,1,21,right,3846,1
07746831cffbed99,0,1,22,right,2887,1
07746831cffbed99,0,1,23,left,3074,1
07746831cffbed99,0,1,24,right,3326,1
07746831cffbed99,0,1,25,right,4009,1
07746831cffbed99,0,1,26,left,4041,1
07746831cffbed99,0,1,27,right,2788,1
07746831cffbed99,0,1,28,left,2545,1
07746831cffbed99,0,1,29,right,3203,1
07746831cffbed99,0,1,30,left,3456,1
07746831cffbed99,0,1,31,left,3773,1
07746831cffbed99,0,1,32,right,2416,1
07746831cffbed99,0,1,33,left,2382,1
07746831cffbed99,0,1,34,right,3846,1
07746831cffbed99,0,1,35,left,2317,1
07746831cffbed99,0,1,36,left,2967,1
07746831cffbed99,0,1,37,left,2553,1
07746831cffbed99,0,1,38,left,2113,1
07746831cffbed99,0,1,39,right,3414,1
07746831cffbed99,0,1,40,left,3732,1
07746831cffbed99,0,2,1,right,2667,1
07746831cffbed99,0,2,2,left,4806,1
07746831cffbed99,0,2,3,left,2643,1
07746831cffbed99,0,2,4,left,3359,1
07746831cffbed99,0,2,5,left,2993,1
07746831cffbed99,0,2,6,right,3333,1
07746831cffbed99,0,2,7,right,2270,1
07746831cffbed99,0,2,8,right,3602,1
07746831cffbed99,0,2,9,left,3276,1
07746831cffbed99,0,2,10,right,2780,1
07746831cffbed99,0,2,11,left,3471,1
07746831cffbed99,0,2,12,left,3057,1
07746831cffbed99,0,2,13,left,2935,1
07746831cffbed99,0,2,14,left,2325,1
07746831cffbed99,0,2,15,right,3138,1
07746831cffbed99,0,2,16,left,2553,1
07746831cffbed99,0,2,17,right,2699,1
07746831cffbed99,0,2,18,left,2377,1
07746831cffbed99,0,2,19,right,2374,1
07746831cffbed99,0,2,20,right,3269,1
07746831cffbed99,0,2,21,left,2187,1
07746831cffbed99,0,2,22,left,2432,1
07746831cffbed99,0,2,23,right,3381,1
07746831cffbed99,0,2,24,right,3488,1
07746831cffbed99,0,2,25,right,3716,1
07746831cffbed99,0,2,26,right,3456,1
07746831cffbed99,0,2,27,left,2732,1
07746831cffbed99,0,2,28,left,2871,1
07746831cffbed99,0,2,29,right,3138,1
07746831cffbed99,0,2,30,right,2666,1
07746831cffbed99,0,2,31,right,3813,1
07746831cffbed99,0,2,32,left,2903,1
07746831cffbed99,0,2,33,left,2888,1
07746831cffbed99,0,2,34,right,2203,1
07746831cffbed99,0,2,35,left,2830,1
07746831cffbed99,0,2,36,left,2389,1
07746831cffbed99,0,2,37,left,2211,1
07746831cffbed99,0,2,38,right,2684,1
07746831cffbed99,0,2,39,right,2489,1
07746831cffbed99,0,2,40,right,2691,1
07746831cffbed99,0,3,1,right,2968,1
07746831cffbed99,0,3,2,left,3212,1
07746831cffbed99,0,3,3,left,5627,0
07746831cffbed99,0,3,4,right,3147,1
07746831cffbed99,0,3,5,right,2139,1
07746831cffbed99,0,3,6,left,3042,1
07746831cffbed99,0,3,7,left,2960,1
07746831cffbed99,0,3,8,right,2781,1
07746831cffbed99,0,3,9,left,2194,1
07746831cffbed99,0,3,10,right,2195,1
07746831cffbed99,0,3,11,left,2341,1
07746831cffbed99,0,3,12,left,2162,1
07746831cffbed99,0,3,13,left,2691,1
07746831cffbed99,0,3,14,right,2236,1
07746831cffbed99,0,3,15,right,2398,1
07746831cffbed99,0,3,16,right,3732,1
07746831cffbed99,0,3,17,right,3277,1
07746831cffbed99,0,3,18,left,3154,1
07746831cffbed99,0,3,19,right,3512,1
07746831cffbed99,0,3,20,left,2960,1
07746831cffbed99,0,3,21,right,3398,1
07746831cffbed99,0,3,22,left,2821,1
07746831cffbed99,0,3,23,right,2708,1
07746831cffbed99,0,3,24,right,2813,1
07746831cffbed99,0,3,25,left,2560,1
07746831cffbed99,0,3,26,left,2593,1
07746831cffbed99,0,3,27,right,2073,1
07746831cffbed99,0,3,28,right,2772,1
07746831cffbed99,0,3,29,left,2048,1
07746831cffbed99,0,3,30,right,2732,1
07746831cffbed99,0,3,31,right,2635,1
07746831cffbed99,0,3,32,left,2325,1
07746831cffbed99,0,3,33,left,2594,1
07746831cffbed99,0,3,34,right,2301,1
07746831cffbed99,0,3,35,left,2098,1
07746831cffbed99,0,3,36,left,2984,1
07746831cffbed99,0,3,37,right,2448,1
07746831cffbed99,0,3,38,left,2676,1
07746831cffbed99,0,3,39,left,3220,1
07746831cffbed99,0,3,40,left,3115,1
