id,version,block,trial,side,rt,is_opt
0e8389ec972aedd8,1,1,1,left,4444,1
0e8389ec972aedd8,1,1,2,right,4040,1
0e8389ec972aedd8,1,1,3,right,4320,1
0e8389ec972aedd8,1,1,4,right,2504,1
0e8389ec972aedd8,1,1,5,left,1987,1
0e8389ec972aedd8,1,1,6,left,2217,1
0e8389ec972aedd8,1,1,7,left,5203,1
0e8389ec972aedd8,1,1,8,left,2458,1
0e8389ec972aedd8,1,1,9,right,3148,1
0e8389ec972aedd8,1,1,10,left,5606,1
0e8389ec972aedd8,1,1,11,right,2449,1
0e8389ec972aedd8,1,1,12,right,5177,1
0e8389ec972aedd8,1,1,13,left,5311,1
0e8389ec972aedd8,1,1,14,right,6810,1
0e8389ec972aedd8,1,1,15,left,2225,1
0e8389ec972aedd8,1,1,16,right,1715,1
0e8389ec972aedd8,1,1,17,right,6743,1
0e8389ec972aedd8,1,1,18,left,6827,1
0e8389ec972aedd8,1,1,19,right,4403,1
0e8389ec972aedd8,1,1,20,right,2168,1
0e8389ec972aedd8,1,1,21,left,4609,1
0e8389ec972aedd8,1,1,22,right,5532,1
0e8389ec972aedd8,1,1,23,left,4064,1
0e8389ec972aedd8,1,1,24,right,2579,1
0e8389ec972aedd8,1,1,25,left,5054,1
0e8389ec972aedd8,1,1,26,left,3900,1
0e8389ec972aedd8,1,1,27,right,3075,1
0e8389ec972aedd8,1,1,28,left,5317,1
0e8389ec972aedd8,1,1,29,left,5128,1
0e8389ec972aedd8,1,1,30,right,1673,1
0e8389ec972aedd8,1,1,31,left,3831,1
0e8389ec972aedd8,1,1,32,right,3355,1
0e8389ec972aedd8,1,1,33,left,6964,1
0e8389ec972aedd8,1,1,34,right,3034,1
0e8389ec972aedd8,1,1,35,right,3478,1
0e8389ec972aedd8,1,1,36,left,1268,1
0e8389ec972aedd8,1,1,37,right,6043,1
0e8389ec972aedd8,1,1,38,left,3989,1
0e8389ec972aedd8,1,1,39,right,3511,1
0e8389ec972aedd8,1,1,40,left,5639,1
0e8389ec972aedd8,1,2,1,right,4328,1
0e8389ec972aedd8,1,2,2,right,7733,1
0e8389ec972aedd8,1,2,3,left,1787,1
0e8389ec972aedd8,1,2,4,left,6983,1
0e8389ec972aedd8,1,2,5,left,4567,1
0e8389ec972aedd8,1,2,6,right,5474,1
0e8389ec972aedd8,1,2,7,left,2185,1
0e8389ec972aedd8,1,2,8,right,3668,1
0e8389ec972aedd8,1,2,9,right,3767,1
0e8389ec972aedd8,1,2,10,left,1762,1
0e8389ec972aedd8,1,2,11,left,2976,1
0e8389ec972aedd8,1,2,12,left,5993,1
0e8389ec972aedd8,1,2,13,right,6850,1
0e8389ec972aedd8,1,2,14,right,5720,1
0e8389ec972aedd8,1,2,15,right,3123,1
0e8389ec972aedd8,1,2,16,left,2317,1
0e8389ec972aedd8,1,2,17,left,3890,1
0e8389ec972aedd8,1,2,18,left,2538,1
0e8389ec972aedd8,1,2,19,right,3577,1
0e8389ec972aedd8,1,2,20,right,4343,1
0e8389ec972aedd8,1,2,21,right,5383,1
0e8389ec972aedd8,1,2,22,left,3116,1
0e8389ec972aedd8,1,2,23,left,1376,1
0e8389ec972aedd8,1,2,24,left,4493,1
0e8389ec972aedd8,1,2,25,right,1121,1
0e8389ec972aedd8,1,2,26,left,3462,1
0e8389ec972aedd8,1,2,27,left,2712,1
0e8389ec972aedd8,1,2,28,right,4229,1
0e8389ec972aedd8,1,2,29,right,1311,1
0e8389ec972aedd8,1,2,30,left,1270,1
0e8389ec972aedd8,1,2,31,right,5664,1
0e8389ec972aedd8,1,2,32,right,5639,1
0e8389ec972aedd8,1,2,33,right,3207,0
0e8389ec972aedd8,1,2,34,right,5193,1
0e8389ec972aedd8,1,2,35,right,3651,1
0e8389ec972aedd8,1,2,36,right,2623,1
0e8389ec972aedd8,1,2,37,left,6454,1
0e8389ec972aedd8,1,2,38,left,1888,1
0e8389ec972aedd8,1,2,39,right,4030,1
0e8389ec972aedd8,1,2,40,left,3749,1
0e8389ec972aedd8,1,3,1,left,5267,0
0e8389ec972aedd8,1,3,2,right,3590,1
0e8389ec972aedd8,1,3,3,right,5712,1
0e8389ec972aedd8,1,3,4,right,5109,1
0e8389ec972aedd8,1,3,5,right,4517,1
0e8389ec972aedd8,1,3,6,left,2300,1
0e8389ec972aedd8,1,3,7,left,4954,1
0e8389ec972aedd8,1,3,8,right,3653,1
0e8389ec972aedd8,1,3,9,left,6232,1
0e8389ec972aedd8,1,3,10,right,5844,1
0e8389ec972aedd8,1,3,11,right,5277,1
0e8389ec972aedd8,1,3,12,left,2762,1
0e8389ec972aedd8,1,3,13,right,5745,1
0e8389ec972aedd8,1,3,14,left,2382,1
0e8389ec972aedd8,1,3,15,right,4986,1
0e8389ec972aedd8,1,3,16,left,6075,1
0e8389ec972aedd8,1,3,17,right,1740,1
0e8389ec972aedd8,1,3,18,right,1920,1
0e8389ec972aedd8,1,3,19,left,5392,1
0e8389ec972aedd8,1,3,20,left,2506,1
0e8389ec972aedd8,1,3,21,right,1822,1
0e8389ec972aedd8,1,3,22,left,5834,1
0e8389ec972aedd8,1,3,23,right,5786,1
0e8389ec972aedd8,1,3,24,right,6420,1
0e8389ec972aedd8,1,3,25,left,2993,1
0e8389ec972aedd8,1,3,26,left,4311,1
0e8389ec972aedd8,1,3,27,left,2530,1
0e8389ec972aedd8,1,3,28,left,5974,1
0e8389ec972aedd8,1,3,29,right,3932,1
0e8389ec972aedd8,1,3,30,left,1492,1
0e8389ec972aedd8,1,3,31,left,3413,1
0e8389ec972aedd8,1,3,32,right,3142,1
0e8389ec972aedd8,1,3,33,right,2662,1
0e8389ec972aedd8,1,3,34,left,3073,1
0e8389ec972aedd8,1,3,35,left,1698,1
0e8389ec972aedd8,1,3,36,left,2943,1
0e8389ec972aedd8,1,3,37,right,5827,1
0e8389ec972aedd8,1,3,38,right,7559,1
0e8389ec972aedd8,1,3,39,left,2423,1
0e8389ec972aedd8,1,3,40,left,4137,1
