id,version,block,trial,side,rt,is_opt
148f883b8afcc9c9,0,1,1,right,2546,1
148f883b8afcc9c9,0,1,2,right,2792,1
148f883b8afcc9c9,0,1,3,left,3147,1
148f883b8afcc9c9,0,1,4,left,2601,1
148f883b8afcc9c9,0,1,5,left,1863,1
148f883b8afcc9c9,0,1,6,left,1762,1
148f883b8afcc9c9,0,1,7,right,2978,1
148f883b8afcc9c9,0,1,8,left,1625,1
148f883b8afcc9c9,0,1,9,left,1979,1
148f883b8afcc9c9,0,1,10,left,2618,1
148f883b8afcc9c9,0,1,11,left,2937,1
148f883b8afcc9c9,0,1,12,right,2623,1
148f883b8afcc9c9,0,1,13,right,1589,1
148f883b8afcc9c9,0,1,14,right,2706,1
148f883b8afcc9c9,0,1,15,left,2253,1
148f883b8afcc9c9,0,1,16,left,2489,1
148f883b8afcc9c9,0,1,17,right,1992,1
148f883b8afcc9c9,0,1,18,left,2383,1
148f883b8afcc9c9,0,1,19,left,2359,1
148f883b8afcc9c9,0,1,20,right,2004,1
148f883b8afcc9c9,0,1,21,left,2314,1
148f883b8afcc9c9,0,1,22,right,2593,1
148f883b8afcc9c9,0,1,23,left,2450,1
148f883b8afcc9c9,0,1,24,left,3180,1
148f883b8afcc9c9,0,1,25,right,3289,1
148f883b8afcc9c9,0,1,26,left,2661,1
148f883b8afcc9c9,0,1,27,right,2143,1
148f883b8afcc9c9,0,1,28,right,1545,1
148f883b8afcc9c9,0,1,29,right,2155,1
148f883b8afcc9c9,0,1,30,right,2071,1
148f883b8afcc9c9,0,1,31,right,2219,1
148f883b8afcc9c9,0,1,32,left,1801,1
148f883b8afcc9c9,0,1,33,left,2424,1
148f883b8afcc9c9,0,1,34,right,2395,1
148f883b8afcc9c9,0,1,35,right,2653,1
148f883b8afcc9c9,0,1,36,right,1859,1
148f883b8afcc9c9,0,1,37,right,1866,1
148f883b8afcc9c9,0,1,38,left,2654,1
148f883b8afcc9c9,0,1,39,right,1559,1
148f883b8afcc9c9,0,1,40,left,2755,1
148f883b8afcc9c9,0,2,1,right,2214,1
148f883b8afcc9c9,0,2,2,right,2404,1
148f883b8afcc9c9,0,2,3,right,2954,1
148f883b8afcc9c9,0,2,4,left,2393,1
148f883b8afcc9c9,0,2,5,left,2740,1
148f883b8afcc9c9,0,2,6,right,2271,1
148f883b8afcc9c9,0,2,7,left,2410,1
148f883b8afcc9c9,0,2,8,right,2156,1
148f883b8afcc9c9,0,2,9,right,2134,1
148f883b8afcc9c9,0,2,10,right,2281,1
148f883b8afcc9c9,0,2,11,right,3251,1
148f883b8afcc9c9,0,2,12,left,2035,1
148f883b8afcc9c9,0,2,13,left,2209,1
148f883b8afcc9c9,0,2,14,left,1833,1
148f883b8afcc9c9,0,2,15,left,2453,1
148f883b8afcc9c9,0,2,16,right,2516,1
148f883b8afcc9c9,0,2,17,left,1877,1
148f883b8afcc9c9,0,2,18,right,1894,1
148f883b8afcc9c9,0,2,19,right,1953,1
148f883b8afcc9c9,0,2,20,left,2379,1
148f883b8afcc9c9,0,2,21,right,1842,1
148f883b8afcc9c9,0,2,22,right,3125,1
148f883b8afcc9c9,0,2,23,left,1836,1
148f883b8afcc9c9,0,2,24,right,1716,1
148f883b8afcc9c9,0,2,25,left,1921,1
148f883b8afcc9c9,0,2,26,right,1934,1
148f883b8afcc9c9,0,2,27,left,2337,1
148f883b8afcc9c9,0,2,28,left,2839,1
148f883b8afcc9c9,0,2,29,right,1999,1
148f883b8afcc9c9,0,2,30,right,3995,0
148f883b8afcc9c9,0,2,31,right,2588,1
148f883b8afcc9c9,0,2,32,right,3601,0
148f883b8afcc9c9,0,2,33,right,1892,1
148f883b8afcc9c9,0,2,34,left,1730,1
148f883b8afcc9c9,0,2,35,left,2254,1
148f883b8afcc9c9,0,2,36,left,1704,1
148f883b8afcc9c9,0,2,37,left,2103,1
148f883b8afcc9c9,0,2,38,right,2077,1
148f883b8afcc9c9,0,2,39,right,1584,1
148f883b8afcc9c9,0,2,40,left,3026,1
148f883b8afcc9c9,0,3,1,left,1586,1
148f883b8afcc9c9,0,3,2,left,1938,1
148f883b8afcc9c9,0,3,3,right,2464,1
148f883b8afcc9c9,0,3,4,left,2533,1
148f883b8afcc9c9,0,3,5,right,2743,1
148f883b8afcc9c9,0,3,6,left,2740,1
148f883b8afcc9c9,0,3,7,left,1700,1
148f883b8afcc9c9,0,3,8,right,1725,1
148f883b8afcc9c9,0,3,9,right,1501,1
148f883b8afcc9c9,0,3,10,left,1379,1
148f883b8afcc9c9,0,3,11,right,1767,1
148f883b8afcc9c9,0,3,12,right,4536,0
148f883b8afcc9c9,0,3,13,right,2704,1
148f883b8afcc9c9,0,3,14,right,2007,1
148f883b8afcc9c9,0,3,15,left,2098,1
148f883b8afcc9c9,0,3,16,right,2514,1
148f883b8afcc9c9,0,3,17,left,1924,1
148f883b8afcc9c9,0,3,18,left,2801,1
148f883b8afcc9c9,0,3,19,left,2443,1
148f883b8afcc9c9,0,3,20,right,1610,1
148f883b8afcc9c9,0,3,21,left,1738,1
148f883b8afcc9c9,0,3,22,left,2611,1
148f883b8afcc9c9,0,3,23,left,2226,1
148f883b8afcc9c9,0,3,24,right,1574,1
148f883b8afcc9c9,0,3,25,left,2174,1
148f883b8afcc9c9,0,3,26,right,2682,1
148f883b8afcc9c9,0,3,27,right,2183,1
148f883b8afcc9c9,0,3,28,right,5014,0
148f883b8afcc9c9,0,3,29,left,2248,1
148f883b8afcc9c9,0,3,30,right,2661,1
148f883b8afcc9c9,0,3,31,right,2475,1
148f883b8afcc9c9,0,3,32,right,2054,1
148f883b8afcc9c9,0,3,33,right,2073,1
148f883b8afcc9c9,0,3,34,right,2134,1
148f883b8afcc9c9,0,3,35,left,2119,1
148f883b8afcc9c9,0,3,36,right,1700,1
