id,version,block,trial,side,rt,is_opt
2ac28df568b62f5a,1,1,1,left,5471,1
2ac28df568b62f5a,1,1,2,left,4140,0
2ac28df568b62f5a,1,1,3,right,5150,1
2ac28df568b62f5a,1,1,4,right,2712,1
2ac28df568b62f5a,1,1,5,left,6470,1
2ac28df568b62f5a,1,1,6,left,1812,1
2ac28df568b62f5a,1,1,7,right,3001,1
2ac28df568b62f5a,1,1,8,right,4535,1
2ac28df568b62f5a,1,1,9,right,2173,1
2ac28df568b62f5a,1,1,10,right,5755,1
2ac28df568b62f5a,1,1,11,left,1742,1
2ac28df568b62f5a,1,1,12,right,3072,1
2ac28df568b62f5a,1,1,13,left,4575,1
2ac28df568b62f5a,1,1,14,right,3754,1
2ac28df568b62f5a,1,1,15,right,5358,1
2ac28df568b62f5a,1,1,16,right,3355,1
2ac28df568b62f5a,1,1,17,left,1444,1
2ac28df568b62f5a,1,1,18,right,4606,1
2ac28df568b62f5a,1,1,19,left,1858,1
2ac28df568b62f5a,1,1,20,right,6380,1
2ac28df568b62f5a,1,1,21,left,3439,1
2ac28df568b62f5a,1,1,22,left,2842,1
2ac28df568b62f5a,1,1,23,right,3962,1
2ac28df568b62f5a,1,1,24,left,2070,1
2ac28df568b62f5a,1,1,25,left,6504,1
2ac28df568b62f5a,1,1,26,right,2072,1
2ac28df568b62f5a,1,1,27,left,5389,1
2ac28df568b62f5a,1,1,28,right,4705,1
2ac28df568b62f5a,1,1,29,left,1904,1
2ac28df568b62f5a,1,1,30,left,3893,1
2ac28df568b62f5a,1,1,31,left,6106,1
2ac28df568b62f5a,1,1,32,right,5227,1
2ac28df568b62f5a,1,1,33,right,7562,1
2ac28df568b62f5a,1,1,34,left,3733,1
2ac28df568b62f5a,1,1,35,right,7177,1
2ac28df568b62f5a,1,1,36,right,3478,1
2ac28df568b62f5a,1,1,37,left,6011,1
2ac28df568b62f5a,1,1,38,left,3664,1
2ac28df568b62f5a,1,1,39,left,2178,1
2ac28df568b62f5a,1,1,40,left,1866,1
2ac28df568b62f5a,1,2,1,left,6928,1
2ac28df568b62f5a,1,2,2,right,7974,1
2ac28df568b62f5a,1,2,3,left,3257,1
2ac28df568b62f5a,1,2,4,right,3431,1
2ac28df568b62f5a,1,2,5,right,2206,1
2ac28df568b62f5a,1,2,6,left,7121,1
2ac28df568b62f5a,1,2,7,left,3745,1
2ac28df568b62f5a,1,2,8,left,6819,1
2ac28df568b62f5a,1,2,9,right,1958,1
2ac28df568b62f5a,1,2,10,right,1389,1
2ac28df568b62f5a,1,2,11,right,2210,1
2ac28df568b62f5a,1,2,12,left,2396,1
2ac28df568b62f5a,1,2,13,left,1543,1
2ac28df568b62f5a,1,2,14,left,2356,1
