id,version,block,trial,side,rt,is_opt
47342457c6498055,0,1,1,left,5583,0
47342457c6498055,0,1,2,left,6484,0
47342457c6498055,0,1,3,left,3900,1
47342457c6498055,0,1,4,left,5668,0
47342457c6498055,0,1,5,left,8099,0
47342457c6498055,0,1,6,right,5250,0
47342457c6498055,0,1,7,left,5616,0
47342457c6498055,0,1,8,right,5733,0
47342457c6498055,0,1,9,right,6433,0
47342457c6498055,0,1,10,right,8232,0
47342457c6498055,0,1,11,left,5850,0
47342457c6498055,0,1,12,right,7166,0
47342457c6498055,0,1,13,left,6850,0
47342457c6498055,0,1,14,right,5850,0
47342457c6498055,0,1,15,left,8233,0
47342457c6498055,0,1,16,left,5117,0
47342457c6498055,0,1,17,left,6466,0
47342457c6498055,0,1,18,left,5634,0
47342457c6498055,0,1,19,left,4917,0
47342457c6498055,0,1,20,right,7450,0
47342457c6498055,0,1,21,right,5734,0
47342457c6498055,0,1,22,right,5366,0
47342457c6498055,0,1,23,left,7484,0
47342457c6498055,0,1,24,left,6333,0
47342457c6498055,0,1,25,right,4717,0
47342457c6498055,0,1,26,right,5334,0
47342457c6498055,0,1,27,left,6249,0
47342457c6498055,0,1,28,left,6316,0
47342457c6498055,0,1,29,right,6684,0
47342457c6498055,0,1,30,left,7067,0
47342457c6498055,0,1,31,right,9451,0
47342457c6498055,0,1,32,right,7282,0
47342457c6498055,0,1,33,right,5383,0
47342457c6498055,0,1,34,right,6782,0
47342457c6498055,0,1,35,right,7082,0
47342457c6498055,0,1,36,left,5403,0
47342457c6498055,0,1,37,right,4766,0
47342457c6498055,0,1,38,left,6583,0
47342457c6498055,0,1,39,right,5151,0
47342457c6498055,0,1,40,left,7483,0
47342457c6498055,0,2,1,left,5267,0
47342457c6498055,0,2,2,left,4650,0
47342457c6498055,0,2,3,left,5366,0
47342457c6498055,0,2,4,left,5750,0
47342457c6498055,0,2,5,left,6867,0
47342457c6498055,0,2,6,left,6066,0
47342457c6498055,0,2,7,right,6733,0
47342457c6498055,0,2,8,right,6132,0
47342457c6498055,0,2,9,left,6649,0
47342457c6498055,0,2,10,left,5899,0
47342457c6498055,0,2,11,right,5683,0
47342457c6498055,0,2,12,right,5267,0
47342457c6498055,0,2,13,right,6551,0
47342457c6498055,0,2,14,right,5933,0
47342457c6498055,0,2,15,left,6650,0
47342457c6498055,0,2,16,right,5415,0
47342457c6498055,0,2,17,left,4400,0
47342457c6498055,0,2,18,right,5217,0
47342457c6498055,0,2,19,left,7233,0
47342457c6498055,0,2,20,right,6784,0
47342457c6498055,0,2,21,right,6834,0
47342457c6498055,0,2,22,left,6716,0
47342457c6498055,0,2,23,right,5633,0
47342457c6498055,0,2,24,left,4898,0
47342457c6498055,0,2,25,right,5717,0
47342457c6498055,0,2,26,left,5250,0
47342457c6498055,0,2,27,right,5317,0
47342457c6498055,0,2,28,left,8701,0
47342457c6498055,0,2,29,right,5033,0
47342457c6498055,0,2,30,left,5733,0
47342457c6498055,0,2,31,left,7400,0
47342457c6498055,0,2,32,right,5083,0
47342457c6498055,0,2,33,right,6051,0
47342457c6498055,0,2,34,right,5200,0
47342457c6498055,0,2,35,right,2768,1
47342457c6498055,0,2,36,left,4333,1
47342457c6498055,0,2,37,left,5117,0
47342457c6498055,0,2,38,left,8233,0
47342457c6498055,0,2,39,left,3517,1
47342457c6498055,0,2,40,left,2683,1
47342457c6498055,0,3,1,left,31133,1
47342457c6498055,0,3,2,left,9650,1
47342457c6498055,0,3,3,left,2565,1
47342457c6498055,0,3,4,right,2417,1
47342457c6498055,0,3,5,right,6083,0
47342457c6498055,0,3,6,right,5250,0
47342457c6498055,0,3,7,left,3083,1
47342457c6498055,0,3,8,right,2566,1
47342457c6498055,0,3,9,right,3083,1
47342457c6498055,0,3,10,left,2682,1
47342457c6498055,0,3,11,left,5000,1
47342457c6498055,0,3,12,left,8416,0
47342457c6498055,0,3,13,left,2616,1
47342457c6498055,0,3,14,right,3068,1
47342457c6498055,0,3,15,right,2634,1
47342457c6498055,0,3,16,right,10032,1
47342457c6498055,0,3,17,left,2649,1
47342457c6498055,0,3,18,right,4417,1
47342457c6498055,0,3,19,right,2066,1
47342457c6498055,0,3,20,right,4000,1
47342457c6498055,0,3,21,right,3132,1
47342457c6498055,0,3,22,left,3250,1
47342457c6498055,0,3,23,right,3417,1
47342457c6498055,0,3,24,left,9334,1
47342457c6498055,0,3,25,left,5816,1
47342457c6498055,0,3,26,left,2217,1
47342457c6498055,0,3,27,right,2100,1
47342457c6498055,0,3,28,left,2750,1
47342457c6498055,0,3,29,left,3266,1
47342457c6498055,0,3,30,right,2933,1
47342457c6498055,0,3,31,right,2466,1
47342457c6498055,0,3,32,right,2650,1
47342457c6498055,0,3,33,right,2683,1
47342457c6498055,0,3,34,left,2500,1
47342457c6498055,0,3,35,right,3766,1
47342457c6498055,0,3,36,right,3133,1
47342457c6498055,0,3,37,left,2966,1
47342457c6498055,0,3,38,right,4183,1
47342457c6498055,0,3,39,right,4317,0
47342457c6498055,0,3,40,left,2883,1
