id,version,block,trial,side,rt,is_opt
5a5d23339bc165d3,1,1,1,right,4972,1
5a5d23339bc165d3,1,1,2,right,2031,1
5a5d23339bc165d3,1,1,3,right,5909,1
5a5d23339bc165d3,1,1,4,left,13668,1
5a5d23339bc165d3,1,1,5,left,7332,1
5a5d23339bc165d3,1,1,6,right,5123,0
5a5d23339bc165d3,1,1,7,right,3341,0
5a5d23339bc165d3,1,1,8,left,10296,0
5a5d23339bc165d3,1,1,9,right,1848,0
5a5d23339bc165d3,1,1,10,right,5004,0
5a5d23339bc165d3,1,1,11,right,7267,0
5a5d23339bc165d3,1,1,12,right,4202,0
5a5d23339bc165d3,1,1,13,left,1564,0
5a5d23339bc165d3,1,1,14,left,5124,0
5a5d23339bc165d3,1,1,15,right,9147,1
5a5d23339bc165d3,1,1,16,left,10633,0
5a5d23339bc165d3,1,1,17,left,13531,1
5a5d23339bc165d3,1,1,18,right,1839,0
5a5d23339bc165d3,1,1,19,left,8449,0
5a5d23339bc165d3,1,1,20,right,8874,0
5a5d23339bc165d3,1,1,21,right,2922,0
5a5d23339bc165d3,1,1,22,right,7661,0
5a5d23339bc165d3,1,1,23,left,8907,0
5a5d23339bc165d3,1,1,24,left,1959,1
5a5d23339bc165d3,1,1,25,right,9299,1
5a5d23339bc165d3,1,1,26,left,6400,0
5a5d23339bc165d3,1,1,27,right,4955,0
5a5d23339bc165d3,1,1,28,right,7057,0
5a5d23339bc165d3,1,1,29,right,10135,1
5a5d23339bc165d3,1,1,30,left,5397,0
5a5d23339bc165d3,1,1,31,left,10778,0
5a5d23339bc165d3,1,1,32,left,6737,0
5a5d23339bc165d3,1,1,33,left,3068,1
5a5d23339bc165d3,1,1,34,right,2032,1
5a5d23339bc165d3,1,1,35,right,5050,0
5a5d23339bc165d3,1,1,36,left,4876,0
5a5d23339bc165d3,1,1,37,left,8881,0
5a5d23339bc165d3,1,1,38,left,1661,1
5a5d23339bc165d3,1,1,39,right,12562,1
5a5d23339bc165d3,1,1,40,right,10136,0
5a5d23339bc165d3,1,2,1,left,7941,0
5a5d23339bc165d3,1,2,2,right,20221,1
5a5d23339bc165d3,1,2,3,left,8625,0
5a5d23339bc165d3,1,2,4,left,7823,0
5a5d23339bc165d3,1,2,5,right,6425,0
5a5d23339bc165d3,1,2,6,right,7686,1
5a5d23339bc165d3,1,2,7,right,6176,0
5a5d23339bc165d3,1,2,8,left,4401,0
5a5d23339bc165d3,1,2,9,right,12955,0
5a5d23339bc165d3,1,2,10,left,7299,0
5a5d23339bc165d3,1,2,11,right,5060,0
5a5d23339bc165d3,1,2,12,right,8874,0
5a5d23339bc165d3,1,2,13,left,3454,1
5a5d23339bc165d3,1,2,14,right,2651,1
5a5d23339bc165d3,1,2,15,right,7476,0
5a5d23339bc165d3,1,2,16,left,3919,1
5a5d23339bc165d3,1,2,17,left,6489,1
5a5d23339bc165d3,1,2,18,right,7550,0
5a5d23339bc165d3,1,2,19,left,4457,0
5a5d23339bc165d3,1,2,20,left,2755,0
5a5d23339bc165d3,1,2,21,left,6785,0
5a5d23339bc165d3,1,2,22,right,13627,0
5a5d23339bc165d3,1,2,23,left,1718,0
5a5d23339bc165d3,1,2,24,left,4209,1
5a5d23339bc165d3,1,2,25,right,6818,0
5a5d23339bc165d3,1,2,26,left,17563,1
5a5d23339bc165d3,1,2,27,right,9347,1
5a5d23339bc165d3,1,2,28,left,4433,0
5a5d23339bc165d3,1,2,29,right,5870,0
5a5d23339bc165d3,1,2,30,left,1510,0
5a5d23339bc165d3,1,2,31,left,2883,0
5a5d23339bc165d3,1,2,32,right,3543,0
5a5d23339bc165d3,1,2,33,right,4794,0
5a5d23339bc165d3,1,2,34,right,9492,0
5a5d23339bc165d3,1,2,35,left,2899,0
5a5d23339bc165d3,1,2,36,right,2563,0
5a5d23339bc165d3,1,2,37,left,1895,0
5a5d23339bc165d3,1,2,38,left,7605,0
5a5d23339bc165d3,1,2,39,left,3677,0
5a5d23339bc165d3,1,2,40,right,4674,0
5a5d23339bc165d3,1,3,1,left,5920,0
5a5d23339bc165d3,1,3,2,right,5218,1
5a5d23339bc165d3,1,3,3,right,2836,0
5a5d23339bc165d3,1,3,4,right,5042,1
5a5d23339bc165d3,1,3,5,right,6785,0
5a5d23339bc165d3,1,3,6,right,7501,0
5a5d23339bc165d3,1,3,7,right,4512,0
5a5d23339bc165d3,1,3,8,right,5720,1
5a5d23339bc165d3,1,3,9,right,3229,1
5a5d23339bc165d3,1,3,10,right,7418,1
5a5d23339bc165d3,1,3,11,right,8046,0
5a5d23339bc165d3,1,3,12,right,2506,1
5a5d23339bc165d3,1,3,13,right,7602,0
5a5d23339bc165d3,1,3,14,right,6544,0
5a5d23339bc165d3,1,3,15,right,1808,0
5a5d23339bc165d3,1,3,16,left,10961,0
5a5d23339bc165d3,1,3,17,right,6721,0
5a5d23339bc165d3,1,3,18,right,2593,1
5a5d23339bc165d3,1,3,19,right,2892,0
5a5d23339bc165d3,1,3,20,right,12673,1
