id,version,block,trial,side,rt,is_opt
5ca24d7c1d06d4d7,0,1,1,right,5462,1
5ca24d7c1d06d4d7,0,1,2,left,5756,1
5ca24d7c1d06d4d7,0,1,3,left,4867,1
5ca24d7c1d06d4d7,0,1,4,left,4565,1
5ca24d7c1d06d4d7,0,1,5,left,6259,1
5ca24d7c1d06d4d7,0,1,6,left,7945,1
5ca24d7c1d06d4d7,0,1,7,left,6592,1
5ca24d7c1d06d4d7,0,1,8,right,8208,1
5ca24d7c1d06d4d7,0,1,9,right,5385,1
5ca24d7c1d06d4d7,0,1,10,left,4271,1
5ca24d7c1d06d4d7,0,1,11,right,10932,1
5ca24d7c1d06d4d7,0,1,12,right,8177,1
5ca24d7c1d06d4d7,0,1,13,right,7173,1
5ca24d7c1d06d4d7,0,1,14,left,5633,1
5ca24d7c1d06d4d7,0,1,15,left,6531,1
5ca24d7c1d06d4d7,0,1,16,right,7119,1
5ca24d7c1d06d4d7,0,1,17,right,3597,1
5ca24d7c1d06d4d7,0,1,18,right,11785,1
5ca24d7c1d06d4d7,0,1,19,right,7311,0
5ca24d7c1d06d4d7,0,1,20,right,4767,1
5ca24d7c1d06d4d7,0,1,21,left,2646,1
5ca24d7c1d06d4d7,0,1,22,right,6414,1
5ca24d7c1d06d4d7,0,1,23,right,5748,1
5ca24d7c1d06d4d7,0,1,24,right,4417,1
5ca24d7c1d06d4d7,0,1,25,right,3991,1
5ca24d7c1d06d4d7,0,1,26,right,4363,1
5ca24d7c1d06d4d7,0,1,27,left,3776,1
5ca24d7c1d06d4d7,0,1,28,left,4456,1
5ca24d7c1d06d4d7,0,1,29,left,7985,0
5ca24d7c1d06d4d7,0,1,30,left,4720,1
5ca24d7c1d06d4d7,0,1,31,left,8696,0
5ca24d7c1d06d4d7,0,1,32,left,3489,1
5ca24d7c1d06d4d7,0,1,33,left,6831,1
5ca24d7c1d06d4d7,0,1,34,right,8433,1
5ca24d7c1d06d4d7,0,1,35,right,7365,1
5ca24d7c1d06d4d7,0,1,36,left,8394,1
5ca24d7c1d06d4d7,0,1,37,left,5315,1
5ca24d7c1d06d4d7,0,1,38,left,5501,1
5ca24d7c1d06d4d7,0,1,39,left,3884,1
5ca24d7c1d06d4d7,0,1,40,right,7383,1
5ca24d7c1d06d4d7,0,2,1,left,4889,1
5ca24d7c1d06d4d7,0,2,2,right,11173,1
5ca24d7c1d06d4d7,0,2,3,right,4054,1
5ca24d7c1d06d4d7,0,2,4,left,3635,1
5ca24d7c1d06d4d7,0,2,5,right,7861,1
5ca24d7c1d06d4d7,0,2,6,left,3141,1
5ca24d7c1d06d4d7,0,2,7,left,4217,1
5ca24d7c1d06d4d7,0,2,8,left,2638,1
5ca24d7c1d06d4d7,0,2,9,left,11212,0
5ca24d7c1d06d4d7,0,2,10,left,6877,0
5ca24d7c1d06d4d7,0,2,11,left,5554,1
5ca24d7c1d06d4d7,0,2,12,left,3342,1
5ca24d7c1d06d4d7,0,2,13,left,7860,0
5ca24d7c1d06d4d7,0,2,14,left,8989,0
5ca24d7c1d06d4d7,0,2,15,right,9870,1
5ca24d7c1d06d4d7,0,2,16,left,4657,1
5ca24d7c1d06d4d7,0,2,17,left,4774,1
5ca24d7c1d06d4d7,0,2,18,left,4170,1
5ca24d7c1d06d4d7,0,2,19,left,10728,0
5ca24d7c1d06d4d7,0,2,20,left,5298,1
5ca24d7c1d06d4d7,0,2,21,right,8841,1
5ca24d7c1d06d4d7,0,2,22,left,13489,0
5ca24d7c1d06d4d7,0,2,23,right,6939,0
5ca24d7c1d06d4d7,0,2,24,right,9080,0
5ca24d7c1d06d4d7,0,2,25,left,2923,1
5ca24d7c1d06d4d7,0,2,26,left,7070,0
5ca24d7c1d06d4d7,0,2,27,left,7866,0
5ca24d7c1d06d4d7,0,2,28,left,8191,0
5ca24d7c1d06d4d7,0,2,29,left,7503,0
5ca24d7c1d06d4d7,0,2,30,left,3520,1
5ca24d7c1d06d4d7,0,2,31,left,4138,1
5ca24d7c1d06d4d7,0,2,32,left,6830,0
5ca24d7c1d06d4d7,0,2,33,left,4392,1
5ca24d7c1d06d4d7,0,2,34,left,8285,0
5ca24d7c1d06d4d7,0,2,35,left,6707,0
5ca24d7c1d06d4d7,0,2,36,right,8563,1
5ca24d7c1d06d4d7,0,2,37,right,4664,1
5ca24d7c1d06d4d7,0,2,38,left,3341,1
5ca24d7c1d06d4d7,0,2,39,left,3952,1
5ca24d7c1d06d4d7,0,2,40,right,8338,0
5ca24d7c1d06d4d7,0,3,1,left,5190,1
5ca24d7c1d06d4d7,0,3,2,left,6629,0
