id,version,block,trial,side,rt,is_opt
6b0f94bdef77e5ca,0,1,1,left,10054,0
6b0f94bdef77e5ca,0,1,2,left,6182,0
6b0f94bdef77e5ca,0,1,3,left,5782,0
6b0f94bdef77e5ca,0,1,4,right,6723,0
6b0f94bdef77e5ca,0,1,5,right,6622,0
6b0f94bdef77e5ca,0,1,6,right,4756,0
6b0f94bdef77e5ca,0,1,7,left,6832,0
6b0f94bdef77e5ca,0,1,8,right,5747,0
6b0f94bdef77e5ca,0,1,9,right,6474,0
6b0f94bdef77e5ca,0,1,10,left,5512,0
6b0f94bdef77e5ca,0,1,11,left,5834,0
6b0f94bdef77e5ca,0,1,12,left,6269,0
6b0f94bdef77e5ca,0,1,13,right,6496,0
6b0f94bdef77e5ca,0,1,14,left,5816,0
6b0f94bdef77e5ca,0,1,15,right,5803,0
6b0f94bdef77e5ca,0,1,16,right,5584,0
6b0f94bdef77e5ca,0,1,17,right,6007,0
6b0f94bdef77e5ca,0,1,18,right,5700,0
6b0f94bdef77e5ca,0,1,19,right,5824,0
6b0f94bdef77e5ca,0,1,20,left,6596,0
6b0f94bdef77e5ca,0,1,21,left,6283,0
6b0f94bdef77e5ca,0,1,22,right,6483,0
6b0f94bdef77e5ca,0,1,23,right,5197,0
6b0f94bdef77e5ca,0,1,24,left,5306,0
6b0f94bdef77e5ca,0,1,25,left,4127,0
6b0f94bdef77e5ca,0,1,26,right,5816,0
6b0f94bdef77e5ca,0,1,27,left,5782,0
6b0f94bdef77e5ca,0,1,28,right,5329,0
6b0f94bdef77e5ca,0,1,29,left,5082,0
6b0f94bdef77e5ca,0,1,30,left,6735,0
6b0f94bdef77e5ca,0,1,31,left,7072,0
6b0f94bdef77e5ca,0,1,32,left,6394,0
6b0f94bdef77e5ca,0,1,33,left,5767,0
6b0f94bdef77e5ca,0,1,34,left,5389,0
6b0f94bdef77e5ca,0,1,35,right,6233,0
6b0f94bdef77e5ca,0,1,36,right,5635,0
6b0f94bdef77e5ca,0,1,37,right,5694,0
6b0f94bdef77e5ca,0,1,38,right,6103,0
6b0f94bdef77e5ca,0,1,39,left,6080,0
6b0f94bdef77e5ca,0,1,40,right,6299,0
6b0f94bdef77e5ca,0,2,1,right,5959,0
6b0f94bdef77e5ca,0,2,2,left,6248,0
6b0f94bdef77e5ca,0,2,3,right,5802,0
6b0f94bdef77e5ca,0,2,4,right,6054,0
6b0f94bdef77e5ca,0,2,5,right,5595,0
6b0f94bdef77e5ca,0,2,6,right,5909,0
6b0f94bdef77e5ca,0,2,7,left,7344,0
6b0f94bdef77e5ca,0,2,8,left,5002,0
6b0f94bdef77e5ca,0,2,9,right,6060,0
6b0f94bdef77e5ca,0,2,10,left,5920,0
6b0f94bdef77e5ca,0,2,11,right,5766,0
6b0f94bdef77e5ca,0,2,12,right,4760,0
6b0f94bdef77e5ca,0,2,13,left,5997,0
6b0f94bdef77e5ca,0,2,14,left,5668,0
