id,version,block,trial,side,rt,is_opt
71a8830a8001c33d,1,1,1,left,3179,1
71a8830a8001c33d,1,1,2,left,4622,1
71a8830a8001c33d,1,1,3,right,3045,0
71a8830a8001c33d,1,1,4,left,9801,0
71a8830a8001c33d,1,1,5,left,8072,0
71a8830a8001c33d,1,1,6,right,5773,1
71a8830a8001c33d,1,1,7,left,9080,0
71a8830a8001c33d,1,1,8,left,15772,1
71a8830a8001c33d,1,1,9,right,7081,1
71a8830a8001c33d,1,1,10,right,1681,1
71a8830a8001c33d,1,1,11,left,2641,1
71a8830a8001c33d,1,1,12,right,3876,1
71a8830a8001c33d,1,1,13,right,4300,1
71a8830a8001c33d,1,1,14,left,4725,1
71a8830a8001c33d,1,1,15,right,1800,1
71a8830a8001c33d,1,1,16,right,20258,0
71a8830a8001c33d,1,1,17,left,6787,1
71a8830a8001c33d,1,1,18,left,5525,1
71a8830a8001c33d,1,1,19,right,5677,1
71a8830a8001c33d,1,1,20,right,6201,1
71a8830a8001c33d,1,1,21,left,4671,1
71a8830a8001c33d,1,1,22,left,14178,0
71a8830a8001c33d,1,1,23,left,4186,1
71a8830a8001c33d,1,1,24,left,7477,1
71a8830a8001c33d,1,1,25,right,8135,1
71a8830a8001c33d,1,1,26,left,4853,1
71a8830a8001c33d,1,1,27,left,5123,1
71a8830a8001c33d,1,1,28,right,6003,1
71a8830a8001c33d,1,1,29,right,7073,1
71a8830a8001c33d,1,1,30,right,4630,1
71a8830a8001c33d,1,1,31,right,1483,1
71a8830a8001c33d,1,1,32,left,4231,1
71a8830a8001c33d,1,1,33,right,3069,1
71a8830a8001c33d,1,1,34,left,1133,1
71a8830a8001c33d,1,1,35,left,3742,1
71a8830a8001c33d,1,1,36,right,6526,1
71a8830a8001c33d,1,1,37,left,3267,1
71a8830a8001c33d,1,1,38,left,1268,1
71a8830a8001c33d,1,1,39,left,4195,1
71a8830a8001c33d,1,1,40,right,3908,1
71a8830a8001c33d,1,2,1,right,6136,1
71a8830a8001c33d,1,2,2,left,6866,1
71a8830a8001c33d,1,2,3,right,7208,1
71a8830a8001c33d,1,2,4,left,1998,1
71a8830a8001c33d,1,2,5,right,3227,1
71a8830a8001c33d,1,2,6,right,2870,1
71a8830a8001c33d,1,2,7,left,2767,1
71a8830a8001c33d,1,2,8,right,3105,1
71a8830a8001c33d,1,2,9,right,6764,1
71a8830a8001c33d,1,2,10,right,3671,1
71a8830a8001c33d,1,2,11,left,2934,1
71a8830a8001c33d,1,2,12,left,6358,1
71a8830a8001c33d,1,2,13,right,2163,1
71a8830a8001c33d,1,2,14,left,4392,1
71a8830a8001c33d,1,2,15,right,8895,1
71a8830a8001c33d,1,2,16,right,4584,1
71a8830a8001c33d,1,2,17,left,3163,1
71a8830a8001c33d,1,2,18,right,4472,1
71a8830a8001c33d,1,2,19,right,6192,1
71a8830a8001c33d,1,2,20,left,3821,1
