id,version,block,trial,side,rt,is_opt
79be0e7ddd85e89e,1,1,1,left,6291,1
79be0e7ddd85e89e,1,1,2,right,2763,1
79be0e7ddd85e89e,1,1,3,left,13891,1
79be0e7ddd85e89e,1,1,4,left,7168,1
79be0e7ddd85e89e,1,1,5,right,3712,1
79be0e7ddd85e89e,1,1,6,right,9351,1
79be0e7ddd85e89e,1,1,7,left,2425,1
79be0e7ddd85e89e,1,1,8,left,6108,1
79be0e7ddd85e89e,1,1,9,left,2477,1
79be0e7ddd85e89e,1,1,10,left,7615,1
79be0e7ddd85e89e,1,1,11,left,10419,1
79be0e7ddd85e89e,1,1,12,right,6565,1
79be0e7ddd85e89e,1,1,13,right,5689,1
79be0e7ddd85e89e,1,1,14,left,1947,1
79be0e7ddd85e89e,1,1,15,left,2651,1
79be0e7ddd85e89e,1,1,16,right,6901,1
79be0e7ddd85e89e,1,1,17,right,4221,1
79be0e7ddd85e89e,1,1,18,left,4159,1
79be0e7ddd85e89e,1,1,19,right,6177,1
79be0e7ddd85e89e,1,1,20,right,3496,1
79be0e7ddd85e89e,1,1,21,left,4322,1
79be0e7ddd85e89e,1,1,22,left,6533,1
79be0e7ddd85e89e,1,1,23,right,7920,1
79be0e7ddd85e89e,1,1,24,right,1958,1
79be0e7ddd85e89e,1,1,25,right,6332,1
79be0e7ddd85e89e,1,1,26,left,2641,1
79be0e7ddd85e89e,1,1,27,left,6371,1
79be0e7ddd85e89e,1,1,28,right,5678,1
79be0e7ddd85e89e,1,1,29,right,2681,1
79be0e7ddd85e89e,1,1,30,left,3497,1
79be0e7ddd85e89e,1,1,31,left,8408,1
79be0e7ddd85e89e,1,1,32,right,4729,1
79be0e7ddd85e89e,1,1,33,right,5341,1
79be0e7ddd85e89e,1,1,34,right,8245,1
79be0e7ddd85e89e,1,1,35,left,4424,1
79be0e7ddd85e89e,1,1,36,right,2434,1
79be0e7ddd85e89e,1,1,37,right,4925,1
79be0e7ddd85e89e,1,1,38,left,7675,1
79be0e7ddd85e89e,1,1,39,right,2414,1
79be0e7ddd85e89e,1,1,40,left,7459,1
79be0e7ddd85e89e,1,2,1,right,3766,0
79be0e7ddd85e89e,1,2,2,left,6440,1
79be0e7ddd85e89e,1,2,3,right,5864,1
79be0e7ddd85e89e,1,2,4,left,9469,1
79be0e7ddd85e89e,1,2,5,left,6200,1
79be0e7ddd85e89e,1,2,6,left,3766,1
79be0e7ddd85e89e,1,2,7,right,2452,1
79be0e7ddd85e89e,1,2,8,left,2677,0
79be0e7ddd85e89e,1,2,9,right,2418,1
79be0e7ddd85e89e,1,2,10,right,1633,0
79be0e7ddd85e89e,1,2,11,left,6536,1
79be0e7ddd85e89e,1,2,12,left,2788,0
79be0e7ddd85e89e,1,2,13,left,10912,1
79be0e7ddd85e89e,1,2,14,left,6983,1
79be0e7ddd85e89e,1,2,15,left,11617,1
79be0e7ddd85e89e,1,2,16,left,5190,1
79be0e7ddd85e89e,1,2,17,right,2082,1
79be0e7ddd85e89e,1,2,18,right,4934,1
79be0e7ddd85e89e,1,2,19,right,8700,1
79be0e7ddd85e89e,1,2,20,right,1939,1
79be0e7ddd85e89e,1,2,21,left,2787,0
79be0e7ddd85e89e,1,2,22,left,3623,1
79be0e7ddd85e89e,1,2,23,left,9355,0
79be0e7ddd85e89e,1,2,24,right,3412,1
79be0e7ddd85e89e,1,2,25,left,5365,1
79be0e7ddd85e89e,1,2,26,right,1443,1
79be0e7ddd85e89e,1,2,27,right,4630,1
79be0e7ddd85e89e,1,2,28,right,4454,1
79be0e7ddd85e89e,1,2,29,right,9373,1
79be0e7ddd85e89e,1,2,30,left,3173,1
79be0e7ddd85e89e,1,2,31,left,4582,0
79be0e7ddd85e89e,1,2,32,left,3334,1
79be0e7ddd85e89e,1,2,33,left,2499,1
79be0e7ddd85e89e,1,2,34,left,5992,1
79be0e7ddd85e89e,1,2,35,left,4856,1
79be0e7ddd85e89e,1,2,36,left,2547,1
79be0e7ddd85e89e,1,2,37,right,2611,1
79be0e7ddd85e89e,1,2,38,left,4551,1
79be0e7ddd85e89e,1,2,39,right,3012,1
79be0e7ddd85e89e,1,2,40,right,3765,1
79be0e7ddd85e89e,1,3,1,left,1556,1
79be0e7ddd85e89e,1,3,2,right,6152,0
79be0e7ddd85e89e,1,3,3,right,2204,1
79be0e7ddd85e89e,1,3,4,left,4502,1
79be0e7ddd85e89e,1,3,5,left,4823,1
79be0e7ddd85e89e,1,3,6,left,2468,1
79be0e7ddd85e89e,1,3,7,left,5174,1
79be0e7ddd85e89e,1,3,8,left,3364,1
79be0e7ddd85e89e,1,3,9,right,3284,1
79be0e7ddd85e89e,1,3,10,right,5576,1
79be0e7ddd85e89e,1,3,11,right,4374,1
79be0e7ddd85e89e,1,3,12,right,5527,1
79be0e7ddd85e89e,1,3,13,left,12352,1
79be0e7ddd85e89e,1,3,14,right,10285,0
79be0e7ddd85e89e,1,3,15,left,6635,0
79be0e7ddd85e89e,1,3,16,right,3813,1
79be0e7ddd85e89e,1,3,17,right,2292,1
79be0e7ddd85e89e,1,3,18,right,3124,0
79be0e7ddd85e89e,1,3,19,left,2595,1
79be0e7ddd85e89e,1,3,20,right,3027,1
79be0e7ddd85e89e,1,3,21,left,5096,1
79be0e7ddd85e89e,1,3,22,right,4358,1
79be0e7ddd85e89e,1,3,23,right,6264,1
79be0e7ddd85e89e,1,3,24,left,4391,1
79be0e7ddd85e89e,1,3,25,left,2546,1
79be0e7ddd85e89e,1,3,26,right,2836,1
79be0e7ddd85e89e,1,3,27,left,4822,1
79be0e7ddd85e89e,1,3,28,right,3574,1
79be0e7ddd85e89e,1,3,29,left,3091,1
79be0e7ddd85e89e,1,3,30,right,5160,1
79be0e7ddd85e89e,1,3,31,right,4742,1
79be0e7ddd85e89e,1,3,32,right,5815,1
79be0e7ddd85e89e,1,3,33,right,8025,0
79be0e7ddd85e89e,1,3,34,right,1988,1
79be0e7ddd85e89e,1,3,35,right,13154,0
79be0e7ddd85e89e,1,3,36,left,10110,0
79be0e7ddd85e89e,1,3,37,right,4952,0
79be0e7ddd85e89e,1,3,38,left,12192,0
79be0e7ddd85e89e,1,3,39,right,3765,0
79be0e7ddd85e89e,1,3,40,right,5544,1
