id,version,block,trial,side,rt,is_opt
7b5cd963fd488c1d,0,1,1,right,5694,0
7b5cd963fd488c1d,0,1,2,left,6475,0
7b5cd963fd488c1d,0,1,3,left,6475,0
7b5cd963fd488c1d,0,1,4,left,3763,1
7b5cd963fd488c1d,0,1,5,right,6803,0
7b5cd963fd488c1d,0,1,6,right,3876,1
7b5cd963fd488c1d,0,1,7,right,6427,0
7b5cd963fd488c1d,0,1,8,right,3031,1
7b5cd963fd488c1d,0,1,9,right,7178,0
7b5cd963fd488c1d,0,1,10,left,6914,0
7b5cd963fd488c1d,0,1,11,right,6476,0
7b5cd963fd488c1d,0,1,12,left,4401,1
7b5cd963fd488c1d,0,1,13,left,6148,0
7b5cd963fd488c1d,0,1,14,left,7392,0
7b5cd963fd488c1d,0,1,15,left,7320,0
7b5cd963fd488c1d,0,1,16,left,3405,1
7b5cd963fd488c1d,0,1,17,right,6667,0
7b5cd963fd488c1d,0,1,18,left,3796,1
7b5cd963fd488c1d,0,1,19,left,6402,0
7b5cd963fd488c1d,0,1,20,left,5598,0
7b5cd963fd488c1d,0,1,21,left,6396,0
7b5cd963fd488c1d,0,1,22,left,5726,0
7b5cd963fd488c1d,0,1,23,right,6315,0
7b5cd963fd488c1d,0,1,24,left,6322,0
7b5cd963fd488c1d,0,1,25,right,5918,0
7b5cd963fd488c1d,0,1,26,left,6530,0
7b5cd963fd488c1d,0,1,27,right,5614,0
7b5cd963fd488c1d,0,1,28,right,5296,0
7b5cd963fd488c1d,0,1,29,right,6446,0
7b5cd963fd488c1d,0,1,30,right,6619,0
7b5cd963fd488c1d,0,1,31,left,4911,0
7b5cd963fd488c1d,0,1,32,left,5718,0
7b5cd963fd488c1d,0,1,33,left,5382,0
7b5cd963fd488c1d,0,1,34,right,4967,0
7b5cd963fd488c1d,0,1,35,left,6394,0
7b5cd963fd488c1d,0,1,36,right,5710,0
7b5cd963fd488c1d,0,1,37,right,5455,0
7b5cd963fd488c1d,0,1,38,left,6833,0
7b5cd963fd488c1d,0,1,39,right,6474,0
7b5cd963fd488c1d,0,1,40,left,4872,0
7b5cd963fd488c1d,0,2,1,left,5351,0
7b5cd963fd488c1d,0,2,2,left,5414,0
7b5cd963fd488c1d,0,2,3,left,3804,1
7b5cd963fd488c1d,0,2,4,right,5295,0
7b5cd963fd488c1d,0,2,5,left,6140,0
7b5cd963fd488c1d,0,2,6,right,6388,0
7b5cd963fd488c1d,0,2,7,right,5854,0
7b5cd963fd488c1d,0,2,8,right,5669,0
7b5cd963fd488c1d,0,2,9,right,3365,1
7b5cd963fd488c1d,0,2,10,right,5919,0
7b5cd963fd488c1d,0,2,11,right,5869,0
7b5cd963fd488c1d,0,2,12,left,5558,0
7b5cd963fd488c1d,0,2,13,right,5964,0
7b5cd963fd488c1d,0,2,14,left,6060,0
7b5cd963fd488c1d,0,2,15,left,6841,0
7b5cd963fd488c1d,0,2,16,left,7008,0
7b5cd963fd488c1d,0,2,17,right,5270,0
7b5cd963fd488c1d,0,2,18,right,6259,0
7b5cd963fd488c1d,0,2,19,left,5151,0
7b5cd963fd488c1d,0,2,20,right,5749,0
7b5cd963fd488c1d,0,2,21,right,5159,0
7b5cd963fd488c1d,0,2,22,right,6068,0
7b5cd963fd488c1d,0,2,23,left,5439,0
7b5cd963fd488c1d,0,2,24,right,4968,0
7b5cd963fd488c1d,0,2,25,left,5550,0
7b5cd963fd488c1d,0,2,26,right,5926,0
7b5cd963fd488c1d,0,2,27,left,6180,0
7b5cd963fd488c1d,0,2,28,left,6300,0
7b5cd963fd488c1d,0,2,29,right,6108,0
7b5cd963fd488c1d,0,2,30,right,3150,1
7b5cd963fd488c1d,0,2,31,left,5964,0
7b5cd963fd488c1d,0,2,32,right,6068,0
7b5cd963fd488c1d,0,2,33,right,6514,0
7b5cd963fd488c1d,0,2,34,left,8094,0
7b5cd963fd488c1d,0,2,35,right,5613,0
7b5cd963fd488c1d,0,2,36,right,5550,0
7b5cd963fd488c1d,0,2,37,left,6731,0
7b5cd963fd488c1d,0,2,38,left,5134,0
7b5cd963fd488c1d,0,2,39,left,4912,0
