id,version,block,trial,side,rt,is_opt
9fc871c5ad312c70,1,1,1,right,5176,0
9fc871c5ad312c70,1,1,2,left,4895,0
9fc871c5ad312c70,1,1,3,left,7086,0
9fc871c5ad312c70,1,1,4,right,4420,0
9fc871c5ad312c70,1,1,5,right,6090,0
9fc871c5ad312c70,1,1,6,right,7203,1
9fc871c5ad312c70,1,1,7,left,2266,0
9fc871c5ad312c70,1,1,8,left,2089,1
9fc871c5ad312c70,1,1,9,left,1992,0
9fc871c5ad312c70,1,1,10,right,6501,0
9fc871c5ad312c70,1,1,11,right,13119,0
9fc871c5ad312c70,1,1,12,left,2993,1
9fc871c5ad312c70,1,1,13,left,3177,0
9fc871c5ad312c70,1,1,14,right,3378,1
9fc871c5ad312c70,1,1,15,left,4452,1
9fc871c5ad312c70,1,1,16,left,2750,0
9fc871c5ad312c70,1,1,17,left,6227,0
9fc871c5ad312c70,1,1,18,left,1907,0
9fc871c5ad312c70,1,1,19,right,2547,0
9fc871c5ad312c70,1,1,20,right,7634,0
9fc871c5ad312c70,1,1,21,right,7101,0
9fc871c5ad312c70,1,1,22,left,4274,1
9fc871c5ad312c70,1,1,23,left,9031,0
9fc871c5ad312c70,1,1,24,right,2459,1
9fc871c5ad312c70,1,1,25,right,5043,1
9fc871c5ad312c70,1,1,26,left,4669,1
9fc871c5ad312c70,1,1,27,right,1822,1
9fc871c5ad312c70,1,1,28,left,4218,1
9fc871c5ad312c70,1,1,29,right,5750,1
9fc871c5ad312c70,1,1,30,right,1331,0
9fc871c5ad312c70,1,1,31,right,4699,0
9fc871c5ad312c70,1,1,32,left,4733,0
9fc871c5ad312c70,1,1,33,right,1790,0
9fc871c5ad312c70,1,1,34,right,7427,0
9fc871c5ad312c70,1,1,35,right,7433,0
9fc871c5ad312c70,1,1,36,left,9684,0
9fc871c5ad312c70,1,1,37,left,2330,1
9fc871c5ad312c70,1,1,38,right,4471,1
9fc871c5ad312c70,1,1,39,right,3402,1
9fc871c5ad312c70,1,1,40,right,5951,1
9fc871c5ad312c70,1,2,1,left,7463,0
9fc871c5ad312c70,1,2,2,left,5854,1
9fc871c5ad312c70,1,2,3,left,8305,0
9fc871c5ad312c70,1,2,4,right,2217,0
9fc871c5ad312c70,1,2,5,right,1547,0
9fc871c5ad312c70,1,2,6,left,8907,0
9fc871c5ad312c70,1,2,7,right,5554,1
9fc871c5ad312c70,1,2,8,left,8119,0
9fc871c5ad312c70,1,2,9,right,5280,1
9fc871c5ad312c70,1,2,10,left,4845,1
9fc871c5ad312c70,1,2,11,left,4981,1
9fc871c5ad312c70,1,2,12,left,2620,1
9fc871c5ad312c70,1,2,13,left,9530,0
9fc871c5ad312c70,1,2,14,left,3414,0
9fc871c5ad312c70,1,2,15,left,3619,0
9fc871c5ad312c70,1,2,16,right,2967,0
9fc871c5ad312c70,1,2,17,right,2265,0
9fc871c5ad312c70,1,2,18,right,3395,0
9fc871c5ad312c70,1,2,19,right,6965,0
9fc871c5ad312c70,1,2,20,left,5989,0
9fc871c5ad312c70,1,2,21,right,1597,0
9fc871c5ad312c70,1,2,22,left,2683,0
9fc871c5ad312c70,1,2,23,right,11036,0
9fc871c5ad312c70,1,2,24,left,2484,1
9fc871c5ad312c70,1,2,25,left,2176,0
9fc871c5ad312c70,1,2,26,right,2562,1
9fc871c5ad312c70,1,2,27,right,2259,0
9fc871c5ad312c70,1,2,28,right,4514,0
9fc871c5ad312c70,1,2,29,right,3757,1
9fc871c5ad312c70,1,2,30,right,5748,1
9fc871c5ad312c70,1,2,31,left,4700,1
9fc871c5ad312c70,1,2,32,left,5007,0
9fc871c5ad312c70,1,2,33,left,3415,1
9fc871c5ad312c70,1,2,34,left,5923,1
9fc871c5ad312c70,1,2,35,left,8408,1
9fc871c5ad312c70,1,2,36,left,12509,0
9fc871c5ad312c70,1,2,37,right,2627,1
9fc871c5ad312c70,1,2,38,left,4416,0
9fc871c5ad312c70,1,2,39,left,7622,0
9fc871c5ad312c70,1,2,40,right,3661,0
9fc871c5ad312c70,1,3,1,right,1791,0
9fc871c5ad312c70,1,3,2,left,5536,1
9fc871c5ad312c70,1,3,3,left,5217,0
9fc871c5ad312c70,1,3,4,right,2966,0
9fc871c5ad312c70,1,3,5,left,5506,0
9fc871c5ad312c70,1,3,6,left,7134,0
9fc871c5ad312c70,1,3,7,left,5443,1
9fc871c5ad312c70,1,3,8,right,10133,0
9fc871c5ad312c70,1,3,9,right,6232,1
9fc871c5ad312c70,1,3,10,right,3886,0
9fc871c5ad312c70,1,3,11,left,6529,0
9fc871c5ad312c70,1,3,12,left,6948,0
9fc871c5ad312c70,1,3,13,right,7738,0
9fc871c5ad312c70,1,3,14,left,2017,1
9fc871c5ad312c70,1,3,15,left,4981,0
9fc871c5ad312c70,1,3,16,left,1863,1
9fc871c5ad312c70,1,3,17,right,1684,1
9fc871c5ad312c70,1,3,18,right,2764,0
9fc871c5ad312c70,1,3,19,right,3666,0
9fc871c5ad312c70,1,3,20,left,5853,0
9fc871c5ad312c70,1,3,21,right,4562,0
9fc871c5ad312c70,1,3,22,left,2901,0
9fc871c5ad312c70,1,3,23,right,8922,0
9fc871c5ad312c70,1,3,24,left,4901,0
9fc871c5ad312c70,1,3,25,right,4636,1
9fc871c5ad312c70,1,3,26,left,6741,0
9fc871c5ad312c70,1,3,27,right,8296,0
9fc871c5ad312c70,1,3,28,left,3061,0
9fc871c5ad312c70,1,3,29,left,2025,0
9fc871c5ad312c70,1,3,30,right,1685,0
9fc871c5ad312c70,1,3,31,right,2669,0
9fc871c5ad312c70,1,3,32,left,7935,0
9fc871c5ad312c70,1,3,33,left,3008,0
9fc871c5ad312c70,1,3,34,left,2313,0
9fc871c5ad312c70,1,3,35,left,1975,1
9fc871c5ad312c70,1,3,36,left,2144,1
9fc871c5ad312c70,1,3,37,left,3828,0
9fc871c5ad312c70,1,3,38,left,7003,0
9fc871c5ad312c70,1,3,39,right,2522,0
9fc871c5ad312c70,1,3,40,right,1711,0
