id,version,block,trial,side,rt,is_opt
a7804bf31bb8cbc7,1,1,1,left,7784,1
a7804bf31bb8cbc7,1,1,2,left,3569,0
a7804bf31bb8cbc7,1,1,3,left,2490,1
a7804bf31bb8cbc7,1,1,4,right,3398,1
a7804bf31bb8cbc7,1,1,5,left,9232,0
a7804bf31bb8cbc7,1,1,6,right,1382,0
a7804bf31bb8cbc7,1,1,7,right,8108,0
a7804bf31bb8cbc7,1,1,8,right,4222,1
a7804bf31bb8cbc7,1,1,9,left,9977,1
a7804bf31bb8cbc7,1,1,10,left,10552,0
a7804bf31bb8cbc7,1,1,11,left,2978,0
a7804bf31bb8cbc7,1,1,12,left,4685,1
a7804bf31bb8cbc7,1,1,13,left,5793,0
a7804bf31bb8cbc7,1,1,14,left,4655,0
a7804bf31bb8cbc7,1,1,15,left,10745,0
a7804bf31bb8cbc7,1,1,16,right,3453,0
a7804bf31bb8cbc7,1,1,17,left,5635,1
a7804bf31bb8cbc7,1,1,18,left,7822,0
a7804bf31bb8cbc7,1,1,19,right,3228,1
a7804bf31bb8cbc7,1,1,20,left,2293,0
a7804bf31bb8cbc7,1,1,21,left,4130,1
a7804bf31bb8cbc7,1,1,22,right,1377,0
a7804bf31bb8cbc7,1,1,23,left,7620,0
a7804bf31bb8cbc7,1,1,24,right,1692,1
a7804bf31bb8cbc7,1,1,25,left,8542,1
a7804bf31bb8cbc7,1,1,26,right,2503,0
a7804bf31bb8cbc7,1,1,27,right,5627,1
a7804bf31bb8cbc7,1,1,28,left,3895,1
a7804bf31bb8cbc7,1,1,29,left,3400,0
a7804bf31bb8cbc7,1,1,30,right,6530,0
a7804bf31bb8cbc7,1,1,31,left,3065,0
a7804bf31bb8cbc7,1,1,32,right,11507,1
a7804bf31bb8cbc7,1,1,33,right,1584,0
a7804bf31bb8cbc7,1,1,34,left,2469,1
a7804bf31bb8cbc7,1,1,35,right,5631,1
a7804bf31bb8cbc7,1,1,36,left,4062,1
a7804bf31bb8cbc7,1,1,37,right,8018,0
a7804bf31bb8cbc7,1,1,38,left,10664,0
a7804bf31bb8cbc7,1,1,39,left,2164,1
a7804bf31bb8cbc7,1,1,40,right,6741,0
a7804bf31bb8cbc7,1,2,1,left,5066,0
a7804bf31bb8cbc7,1,2,2,right,9054,0
a7804bf31bb8cbc7,1,2,3,left,1592,1
a7804bf31bb8cbc7,1,2,4,left,8549,1
a7804bf31bb8cbc7,1,2,5,left,3947,1
a7804bf31bb8cbc7,1,2,6,left,2711,1
a7804bf31bb8cbc7,1,2,7,left,3768,1
a7804bf31bb8cbc7,1,2,8,left,4847,0
a7804bf31bb8cbc7,1,2,9,right,6101,0
a7804bf31bb8cbc7,1,2,10,right,1526,1
a7804bf31bb8cbc7,1,2,11,left,3736,1
a7804bf31bb8cbc7,1,2,12,left,4705,1
a7804bf31bb8cbc7,1,2,13,left,5358,0
a7804bf31bb8cbc7,1,2,14,left,7163,0
a7804bf31bb8cbc7,1,2,15,left,1550,0
a7804bf31bb8cbc7,1,2,16,left,4607,1
a7804bf31bb8cbc7,1,2,17,right,4290,0
a7804bf31bb8cbc7,1,2,18,left,12945,1
a7804bf31bb8cbc7,1,2,19,left,2314,0
a7804bf31bb8cbc7,1,2,20,left,6693,0
a7804bf31bb8cbc7,1,2,21,right,3785,0
a7804bf31bb8cbc7,1,2,22,left,1830,0
a7804bf31bb8cbc7,1,2,23,right,4236,0
a7804bf31bb8cbc7,1,2,24,left,7325,1
a7804bf31bb8cbc7,1,2,25,left,5608,0
a7804bf31bb8cbc7,1,2,26,right,7158,0
a7804bf31bb8cbc7,1,2,27,left,5281,0
a7804bf31bb8cbc7,1,2,28,left,8842,0
a7804bf31bb8cbc7,1,2,29,left,2821,0
a7804bf31bb8cbc7,1,2,30,left,4091,0
a7804bf31bb8cbc7,1,2,31,right,5454,0
a7804bf31bb8cbc7,1,2,32,left,8053,0
a7804bf31bb8cbc7,1,2,33,right,5144,1
a7804bf31bb8cbc7,1,2,34,left,5249,1
a7804bf31bb8cbc7,1,2,35,right,4182,1
a7804bf31bb8cbc7,1,2,36,left,6403,0
a7804bf31bb8cbc7,1,2,37,right,3497,0
a7804bf31bb8cbc7,1,2,38,left,7682,0
a7804bf31bb8cbc7,1,2,39,left,3140,0
a7804bf31bb8cbc7,1,2,40,right,7722,0
a7804bf31bb8cbc7,1,3,1,right,3148,0
a7804bf31bb8cbc7,1,3,2,right,6526,0
a7804bf31bb8cbc7,1,3,3,left,7506,0
a7804bf31bb8cbc7,1,3,4,left,3526,0
a7804bf31bb8cbc7,1,3,5,right,5301,1
a7804bf31bb8cbc7,1,3,6,right,9322,1
a7804bf31bb8cbc7,1,3,7,right,13719,1
a7804bf31bb8cbc7,1,3,8,left,1590,1
a7804bf31bb8cbc7,1,3,9,right,9100,1
a7804bf31bb8cbc7,1,3,10,left,2030,0
a7804bf31bb8cbc7,1,3,11,left,3221,1
a7804bf31bb8cbc7,1,3,12,left,2972,1
a7804bf31bb8cbc7,1,3,13,left,1820,1
a7804bf31bb8cbc7,1,3,14,right,6977,0
a7804bf31bb8cbc7,1,3,15,left,4505,0
a7804bf31bb8cbc7,1,3,16,left,7515,0
a7804bf31bb8cbc7,1,3,17,right,4361,1
a7804bf31bb8cbc7,1,3,18,left,7012,1
a7804bf31bb8cbc7,1,3,19,left,3986,1
a7804bf31bb8cbc7,1,3,20,left,2457,0
a7804bf31bb8cbc7,1,3,21,right,6386,0
a7804bf31bb8cbc7,1,3,22,left,7443,0
a7804bf31bb8cbc7,1,3,23,left,6665,1
a7804bf31bb8cbc7,1,3,24,right,10500,1
a7804bf31bb8cbc7,1,3,25,left,14957,1
a7804bf31bb8cbc7,1,3,26,left,7153,0
a7804bf31bb8cbc7,1,3,27,right,7684,1
a7804bf31bb8cbc7,1,3,28,left,2301,1
a7804bf31bb8cbc7,1,3,29,left,3133,1
a7804bf31bb8cbc7,1,3,30,left,2066,1
a7804bf31bb8cbc7,1,3,31,right,7668,0
a7804bf31bb8cbc7,1,3,32,left,2568,0
a7804bf31bb8cbc7,1,3,33,left,2195,1
a7804bf31bb8cbc7,1,3,34,right,6512,0
a7804bf31bb8cbc7,1,3,35,right,3565,1
a7804bf31bb8cbc7,1,3,36,left,2117,0
a7804bf31bb8cbc7,1,3,37,left,2874,1
a7804bf31bb8cbc7,1,3,38,right,3736,0
a7804bf31bb8cbc7,1,3,39,right,9790,1
a7804bf31bb8cbc7,1,3,40,left,2614,0
