id,version,block,trial,side,rt,is_opt
b11808110528e86b,0,1,1,right,2012,1
b11808110528e86b,0,1,2,right,2897,1
b11808110528e86b,0,1,3,right,2563,1
b11808110528e86b,0,1,4,right,2873,1
b11808110528e86b,0,1,5,right,2392,1
b11808110528e86b,0,1,6,left,1757,1
b11808110528e86b,0,1,7,right,2662,1
b11808110528e86b,0,1,8,right,2933,1
b11808110528e86b,0,1,9,left,2001,1
b11808110528e86b,0,1,10,right,4665,0
b11808110528e86b,0,1,11,right,2652,1
b11808110528e86b,0,1,12,left,2847,1
b11808110528e86b,0,1,13,right,3068,1
b11808110528e86b,0,1,14,right,2502,1
b11808110528e86b,0,1,15,left,1922,1
b11808110528e86b,0,1,16,left,4649,0
b11808110528e86b,0,1,17,left,2633,1
b11808110528e86b,0,1,18,left,2903,1
b11808110528e86b,0,1,19,left,2708,1
b11808110528e86b,0,1,20,left,2263,1
b11808110528e86b,0,1,21,right,2013,1
b11808110528e86b,0,1,22,right,2873,1
b11808110528e86b,0,1,23,right,2257,1
b11808110528e86b,0,1,24,right,1748,1
b11808110528e86b,0,1,25,left,2333,1
b11808110528e86b,0,1,26,left,1656,1
b11808110528e86b,0,1,27,left,2358,1
b11808110528e86b,0,1,28,left,2013,1
b11808110528e86b,0,1,29,left,2642,1
b11808110528e86b,0,1,30,left,2357,1
b11808110528e86b,0,1,31,right,2107,1
b11808110528e86b,0,1,32,left,2613,1
b11808110528e86b,0,1,33,right,2037,1
b11808110528e86b,0,1,34,right,2703,1
b11808110528e86b,0,1,35,right,2798,1
b11808110528e86b,0,1,36,right,2638,1
b11808110528e86b,0,1,37,left,2383,1
b11808110528e86b,0,1,38,left,2358,1
b11808110528e86b,0,1,39,left,2378,1
b11808110528e86b,0,1,40,left,2367,1
b11808110528e86b,0,2,1,left,2388,1
b11808110528e86b,0,2,2,left,2397,1
b11808110528e86b,0,2,3,left,2031,1
b11808110528e86b,0,2,4,right,4980,0
b11808110528e86b,0,2,5,right,1761,1
b11808110528e86b,0,2,6,right,2693,1
b11808110528e86b,0,2,7,left,2603,1
b11808110528e86b,0,2,8,left,2137,1
b11808110528e86b,0,2,9,right,2578,1
b11808110528e86b,0,2,10,right,2608,1
b11808110528e86b,0,2,11,left,1907,1
b11808110528e86b,0,2,12,left,2503,1
b11808110528e86b,0,2,13,left,1792,1
b11808110528e86b,0,2,14,right,1692,1
b11808110528e86b,0,2,15,right,1682,1
b11808110528e86b,0,2,16,left,1656,1
b11808110528e86b,0,2,17,right,2187,1
b11808110528e86b,0,2,18,left,1703,1
b11808110528e86b,0,2,19,right,1872,1
b11808110528e86b,0,2,20,right,1967,1
b11808110528e86b,0,2,21,right,2288,1
b11808110528e86b,0,2,22,right,1838,1
b11808110528e86b,0,2,23,left,1646,1
b11808110528e86b,0,2,24,right,1952,1
b11808110528e86b,0,2,25,left,2888,1
b11808110528e86b,0,2,26,right,2407,1
b11808110528e86b,0,2,27,right,2363,1
b11808110528e86b,0,2,28,left,4306,0
b11808110528e86b,0,2,29,left,3479,1
b11808110528e86b,0,2,30,left,1996,1
b11808110528e86b,0,2,31,left,2122,1
b11808110528e86b,0,2,32,right,2487,1
b11808110528e86b,0,2,33,left,2562,1
b11808110528e86b,0,2,34,left,2962,1
b11808110528e86b,0,2,35,left,1959,1
b11808110528e86b,0,2,36,right,2669,1
b11808110528e86b,0,2,37,right,1953,1
b11808110528e86b,0,2,38,left,2022,1
b11808110528e86b,0,2,39,right,2307,1
b11808110528e86b,0,2,40,right,1627,1
b11808110528e86b,0,3,1,right,2448,1
b11808110528e86b,0,3,2,right,1957,1
b11808110528e86b,0,3,3,right,1616,1
b11808110528e86b,0,3,4,left,2016,1
b11808110528e86b,0,3,5,left,2688,1
b11808110528e86b,0,3,6,left,2237,1
b11808110528e86b,0,3,7,left,2126,1
b11808110528e86b,0,3,8,right,1871,1
b11808110528e86b,0,3,9,right,2713,1
b11808110528e86b,0,3,10,left,2007,1
b11808110528e86b,0,3,11,left,2147,1
b11808110528e86b,0,3,12,left,2127,1
b11808110528e86b,0,3,13,right,2102,1
b11808110528e86b,0,3,14,right,1866,1
b11808110528e86b,0,3,15,right,1873,1
b11808110528e86b,0,3,16,left,3113,1
b11808110528e86b,0,3,17,right,1671,1
b11808110528e86b,0,3,18,left,2218,1
b11808110528e86b,0,3,19,left,1796,1
b11808110528e86b,0,3,20,right,1782,1
b11808110528e86b,0,3,21,right,1761,1
b11808110528e86b,0,3,22,left,1692,1
b11808110528e86b,0,3,23,left,2389,1
b11808110528e86b,0,3,24,right,1899,1
b11808110528e86b,0,3,25,right,1761,1
b11808110528e86b,0,3,26,left,1577,1
b11808110528e86b,0,3,27,right,2132,1
b11808110528e86b,0,3,28,left,2579,1
b11808110528e86b,0,3,29,right,1757,1
b11808110528e86b,0,3,30,right,2077,1
b11808110528e86b,0,3,31,left,2498,1
b11808110528e86b,0,3,32,right,2993,1
b11808110528e86b,0,3,33,left,2524,1
b11808110528e86b,0,3,34,left,3009,1
b11808110528e86b,0,3,35,left,2067,1
b11808110528e86b,0,3,36,right,2517,1
b11808110528e86b,0,3,37,right,2527,1
b11808110528e86b,0,3,38,left,1867,1
b11808110528e86b,0,3,39,right,2528,1
b11808110528e86b,0,3,40,left,2218,1
