id,version,block,trial,side,rt,is_opt
b1307e438c33e325,1,1,1,right,3403,0
b1307e438c33e325,1,1,2,left,6489,0
b1307e438c33e325,1,1,3,right,2348,0
b1307e438c33e325,1,1,4,right,5386,1
b1307e438c33e325,1,1,5,left,3048,1
b1307e438c33e325,1,1,6,left,2141,1
b1307e438c33e325,1,1,7,left,3993,1
b1307e438c33e325,1,1,8,left,7070,1
b1307e438c33e325,1,1,9,right,7687,0
b1307e438c33e325,1,1,10,right,4786,1
b1307e438c33e325,1,1,11,left,5472,1
b1307e438c33e325,1,1,12,right,2999,1
b1307e438c33e325,1,1,13,left,3867,1
b1307e438c33e325,1,1,14,right,3976,1
b1307e438c33e325,1,1,15,left,3132,1
b1307e438c33e325,1,1,16,right,2897,1
b1307e438c33e325,1,1,17,right,3109,1
b1307e438c33e325,1,1,18,right,4582,1
b1307e438c33e325,1,1,19,right,6685,1
b1307e438c33e325,1,1,20,left,3149,1
b1307e438c33e325,1,1,21,left,8701,1
b1307e438c33e325,1,1,22,left,2063,1
b1307e438c33e325,1,1,23,right,5796,1
b1307e438c33e325,1,1,24,right,5905,1
b1307e438c33e325,1,1,25,left,2598,1
b1307e438c33e325,1,1,26,right,9685,1
b1307e438c33e325,1,1,27,right,6473,1
b1307e438c33e325,1,1,28,right,2008,1
b1307e438c33e325,1,1,29,right,2191,1
b1307e438c33e325,1,1,30,left,2126,1
b1307e438c33e325,1,1,31,right,5645,1
b1307e438c33e325,1,1,32,left,1457,1
b1307e438c33e325,1,1,33,right,3512,1
b1307e438c33e325,1,1,34,right,6244,1
b1307e438c33e325,1,1,35,left,6079,1
b1307e438c33e325,1,1,36,left,3212,1
b1307e438c33e325,1,1,37,left,4858,1
b1307e438c33e325,1,1,38,right,4016,1
b1307e438c33e325,1,1,39,left,2503,1
b1307e438c33e325,1,1,40,right,1801,1
b1307e438c33e325,1,2,1,left,5906,1
b1307e438c33e325,1,2,2,right,5852,1
b1307e438c33e325,1,2,3,left,4001,1
b1307e438c33e325,1,2,4,left,3063,1
b1307e438c33e325,1,2,5,left,2072,1
b1307e438c33e325,1,2,6,left,4513,1
b1307e438c33e325,1,2,7,right,8851,1
b1307e438c33e325,1,2,8,right,3086,1
b1307e438c33e325,1,2,9,right,1930,1
b1307e438c33e325,1,2,10,left,7369,1
b1307e438c33e325,1,2,11,right,5605,1
b1307e438c33e325,1,2,12,left,5748,1
b1307e438c33e325,1,2,13,right,12510,1
b1307e438c33e325,1,2,14,left,3566,1
b1307e438c33e325,1,2,15,left,3206,1
b1307e438c33e325,1,2,16,right,5440,1
b1307e438c33e325,1,2,17,right,3779,1
b1307e438c33e325,1,2,18,left,5275,1
b1307e438c33e325,1,2,19,right,5787,1
b1307e438c33e325,1,2,20,left,5189,1
b1307e438c33e325,1,2,21,left,6456,1
b1307e438c33e325,1,2,22,left,10520,1
b1307e438c33e325,1,2,23,left,5740,1
b1307e438c33e325,1,2,24,right,2583,1
b1307e438c33e325,1,2,25,left,4094,1
b1307e438c33e325,1,2,26,right,1906,1
b1307e438c33e325,1,2,27,right,7015,1
b1307e438c33e325,1,2,28,right,5692,1
b1307e438c33e325,1,2,29,right,14649,1
b1307e438c33e325,1,2,30,left,2135,1
b1307e438c33e325,1,2,31,left,2993,1
b1307e438c33e325,1,2,32,right,7985,1
b1307e438c33e325,1,2,33,right,2709,1
b1307e438c33e325,1,2,34,left,3409,1
b1307e438c33e325,1,2,35,right,8093,1
b1307e438c33e325,1,2,36,left,7630,1
b1307e438c33e325,1,2,37,left,5133,1
b1307e438c33e325,1,2,38,right,1644,1
b1307e438c33e325,1,2,39,right,3496,1
b1307e438c33e325,1,2,40,right,2881,1
b1307e438c33e325,1,3,1,left,19879,1
b1307e438c33e325,1,3,2,right,5085,1
b1307e438c33e325,1,3,3,left,2576,1
b1307e438c33e325,1,3,4,left,10708,1
b1307e438c33e325,1,3,5,left,2189,1
b1307e438c33e325,1,3,6,left,1591,1
b1307e438c33e325,1,3,7,right,4985,1
b1307e438c33e325,1,3,8,right,12479,1
b1307e438c33e325,1,3,9,right,4582,1
b1307e438c33e325,1,3,10,right,18705,0
b1307e438c33e325,1,3,11,right,5268,1
b1307e438c33e325,1,3,12,right,7299,1
b1307e438c33e325,1,3,13,right,17594,1
b1307e438c33e325,1,3,14,right,5708,1
b1307e438c33e325,1,3,15,left,14727,1
b1307e438c33e325,1,3,16,left,1717,1
b1307e438c33e325,1,3,17,left,6881,1
b1307e438c33e325,1,3,18,right,23005,0
b1307e438c33e325,1,3,19,right,6985,1
b1307e438c33e325,1,3,20,left,4661,1
b1307e438c33e325,1,3,21,right,59177,1
b1307e438c33e325,1,3,22,left,3919,1
b1307e438c33e325,1,3,23,left,6040,1
b1307e438c33e325,1,3,24,right,8770,1
b1307e438c33e325,1,3,25,right,10466,1
b1307e438c33e325,1,3,26,right,5393,1
b1307e438c33e325,1,3,27,left,5975,1
b1307e438c33e325,1,3,28,right,7920,1
b1307e438c33e325,1,3,29,right,1685,1
b1307e438c33e325,1,3,30,left,7425,1
b1307e438c33e325,1,3,31,right,1817,1
b1307e438c33e325,1,3,32,left,14504,1
b1307e438c33e325,1,3,33,left,3143,1
b1307e438c33e325,1,3,34,right,4543,1
b1307e438c33e325,1,3,35,left,4127,1
b1307e438c33e325,1,3,36,left,2717,1
b1307e438c33e325,1,3,37,right,12006,1
b1307e438c33e325,1,3,38,right,12999,1
b1307e438c33e325,1,3,39,right,5992,1
b1307e438c33e325,1,3,40,left,14559,1
