id,version,block,trial,side,rt,is_opt
d5f98d5aa2ca0ab0,0,1,1,left,5903,0
d5f98d5aa2ca0ab0,0,1,2,right,5612,0
d5f98d5aa2ca0ab0,0,1,3,left,5087,0
d5f98d5aa2ca0ab0,0,1,4,right,5740,0
d5f98d5aa2ca0ab0,0,1,5,right,4639,0
d5f98d5aa2ca0ab0,0,1,6,left,4929,0
d5f98d5aa2ca0ab0,0,1,7,right,4835,0
d5f98d5aa2ca0ab0,0,1,8,left,5357,0
d5f98d5aa2ca0ab0,0,1,9,right,5804,0
d5f98d5aa2ca0ab0,0,1,10,left,5219,0
d5f98d5aa2ca0ab0,0,1,11,right,2765,1
d5f98d5aa2ca0ab0,0,1,12,right,3899,1
d5f98d5aa2ca0ab0,0,1,13,left,2602,1
d5f98d5aa2ca0ab0,0,1,14,left,2970,1
d5f98d5aa2ca0ab0,0,1,15,left,3805,1
d5f98d5aa2ca0ab0,0,1,16,right,2838,1
d5f98d5aa2ca0ab0,0,1,17,right,7941,1
d5f98d5aa2ca0ab0,0,1,18,left,2408,1
d5f98d5aa2ca0ab0,0,1,19,left,2537,1
d5f98d5aa2ca0ab0,0,1,20,right,3021,1
d5f98d5aa2ca0ab0,0,1,21,left,2031,1
d5f98d5aa2ca0ab0,0,1,22,right,2011,1
d5f98d5aa2ca0ab0,0,1,23,right,3387,1
d5f98d5aa2ca0ab0,0,1,24,right,3197,1
d5f98d5aa2ca0ab0,0,1,25,left,2122,1
d5f98d5aa2ca0ab0,0,1,26,left,2584,1
d5f98d5aa2ca0ab0,0,1,27,right,2828,1
d5f98d5aa2ca0ab0,0,1,28,left,3783,1
d5f98d5aa2ca0ab0,0,1,29,left,2610,1
d5f98d5aa2ca0ab0,0,1,30,right,2756,1
d5f98d5aa2ca0ab0,0,1,31,left,2693,1
d5f98d5aa2ca0ab0,0,1,32,right,2519,1
d5f98d5aa2ca0ab0,0,1,33,left,3349,1
d5f98d5aa2ca0ab0,0,1,34,right,2452,1
d5f98d5aa2ca0ab0,0,1,35,right,2109,1
d5f98d5aa2ca0ab0,0,1,36,left,1955,1
d5f98d5aa2ca0ab0,0,1,37,left,2812,1
d5f98d5aa2ca0ab0,0,1,38,left,2533,1
d5f98d5aa2ca0ab0,0,1,39,right,3047,1
d5f98d5aa2ca0ab0,0,1,40,right,1881,1
d5f98d5aa2ca0ab0,0,2,1,right,2892,1
d5f98d5aa2ca0ab0,0,2,2,left,3507,1
d5f98d5aa2ca0ab0,0,2,3,right,2451,1
d5f98d5aa2ca0ab0,0,2,4,right,2384,1
d5f98d5aa2ca0ab0,0,2,5,left,2862,1
d5f98d5aa2ca0ab0,0,2,6,left,3258,1
d5f98d5aa2ca0ab0,0,2,7,left,2494,1
d5f98d5aa2ca0ab0,0,2,8,left,2436,1
d5f98d5aa2ca0ab0,0,2,9,left,2496,1
d5f98d5aa2ca0ab0,0,2,10,left,4961,0
d5f98d5aa2ca0ab0,0,2,11,right,2861,1
d5f98d5aa2ca0ab0,0,2,12,left,3346,1
d5f98d5aa2ca0ab0,0,2,13,left,1807,1
d5f98d5aa2ca0ab0,0,2,14,left,1896,1
d5f98d5aa2ca0ab0,0,2,15,right,4098,1
d5f98d5aa2ca0ab0,0,2,16,left,2369,1
d5f98d5aa2ca0ab0,0,2,17,left,2536,1
d5f98d5aa2ca0ab0,0,2,18,left,3254,1
d5f98d5aa2ca0ab0,0,2,19,left,2938,1
d5f98d5aa2ca0ab0,0,2,20,left,3102,1
d5f98d5aa2ca0ab0,0,2,21,right,2450,1
d5f98d5aa2ca0ab0,0,2,22,left,2699,1
d5f98d5aa2ca0ab0,0,2,23,right,3282,1
d5f98d5aa2ca0ab0,0,2,24,left,4193,1
d5f98d5aa2ca0ab0,0,2,25,right,2064,1
d5f98d5aa2ca0ab0,0,2,26,right,3655,1
d5f98d5aa2ca0ab0,0,2,27,right,3135,1
d5f98d5aa2ca0ab0,0,2,28,left,2298,1
d5f98d5aa2ca0ab0,0,2,29,left,2763,1
d5f98d5aa2ca0ab0,0,2,30,right,2684,1
d5f98d5aa2ca0ab0,0,2,31,right,3271,1
d5f98d5aa2ca0ab0,0,2,32,left,3053,1
d5f98d5aa2ca0ab0,0,2,33,right,2386,1
d5f98d5aa2ca0ab0,0,2,34,right,2257,1
d5f98d5aa2ca0ab0,0,2,35,right,2858,1
d5f98d5aa2ca0ab0,0,2,36,right,2293,1
d5f98d5aa2ca0ab0,0,2,37,right,2635,1
d5f98d5aa2ca0ab0,0,2,38,left,3199,1
d5f98d5aa2ca0ab0,0,2,39,right,2632,1
d5f98d5aa2ca0ab0,0,2,40,right,2755,1
d5f98d5aa2ca0ab0,0,3,1,left,3694,1
