id,version,block,trial,side,rt,is_opt
ec6990a18389d3b0,1,1,1,right,2192,1
ec6990a18389d3b0,1,1,2,right,11265,0
ec6990a18389d3b0,1,1,3,right,4593,1
ec6990a18389d3b0,1,1,4,right,4080,1
ec6990a18389d3b0,1,1,5,right,2421,1
ec6990a18389d3b0,1,1,6,right,2055,1
ec6990a18389d3b0,1,1,7,left,1942,1
ec6990a18389d3b0,1,1,8,left,2404,1
ec6990a18389d3b0,1,1,9,right,4471,1
ec6990a18389d3b0,1,1,10,left,6124,1
ec6990a18389d3b0,1,1,11,right,2149,1
ec6990a18389d3b0,1,1,12,right,5114,1
ec6990a18389d3b0,1,1,13,right,2194,1
ec6990a18389d3b0,1,1,14,left,6561,1
ec6990a18389d3b0,1,1,15,right,12141,1
ec6990a18389d3b0,1,1,16,left,4447,1
ec6990a18389d3b0,1,1,17,left,7641,1
ec6990a18389d3b0,1,1,18,right,1449,1
ec6990a18389d3b0,1,1,19,left,5865,1
ec6990a18389d3b0,1,1,20,right,4537,1
ec6990a18389d3b0,1,1,21,left,1639,1
ec6990a18389d3b0,1,1,22,right,3657,1
ec6990a18389d3b0,1,1,23,left,2162,1
ec6990a18389d3b0,1,1,24,left,1152,1
ec6990a18389d3b0,1,1,25,left,2922,1
ec6990a18389d3b0,1,1,26,left,3809,1
ec6990a18389d3b0,1,1,27,left,6072,0
ec6990a18389d3b0,1,1,28,right,2219,1
ec6990a18389d3b0,1,1,29,left,6354,1
ec6990a18389d3b0,1,1,30,right,3719,1
ec6990a18389d3b0,1,1,31,right,4918,1
ec6990a18389d3b0,1,1,32,left,6501,1
ec6990a18389d3b0,1,1,33,left,5151,1
ec6990a18389d3b0,1,1,34,left,5115,1
ec6990a18389d3b0,1,1,35,left,4521,1
ec6990a18389d3b0,1,1,36,left,6285,0
ec6990a18389d3b0,1,1,37,left,4667,1
ec6990a18389d3b0,1,1,38,left,3949,1
ec6990a18389d3b0,1,1,39,right,2547,1
ec6990a18389d3b0,1,1,40,right,3778,1
ec6990a18389d3b0,1,2,1,right,3373,1
ec6990a18389d3b0,1,2,2,right,1630,1
ec6990a18389d3b0,1,2,3,left,3662,1
ec6990a18389d3b0,1,2,4,left,3282,1
ec6990a18389d3b0,1,2,5,right,2987,1
ec6990a18389d3b0,1,2,6,left,2034,1
ec6990a18389d3b0,1,2,7,left,7482,1
ec6990a18389d3b0,1,2,8,right,2742,1
ec6990a18389d3b0,1,2,9,left,5110,1
ec6990a18389d3b0,1,2,10,left,4604,1
ec6990a18389d3b0,1,2,11,left,2458,1
ec6990a18389d3b0,1,2,12,left,4021,1
ec6990a18389d3b0,1,2,13,right,2285,1
ec6990a18389d3b0,1,2,14,left,3390,1
ec6990a18389d3b0,1,2,15,right,4936,1
ec6990a18389d3b0,1,2,16,right,2486,1
ec6990a18389d3b0,1,2,17,right,2471,1
ec6990a18389d3b0,1,2,18,right,4875,1
ec6990a18389d3b0,1,2,19,left,2620,1
ec6990a18389d3b0,1,2,20,left,5427,1
ec6990a18389d3b0,1,2,21,right,5219,1
ec6990a18389d3b0,1,2,22,right,4863,1
ec6990a18389d3b0,1,2,23,left,4095,1
ec6990a18389d3b0,1,2,24,left,5553,1
ec6990a18389d3b0,1,2,25,right,4010,1
ec6990a18389d3b0,1,2,26,right,4073,1
ec6990a18389d3b0,1,2,27,left,3829,1
ec6990a18389d3b0,1,2,28,right,1989,1
ec6990a18389d3b0,1,2,29,right,6112,1
ec6990a18389d3b0,1,2,30,left,2568,1
ec6990a18389d3b0,1,2,31,left,7056,1
ec6990a18389d3b0,1,2,32,left,4081,1
ec6990a18389d3b0,1,2,33,left,5385,1
ec6990a18389d3b0,1,2,34,right,3843,1
ec6990a18389d3b0,1,2,35,right,4301,1
ec6990a18389d3b0,1,2,36,left,4408,1
ec6990a18389d3b0,1,2,37,right,5381,1
ec6990a18389d3b0,1,2,38,right,2519,1
ec6990a18389d3b0,1,2,39,right,1517,1
ec6990a18389d3b0,1,2,40,left,2334,1
ec6990a18389d3b0,1,3,1,left,4651,1
ec6990a18389d3b0,1,3,2,right,1302,1
ec6990a18389d3b0,1,3,3,right,1329,1
ec6990a18389d3b0,1,3,4,right,3042,1
ec6990a18389d3b0,1,3,5,left,3221,1
ec6990a18389d3b0,1,3,6,right,5007,1
ec6990a18389d3b0,1,3,7,right,2454,1
ec6990a18389d3b0,1,3,8,right,3199,1
ec6990a18389d3b0,1,3,9,left,4150,1
ec6990a18389d3b0,1,3,10,left,4388,1
ec6990a18389d3b0,1,3,11,left,5035,1
ec6990a18389d3b0,1,3,12,left,2283,1
ec6990a18389d3b0,1,3,13,right,6011,1
ec6990a18389d3b0,1,3,14,left,1859,1
ec6990a18389d3b0,1,3,15,left,3112,1
ec6990a18389d3b0,1,3,16,right,4345,1
ec6990a18389d3b0,1,3,17,left,4538,1
ec6990a18389d3b0,1,3,18,right,4758,1
ec6990a18389d3b0,1,3,19,left,5602,1
ec6990a18389d3b0,1,3,20,left,5174,1
ec6990a18389d3b0,1,3,21,right,1529,1
ec6990a18389d3b0,1,3,22,left,4392,1
ec6990a18389d3b0,1,3,23,left,2792,1
ec6990a18389d3b0,1,3,24,left,3308,1
ec6990a18389d3b0,1,3,25,right,5402,1
ec6990a18389d3b0,1,3,26,right,5305,1
ec6990a18389d3b0,1,3,27,left,2629,1
ec6990a18389d3b0,1,3,28,right,1868,1
ec6990a18389d3b0,1,3,29,right,3504,1
ec6990a18389d3b0,1,3,30,left,1737,1
ec6990a18389d3b0,1,3,31,left,5103,1
ec6990a18389d3b0,1,3,32,left,1628,1
ec6990a18389d3b0,1,3,33,right,2539,1
ec6990a18389d3b0,1,3,34,right,3668,1
ec6990a18389d3b0,1,3,35,left,1245,1
ec6990a18389d3b0,1,3,36,right,1692,1
ec6990a18389d3b0,1,3,37,right,2227,1
ec6990a18389d3b0,1,3,38,left,1454,1
ec6990a18389d3b0,1,3,39,right,3866,1
ec6990a18389d3b0,1,3,40,right,1219,1
