id,version,block,trial,side,rt,is_opt
f759db8e28c79c5b,1,1,1,left,4366,1
f759db8e28c79c5b,1,1,2,right,10094,0
f759db8e28c79c5b,1,1,3,left,5779,0
f759db8e28c79c5b,1,1,4,right,3561,1
f759db8e28c79c5b,1,1,5,left,7454,0
f759db8e28c79c5b,1,1,6,right,3289,0
f759db8e28c79c5b,1,1,7,right,8181,1
f759db8e28c79c5b,1,1,8,left,3765,0
f759db8e28c79c5b,1,1,9,left,3432,1
f759db8e28c79c5b,1,1,10,left,4294,0
f759db8e28c79c5b,1,1,11,left,3815,0
f759db8e28c79c5b,1,1,12,right,3016,1
f759db8e28c79c5b,1,1,13,right,7143,0
f759db8e28c79c5b,1,1,14,right,2098,1
f759db8e28c79c5b,1,1,15,left,2375,0
f759db8e28c79c5b,1,1,16,left,4232,0
f759db8e28c79c5b,1,1,17,right,4660,1
f759db8e28c79c5b,1,1,18,left,1635,1
f759db8e28c79c5b,1,1,19,left,2899,0
f759db8e28c79c5b,1,1,20,left,4406,1
f759db8e28c79c5b,1,1,21,right,3903,0
f759db8e28c79c5b,1,1,22,left,1857,1
f759db8e28c79c5b,1,1,23,left,4229,1
f759db8e28c79c5b,1,1,24,right,5160,0
f759db8e28c79c5b,1,1,25,left,3389,0
f759db8e28c79c5b,1,1,26,left,4314,0
f759db8e28c79c5b,1,1,27,left,11823,0
f759db8e28c79c5b,1,1,28,right,3852,0
f759db8e28c79c5b,1,1,29,left,5508,0
f759db8e28c79c5b,1,1,30,right,9837,0
f759db8e28c79c5b,1,1,31,left,5463,1
f759db8e28c79c5b,1,1,32,right,4931,0
f759db8e28c79c5b,1,1,33,left,9924,0
f759db8e28c79c5b,1,1,34,right,10013,0
f759db8e28c79c5b,1,1,35,left,3970,1
f759db8e28c79c5b,1,1,36,left,7369,1
f759db8e28c79c5b,1,1,37,right,9323,0
f759db8e28c79c5b,1,1,38,left,5675,1
f759db8e28c79c5b,1,1,39,right,3310,1
f759db8e28c79c5b,1,1,40,left,7725,0
f759db8e28c79c5b,1,2,1,left,4645,0
f759db8e28c79c5b,1,2,2,right,11475,0
f759db8e28c79c5b,1,2,3,left,4326,1
f759db8e28c79c5b,1,2,4,right,6528,0
f759db8e28c79c5b,1,2,5,left,3343,1
f759db8e28c79c5b,1,2,6,left,6095,1
f759db8e28c79c5b,1,2,7,right,3980,1
f759db8e28c79c5b,1,2,8,left,4165,0
f759db8e28c79c5b,1,2,9,left,7502,0
f759db8e28c79c5b,1,2,10,left,7845,1
f759db8e28c79c5b,1,2,11,right,4721,1
f759db8e28c79c5b,1,2,12,left,3982,1
f759db8e28c79c5b,1,2,13,right,6350,0
f759db8e28c79c5b,1,2,14,right,8349,1
f759db8e28c79c5b,1,2,15,left,5646,0
f759db8e28c79c5b,1,2,16,left,10001,0
f759db8e28c79c5b,1,2,17,left,9036,0
