id,version,block,trial,side,rt,is_opt
fe63e94af7057f4e,0,1,1,right,7383,0
fe63e94af7057f4e,0,1,2,left,7963,0
fe63e94af7057f4e,0,1,3,left,6198,0
fe63e94af7057f4e,0,1,4,right,6989,0
fe63e94af7057f4e,0,1,5,right,7294,0
fe63e94af7057f4e,0,1,6,left,6772,0
fe63e94af7057f4e,0,1,7,left,7059,0
fe63e94af7057f4e,0,1,8,left,8584,0
fe63e94af7057f4e,0,1,9,left,6032,0
fe63e94af7057f4e,0,1,10,left,7063,0
fe63e94af7057f4e,0,1,11,right,6567,0
fe63e94af7057f4e,0,1,12,right,6579,0
fe63e94af7057f4e,0,1,13,left,8297,0
fe63e94af7057f4e,0,1,14,left,8243,0
fe63e94af7057f4e,0,1,15,right,6867,0
fe63e94af7057f4e,0,1,16,left,8509,0
fe63e94af7057f4e,0,1,17,left,6425,0
fe63e94af7057f4e,0,1,18,right,7151,0
fe63e94af7057f4e,0,1,19,right,6633,0
fe63e94af7057f4e,0,1,20,right,7738,0
fe63e94af7057f4e,0,1,21,right,7056,0
fe63e94af7057f4e,0,1,22,right,7914,0
fe63e94af7057f4e,0,1,23,right,8080,0
fe63e94af7057f4e,0,1,24,left,7449,0
fe63e94af7057f4e,0,1,25,left,6202,0
fe63e94af7057f4e,0,1,26,right,6300,0
fe63e94af7057f4e,0,1,27,left,7617,0
fe63e94af7057f4e,0,1,28,right,8091,0
fe63e94af7057f4e,0,1,29,left,6850,0
fe63e94af7057f4e,0,1,30,right,7584,0
fe63e94af7057f4e,0,1,31,right,6175,0
fe63e94af7057f4e,0,1,32,left,7041,0
fe63e94af7057f4e,0,1,33,right,7217,0
fe63e94af7057f4e,0,1,34,right,8513,0
fe63e94af7057f4e,0,1,35,left,7168,0
fe63e94af7057f4e,0,1,36,right,7242,0
fe63e94af7057f4e,0,1,37,left,7363,0
fe63e94af7057f4e,0,1,38,left,6252,0
fe63e94af7057f4e,0,1,39,left,8180,0
fe63e94af7057f4e,0,1,40,right,8268,0
fe63e94af7057f4e,0,2,1,left,6435,0
fe63e94af7057f4e,0,2,2,right,6151,0
fe63e94af7057f4e,0,2,3,right,7210,0
fe63e94af7057f4e,0,2,4,right,7539,0
fe63e94af7057f4e,0,2,5,left,7026,0
fe63e94af7057f4e,0,2,6,right,5775,0
fe63e94af7057f4e,0,2,7,left,6568,0
fe63e94af7057f4e,0,2,8,left,6498,0
fe63e94af7057f4e,0,2,9,left,6996,0
fe63e94af7057f4e,0,2,10,right,8280,0
fe63e94af7057f4e,0,2,11,right,6520,0
fe63e94af7057f4e,0,2,12,left,7621,0
fe63e94af7057f4e,0,2,13,left,7436,0
fe63e94af7057f4e,0,2,14,right,6793,0
fe63e94af7057f4e,0,2,15,left,7267,0
fe63e94af7057f4e,0,2,16,right,7416,0
fe63e94af7057f4e,0,2,17,right,6928,0
fe63e94af7057f4e,0,2,18,left,8958,0
fe63e94af7057f4e,0,2,19,right,6121,0
fe63e94af7057f4e,0,2,20,right,6831,0
fe63e94af7057f4e,0,2,21,left,6668,0
fe63e94af7057f4e,0,2,22,right,7069,0
fe63e94af7057f4e,0,2,23,right,7060,0
fe63e94af7057f4e,0,2,24,right,7258,0
fe63e94af7057f4e,0,2,25,right,7711,0
fe63e94af7057f4e,0,2,26,left,6385,0
fe63e94af7057f4e,0,2,27,right,7538,0
